,,,players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,25,38,1185,31.18,926,82,58,66,33,20,152,4.0,104,16,8,11,13,0,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,Aston Villa,31,38,912,24.0,670,77,47,73,31,14,129,3.39,92,8,8,10,8,3,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,Bournemouth,30,38,952,25.05,700,70,64,57,34,27,83,2.18,62,3,5,6,3,4,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,Brentford,28,38,804,21.16,557,102,34,55,42,14,81,2.13,57,7,3,8,6,0,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,Brighton,30,38,1010,26.58,749,87,54,71,38,11,89,2.34,59,5,9,9,6,1,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,Burnley,31,38,757,19.92,549,74,49,45,31,9,74,1.95,55,6,8,2,3,0,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,Chelsea,32,38,980,25.79,720,62,76,46,50,26,133,3.5,89,7,11,10,12,4,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,Crystal Palace,26,38,794,20.89,554,74,48,50,45,23,103,2.71,85,4,6,2,6,0,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,Everton,26,38,854,22.47,592,82,31,76,41,32,60,1.58,33,5,0,13,5,4,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,Fulham,25,38,877,23.08,652,79,40,67,24,15,95,2.5,73,6,4,8,3,1,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,Liverpool,30,38,1388,36.53,1045,116,66,101,43,17,131,3.45,96,8,9,10,7,1,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,Luton Town,28,38,749,19.71,504,73,59,55,46,12,81,2.13,46,7,6,16,6,0,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,Manchester City,25,38,1259,33.13,991,65,65,67,54,17,169,4.45,125,5,14,10,13,2,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,Manchester Utd,31,38,989,26.03,743,79,55,52,38,22,98,2.58,68,4,8,7,6,5,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,Newcastle Utd,32,38,983,25.87,713,69,72,67,46,16,144,3.79,90,7,18,13,13,3,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,Nott'ham Forest,33,38,783,20.61,566,67,49,56,32,13,90,2.37,70,5,7,3,3,2,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,Sheffield Utd,35,38,601,15.82,425,59,39,45,22,11,48,1.26,32,2,4,6,3,1,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,Tottenham,29,38,1053,27.71,818,60,60,61,31,23,122,3.21,96,7,7,5,3,4,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,West Ham,26,38,782,20.58,518,91,58,43,47,25,104,2.74,70,11,8,8,4,3,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,Wolves,27,38,743,19.55,519,67,53,47,42,15,81,2.13,52,7,7,6,7,2,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
