,,,players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,vs Arsenal,25,38,531,13.97,376,35,30,44,23,23,44,1.16,24,4,4,5,2,5,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,vs Aston Villa,31,38,820,21.58,586,72,53,58,34,17,102,2.68,70,9,6,8,4,5,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,vs Bournemouth,30,38,934,24.58,681,77,60,68,31,17,112,2.95,82,3,6,11,8,2,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,vs Brentford,28,38,980,25.79,778,54,58,46,21,23,119,3.13,94,5,7,7,3,3,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,vs Brighton,30,38,814,21.42,599,51,64,48,33,19,95,2.5,68,3,7,7,7,3,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,vs Burnley,31,38,1095,28.82,815,89,53,64,49,25,128,3.37,89,7,9,10,8,5,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,vs Chelsea,32,38,967,25.45,669,92,53,67,56,30,95,2.5,69,8,3,10,4,1,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,vs Crystal Palace,26,38,832,21.89,607,86,34,52,42,11,104,2.74,84,7,3,5,4,1,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,vs Everton,26,38,951,25.03,695,79,53,75,33,16,81,2.13,56,3,5,9,7,1,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,vs Fulham,25,38,916,24.11,660,76,58,60,46,16,99,2.61,65,4,12,6,11,1,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,vs Liverpool,30,38,720,18.95,481,72,60,42,45,20,61,1.61,37,7,6,7,3,1,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,vs Luton Town,28,38,1146,30.16,853,82,69,80,40,22,133,3.5,94,9,12,11,5,2,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,vs Manchester City,25,38,495,13.03,363,44,36,27,14,11,56,1.47,41,3,5,4,3,0,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,vs Manchester Utd,31,38,1179,31.03,846,120,61,78,54,20,99,2.61,60,9,9,8,11,2,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,vs Newcastle Utd,32,38,932,24.53,703,73,57,51,33,15,109,2.87,79,6,11,7,6,0,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,vs Nott'ham Forest,33,38,897,23.61,680,69,45,45,45,13,113,2.97,83,10,6,5,8,1,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,vs Sheffield Utd,35,38,1210,31.84,890,113,82,69,44,12,175,4.61,130,12,11,13,8,1,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,vs Tottenham,29,38,835,21.97,565,100,50,63,44,13,103,2.71,62,10,8,11,10,2,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,vs West Ham,26,38,1192,31.37,927,75,54,86,41,9,126,3.32,87,5,11,11,10,2,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,vs Wolves,27,38,1009,26.55,737,76,47,77,42,30,113,2.97,80,6,9,8,8,2,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
