,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,Manchester City,Ederson,BRA,GK,28,1993,35.0,32.0,3.0,1.0,4.0,1.0,26.2,0.3,-4.8,-0.14,117.0,263,44.5,1104,147.0,19.6,28.0,152,30.9,32.3,286,19.0,6.6,33.0,0.94,15.7
ENG-Premier League,2223,Manchester City,Stefan Ortega,GER,GK,29,1992,3.0,1.0,0.0,0.0,0.0,0.0,4.1,0.27,3.1,1.02,11.0,24,45.8,155,16.0,14.8,23.9,12,8.3,20.3,26,1.0,3.8,7.0,2.33,21.1
ENG-Premier League,2223,Manchester Utd,David de Gea,ESP,GK,31,1990,38.0,43.0,2.0,2.0,6.0,1.0,41.3,0.27,-0.7,-0.02,141.0,449,31.4,1032,128.0,32.6,32.3,179,63.1,47.1,526,15.0,2.9,32.0,0.84,14.8
ENG-Premier League,2223,Newcastle Utd,Martin Dúbravka,SVK,GK,33,1989,1.7,1.0,0.0,0.0,0.0,1.0,1.9,0.21,1.9,1.07,6.0,10,60.0,39,14.0,10.3,20.7,15,40.0,35.3,30,1.0,3.3,0.0,0.0,12.4
ENG-Premier League,2223,Newcastle Utd,Nick Pope,ENG,GK,30,1992,36.2,32.0,2.0,0.0,8.0,1.0,31.3,0.24,0.3,0.01,120.0,368,32.6,683,232.0,33.1,33.0,207,68.6,50.7,411,34.0,8.3,74.0,2.04,18.2
ENG-Premier League,2223,Nott'ham Forest,Dean Henderson,ENG,GK,25,1997,18.0,31.0,2.0,1.0,5.0,0.0,26.9,0.28,-4.1,-0.23,108.0,334,32.3,513,107.0,47.2,38.5,156,59.0,45.3,291,20.0,6.9,27.0,1.5,15.6
ENG-Premier League,2223,Nott'ham Forest,Keylor Navas,CRC,GK,35,1986,17.0,32.0,4.0,1.0,3.0,0.0,29.3,0.32,-2.7,-0.16,106.0,320,33.1,378,65.0,56.3,41.3,151,70.9,48.1,295,14.0,4.7,9.0,0.53,9.0
ENG-Premier League,2223,Nott'ham Forest,Wayne Hennessey,WAL,GK,35,1987,3.0,5.0,0.0,0.0,1.0,0.0,3.9,0.28,-1.1,-0.36,23.0,58,39.7,72,13.0,54.2,43.2,25,76.0,54.5,35,1.0,2.9,2.0,0.66,17.0
ENG-Premier League,2223,Southampton,Alex McCarthy,ENG,GK,32,1989,6.0,17.0,1.0,0.0,1.0,1.0,10.9,0.34,-5.1,-0.84,22.0,113,19.5,194,29.0,48.5,36.5,52,36.5,31.0,92,6.0,6.5,7.0,1.17,13.5
ENG-Premier League,2223,Southampton,Gavin Bazunu,IRL,GK,20,2002,32.0,56.0,1.0,1.0,7.0,4.0,35.4,0.28,-16.6,-0.52,212.0,629,33.7,935,144.0,50.2,38.1,237,67.5,50.0,456,36.0,7.9,48.0,1.5,15.1
ENG-Premier League,2223,Tottenham,Fraser Forster,ENG,GK,34,1988,13.5,24.0,2.0,1.0,4.0,0.0,21.3,0.34,-2.7,-0.2,36.0,124,29.0,269,71.0,29.0,30.2,93,49.5,37.6,193,5.0,2.6,16.0,1.19,15.2
ENG-Premier League,2223,Tottenham,Hugo Lloris,FRA,GK,35,1986,24.5,39.0,1.0,0.0,3.0,1.0,33.9,0.29,-4.1,-0.17,77.0,218,35.3,539,109.0,31.7,31.4,186,25.3,25.8,322,20.0,6.2,29.0,1.18,13.7
ENG-Premier League,2223,West Ham,Alphonse Areola,FRA,GK,29,1993,3.4,7.0,2.0,0.0,1.0,0.0,7.3,0.33,0.3,0.09,14.0,37,37.8,61,14.0,39.3,33.4,30,43.3,33.0,47,2.0,4.3,1.0,0.29,10.3
ENG-Premier League,2223,West Ham,Łukasz Fabiański,POL,GK,37,1985,34.6,48.0,2.0,0.0,3.0,1.0,45.9,0.28,-1.1,-0.03,198.0,516,38.4,677,153.0,54.2,39.3,249,59.8,44.8,513,29.0,5.7,25.0,0.72,13.0
ENG-Premier League,2223,Wolves,Daniel Bentley,ENG,GK,29,1993,2.0,3.0,0.0,0.0,0.0,0.0,3.9,0.3,0.9,0.44,10.0,29,34.5,57,14.0,38.6,32.9,23,30.4,32.2,37,5.0,13.5,1.0,0.5,8.0
ENG-Premier League,2223,Wolves,José Sá,POR,GK,29,1993,36.0,55.0,2.0,0.0,6.0,1.0,48.4,0.28,-5.6,-0.16,120.0,435,27.6,935,182.0,29.3,30.9,260,61.9,46.2,540,43.0,8.0,28.0,0.78,12.6
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,5.0,0.0,0.0,1.0,0.0,3.7,0.26,-1.3,-0.22,19.0,69,27.5,169,30.0,34.9,33.3,19,52.6,41.4,46,8.0,17.4,9.0,1.5,14.6
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32.0,24.0,2.0,1.0,5.0,1.0,20.4,0.26,-2.6,-0.08,138.0,372,37.1,969,159.0,32.2,30.7,96,62.5,47.5,329,40.0,12.2,50.0,1.56,17.9
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,48.0,1.0,0.0,10.0,4.0,50.8,0.37,6.8,0.2,121.0,332,36.4,1270,157.0,21.0,27.7,159,40.9,36.1,373,45.0,12.1,69.0,2.06,17.5
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,13.0,0.0,1.0,0.0,0.0,11.1,0.3,-1.9,-0.43,15.0,48,31.3,176,19.0,20.5,27.1,27,44.4,35.9,46,6.0,13.0,1.0,0.22,8.4
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,7.0,0.0,0.0,3.0,0.0,2.9,0.27,-4.1,-2.04,5.0,15,33.3,57,10.0,19.3,26.9,11,36.4,29.2,19,2.0,10.5,0.0,0.0,9.6
ENG-Premier League,2324,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,5.0,1.0,0.0,0.0,0.0,5.0,0.23,0.0,0.01,22.0,72,30.6,92,13.0,55.4,41.7,26,80.8,55.6,60,3.0,5.0,3.0,0.75,14.8
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34,1989,32.0,55.0,5.0,1.0,3.0,1.0,55.2,0.31,1.2,0.04,172.0,494,34.8,833,154.0,44.1,36.9,223,57.0,44.2,413,26.0,6.3,34.0,1.06,13.7
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,36.5,63.0,2.0,0.0,6.0,0.0,55.4,0.31,-7.6,-0.21,242.0,647,37.4,1288,131.0,36.6,34.5,289,60.9,46.7,568,44.0,7.7,37.0,1.01,12.6
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,2.0,0.0,0.0,0.0,0.0,1.5,0.2,-0.5,-0.3,12.0,30,40.0,56,5.0,41.1,35.8,15,46.7,39.9,37,2.0,5.4,1.0,0.67,10.0
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,28.0,3.0,0.0,3.0,0.0,25.4,0.25,-2.6,-0.12,55.0,142,38.7,789,117.0,17.1,24.4,72,9.7,15.7,232,17.0,7.3,31.0,1.48,15.8
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,32,1990,17.0,34.0,3.0,1.0,5.0,2.0,25.7,0.32,-6.3,-0.37,47.0,132,35.6,617,69.0,20.1,26.6,54,14.8,18.8,173,7.0,4.0,41.0,2.41,20.6
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,16.0,1.0,0.0,1.0,1.0,21.7,0.26,6.7,0.67,77.0,219,35.2,547,54.0,36.4,34.3,33,60.6,45.1,143,20.0,14.0,31.0,3.1,17.2
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20,2002,28.0,62.0,5.0,0.0,10.0,2.0,54.1,0.3,-5.9,-0.21,138.0,606,22.8,1332,162.0,33.9,31.3,198,78.3,54.2,419,30.0,7.2,43.0,1.54,15.0
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,25,1997,15.9,25.0,2.0,0.0,3.0,0.0,24.2,0.28,-0.8,-0.05,61.0,147,41.5,516,87.0,21.3,28.1,91,40.7,33.7,202,19.0,9.4,27.0,1.7,15.8
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,23,1999,22.1,38.0,1.0,0.0,5.0,3.0,28.3,0.26,-6.7,-0.3,67.0,214,31.3,655,97.0,22.1,27.8,149,46.3,37.8,312,20.0,6.4,20.0,0.91,12.7
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18.0,30.0,1.0,0.0,3.0,1.0,27.4,0.31,-1.6,-0.09,59.0,245,24.1,377,52.0,46.7,38.6,105,65.7,47.0,246,5.0,2.0,17.0,0.94,13.8
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,29,1994,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.15,-0.9,-19.2,0.0,5,0.0,4,0.0,100.0,53.8,1,100.0,63.0,1,1.0,100.0,0.0,0.0,3.5
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20.0,27.0,2.0,0.0,4.0,1.0,20.0,0.27,-6.0,-0.3,117.0,355,33.0,453,63.0,55.0,41.2,141,75.2,52.8,339,24.0,7.1,12.0,0.6,11.2
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29,1994,38.0,51.0,8.0,0.0,9.0,3.0,52.4,0.28,4.4,0.12,360.0,901,40.0,1297,141.0,56.7,41.6,273,60.8,48.3,570,30.0,5.3,54.0,1.42,15.9
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31,1992,38.0,61.0,8.0,2.0,3.0,4.0,55.7,0.26,-1.3,-0.03,144.0,439,32.8,1372,167.0,23.7,28.5,201,56.7,44.7,472,19.0,4.0,40.0,1.05,14.2
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,30,1992,28.0,30.0,1.0,0.0,4.0,1.0,28.7,0.26,-0.3,-0.01,60.0,183,32.8,1021,140.0,14.1,24.7,116,33.6,33.3,299,13.0,4.3,33.0,1.18,17.7
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10.0,11.0,0.0,0.0,3.0,1.0,11.3,0.3,1.3,0.13,32.0,102,31.4,411,52.0,22.4,27.3,28,35.7,34.9,77,5.0,6.5,13.0,1.3,17.0
ENG-Premier League,2324,Luton Town,James Shea,ENG,GK,32,1991,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.1,0.75,3.0,6,50.0,6,1.0,83.3,50.8,3,33.3,37.3,3,0.0,0.0,1.0,6.0,19.0
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,30,1992,37.8,85.0,4.0,0.0,13.0,4.0,77.6,0.34,-3.4,-0.09,271.0,808,33.5,1121,150.0,52.0,39.5,341,66.0,47.5,558,16.0,2.9,76.0,2.01,20.5
ENG-Premier League,2324,Manchester City,Ederson,BRA,GK,29,1993,30.9,27.0,3.0,0.0,2.0,1.0,27.2,0.3,1.2,0.04,114.0,246,46.3,1120,137.0,18.3,27.2,114,36.0,36.3,247,25.0,10.1,50.0,1.62,17.3
ENG-Premier League,2324,Manchester City,Stefan Ortega,GER,GK,30,1992,7.1,7.0,0.0,0.0,1.0,0.0,9.0,0.33,2.0,0.28,28.0,68,41.2,247,24.0,24.7,27.9,19,36.8,34.4,65,6.0,9.2,13.0,1.84,16.8
ENG-Premier League,2324,Manchester Utd,André Onana,CMR,GK,27,1996,38.0,58.0,7.0,1.0,11.0,1.0,59.1,0.27,2.1,0.06,149.0,513,29.0,1351,140.0,31.0,31.2,162,58.0,44.6,601,42.0,7.0,37.0,0.97,12.9
ENG-Premier League,2324,Newcastle Utd,Loris Karius,GER,GK,30,1993,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.29,-1.0,-0.99,3.0,18,16.7,27,5.0,48.1,36.3,9,55.6,41.8,10,1.0,10.0,3.0,3.0,19.5
ENG-Premier League,2324,Newcastle Utd,Martin Dúbravka,SVK,GK,34,1989,22.1,42.0,4.0,0.0,5.0,0.0,42.2,0.29,0.2,0.01,56.0,165,33.9,480,143.0,15.6,25.4,169,53.3,39.1,296,20.0,6.8,22.0,1.0,12.9
ENG-Premier League,2324,Newcastle Utd,Nick Pope,ENG,GK,31,1992,14.9,16.0,0.0,1.0,2.0,0.0,16.8,0.3,0.8,0.05,41.0,118,34.7,304,88.0,21.1,28.6,95,56.8,43.8,143,9.0,6.3,28.0,1.87,19.0
ENG-Premier League,2324,Nott'ham Forest,Matt Turner,USA,GK,29,1994,17.0,28.0,2.0,1.0,4.0,0.0,22.1,0.26,-5.9,-0.35,126.0,280,45.0,436,99.0,42.7,35.7,136,69.1,47.0,296,30.0,10.1,18.0,1.06,13.3
ENG-Premier League,2324,Nott'ham Forest,Matz Sels,BEL,GK,31,1992,16.0,27.0,1.0,0.0,9.0,2.0,17.2,0.27,-7.8,-0.49,75.0,179,41.9,283,51.0,45.9,36.6,93,52.7,41.4,223,11.0,4.9,4.0,0.25,9.4
ENG-Premier League,2324,Nott'ham Forest,Odisseas Vlachodimos,GRE,GK,29,1994,5.0,12.0,1.0,0.0,2.0,0.0,7.9,0.31,-4.1,-0.83,28.0,60,46.7,130,21.0,25.4,29.6,44,61.4,44.3,92,3.0,3.3,2.0,0.4,10.3
ENG-Premier League,2324,Sheffield Utd,Ivo Grbić,CRO,GK,27,1996,8.6,25.0,0.0,0.0,4.0,2.0,14.7,0.25,-8.3,-0.97,65.0,199,32.7,207,25.0,57.5,41.2,89,89.9,59.4,193,11.0,5.7,14.0,1.63,14.4
ENG-Premier League,2324,Sheffield Utd,Wes Foderingham,ENG,GK,32,1991,29.4,79.0,5.0,0.0,8.0,5.0,70.5,0.33,-3.5,-0.12,206.0,619,33.3,782,101.0,54.6,40.2,262,73.3,52.3,468,28.0,6.0,42.0,1.43,14.7
ENG-Premier League,2324,Tottenham,Guglielmo Vicario,ITA,GK,26,1996,38.0,61.0,7.0,1.0,8.0,3.0,60.0,0.32,2.0,0.05,53.0,225,23.6,1363,193.0,14.3,24.0,201,14.9,22.2,511,33.0,6.5,81.0,2.13,17.1
ENG-Premier League,2324,West Ham,Alphonse Areola,FRA,GK,30,1993,30.0,53.0,5.0,0.0,3.0,3.0,52.1,0.24,2.1,0.07,160.0,430,37.2,643,144.0,43.9,36.8,219,67.6,47.3,468,27.0,5.8,7.0,0.23,8.9
ENG-Premier League,2324,West Ham,Łukasz Fabiański,POL,GK,38,1985,8.0,21.0,3.0,0.0,3.0,1.0,19.8,0.33,-0.2,-0.02,50.0,123,40.7,182,44.0,50.0,39.0,56,57.1,45.1,114,8.0,7.0,1.0,0.12,7.6
ENG-Premier League,2324,Wolves,Daniel Bentley,ENG,GK,30,1993,4.3,7.0,0.0,0.0,0.0,0.0,5.8,0.39,-1.2,-0.28,13.0,56,23.2,111,9.0,36.0,33.8,33,48.5,36.9,50,0.0,0.0,3.0,0.7,13.3
ENG-Premier League,2324,Wolves,José Sá,POR,GK,30,1993,33.7,58.0,8.0,1.0,7.0,1.0,65.9,0.31,8.9,0.26,87.0,424,20.5,841,190.0,33.3,33.0,253,56.9,42.6,522,45.0,8.6,28.0,0.83,12.6
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,16.0,1.0,1.0,3.0,0.0,15.2,0.24,-0.8,-0.05,84.0,240,35.0,559,71.0,34.0,31.5,63,79.4,54.8,194,26.0,13.4,31.0,1.82,15.9
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,16.5,25.0,1.0,1.0,1.0,0.0,21.8,0.31,-3.2,-0.2,71.0,162,43.8,537,59.0,23.8,29.6,70,48.6,41.0,218,24.0,11.0,15.0,0.91,13.3
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,0.5,1.0,0.0,0.0,0.0,0.0,1.1,0.37,0.1,0.13,1.0,6,16.7,19,0.0,21.1,26.5,2,100.0,70.0,2,0.0,0.0,0.0,0.0,8.3
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12.0,16.0,1.0,0.0,0.0,0.0,17.3,0.29,1.3,0.11,65.0,149,43.6,297,45.0,34.3,33.6,84,56.0,42.4,147,8.0,5.4,19.0,1.58,15.2
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3.0,3.0,0.0,0.0,1.0,0.0,6.3,0.42,3.3,1.11,25.0,45,55.6,49,15.0,53.1,38.3,23,82.6,58.7,40,0.0,0.0,4.0,1.33,13.4
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2.0,2.0,0.0,0.0,0.0,0.0,4.3,0.35,2.3,1.17,9.0,27,33.3,46,7.0,43.5,36.8,15,46.7,38.9,30,2.0,6.7,3.0,1.5,12.6
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17.0,32.0,1.0,0.0,1.0,1.0,28.6,0.25,-2.4,-0.14,109.0,274,39.8,721,56.0,31.6,33.7,88,52.3,45.0,285,18.0,6.3,21.0,1.24,12.5
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15.0,25.0,2.0,1.0,2.0,1.0,24.0,0.34,0.0,0.0,60.0,155,38.7,527,68.0,24.7,28.2,37,67.6,47.3,193,12.0,6.2,22.0,1.47,14.6
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.12,-0.5,-0.26,7.0,16,43.8,110,7.0,13.6,25.1,2,50.0,43.0,22,2.0,9.1,3.0,1.5,15.4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.46,0.8,0.84,0.0,4,0.0,21,4.0,19.0,24.0,0,,,13,1.0,7.7,0.0,0.0,6.5
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-035,1997,16.0,18.0,3.0,0.0,1.0,0.0,19.7,0.23,1.7,0.11,44.0,185,23.8,592,94.0,28.0,30.6,45,42.2,37.1,158,22.0,13.9,35.0,2.19,15.1
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27-286,1997,17.0,26.0,0.0,0.0,2.0,2.0,26.2,0.36,2.2,0.13,56.0,257,21.8,405,55.0,48.4,38.4,123,49.6,41.9,248,13.0,5.2,24.0,1.41,16.2
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30-291,1994,16.0,21.0,0.0,0.0,4.0,0.0,20.2,0.3,-0.8,-0.05,130.0,350,37.1,507,64.0,54.8,42.6,119,60.5,48.3,232,11.0,4.7,34.0,2.13,16.6
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32-294,1992,17.0,22.0,0.0,0.0,4.0,1.0,17.8,0.27,-3.2,-0.19,57.0,171,33.3,589,68.0,21.2,28.7,74,62.2,48.3,234,16.0,6.8,15.0,0.88,12.0
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,26-046,1998,16.0,30.0,3.0,0.0,2.0,0.0,29.7,0.3,-0.3,-0.02,71.0,207,34.3,478,92.0,29.5,30.5,89,74.2,54.1,226,36.0,15.9,18.0,1.13,12.1
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,29-044,1995,1.0,2.0,0.0,0.0,0.0,0.0,2.3,0.47,0.3,0.33,6.0,14,42.9,36,7.0,33.3,30.4,6,33.3,31.3,16,1.0,6.3,1.0,1.0,13.8
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31-184,1993,1.5,6.0,0.0,0.0,0.0,0.0,2.9,0.29,-3.1,-2.05,10.0,22,45.5,45,9.0,37.8,32.4,9,55.6,48.7,11,0.0,0.0,2.0,1.33,20.7
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24-165,2000,15.5,31.0,1.0,0.0,2.0,2.0,34.8,0.37,5.8,0.37,68.0,247,27.5,500,87.0,36.8,33.8,93,67.7,47.1,267,18.0,6.7,14.0,0.9,12.9
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,32-082,1992,7.9,7.0,0.0,0.0,0.0,0.0,8.5,0.34,1.5,0.19,17.0,53,32.1,252,30.0,19.0,25.0,23,21.7,24.9,66,3.0,4.5,16.0,2.03,17.3
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,26-030,1998,8.0,9.0,0.0,0.0,0.0,0.0,10.4,0.31,1.4,0.17,25.0,94,26.6,281,37.0,29.9,29.1,15,66.7,44.7,87,4.0,4.6,8.0,1.0,15.1
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23-153,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.25,5.0,7,71.4,7,2.0,85.7,50.9,1,100.0,59.0,2,0.0,0.0,0.0,0.0,11.0
ENG-Premier League,2425,Manchester City,Ederson,BRA,GK,31-128,1993,13.0,19.0,2.0,0.0,1.0,1.0,19.2,0.39,1.2,0.09,46.0,96,47.9,425,42.0,20.5,28.4,38,23.7,31.4,103,4.0,3.9,23.0,1.77,17.6
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,32-047,1992,4.0,6.0,1.0,0.0,1.0,0.0,6.2,0.33,0.2,0.05,8.0,25,32.0,140,22.0,15.7,23.1,19,15.8,16.4,40,1.0,2.5,7.0,1.75,20.0
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28-265,1996,17.0,22.0,2.0,0.0,8.0,0.0,25.4,0.35,3.4,0.2,60.0,196,30.6,665,82.0,25.6,28.3,49,53.1,42.7,188,12.0,6.4,13.0,0.76,12.1
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,35-343,1989,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.3,0.16,1.0,12,8.3,70,5.0,10.0,23.6,11,45.5,36.5,14,2.0,14.3,1.0,0.5,12.8
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,32-248,1992,15.0,21.0,0.0,0.0,1.0,1.0,21.6,0.3,1.6,0.11,38.0,153,24.8,329,100.0,28.6,31.7,112,52.7,42.8,218,21.0,9.6,31.0,2.07,14.9
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,32-301,1992,17.0,19.0,1.0,1.0,1.0,0.0,18.2,0.27,-0.8,-0.05,107.0,313,34.2,330,30.0,69.1,45.0,113,75.2,53.4,284,10.0,3.5,4.0,0.24,8.1
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26-223,1998,10.0,19.0,1.0,0.0,4.0,0.0,19.9,0.34,0.9,0.09,41.0,147,27.9,408,52.0,31.9,31.4,44,38.6,32.7,149,9.0,6.0,10.0,1.0,13.6
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,35-020,1989,4.0,10.0,1.0,0.0,1.0,0.0,9.9,0.31,-0.1,-0.01,9.0,28,32.1,100,23.0,26.0,26.7,17,11.8,18.4,66,6.0,9.1,0.0,0.0,6.6
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29-312,1995,3.0,7.0,0.0,0.0,1.0,0.0,7.7,0.39,0.7,0.22,15.0,50,30.0,135,14.0,34.1,30.0,15,26.7,24.0,56,2.0,3.6,7.0,2.33,18.0
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36-281,1988,5.0,12.0,2.0,0.0,1.0,0.0,11.7,0.29,-0.3,-0.06,4.0,17,23.5,105,22.0,15.2,25.3,45,2.2,15.8,66,3.0,4.5,2.0,0.4,12.2
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28-077,1996,12.0,13.0,0.0,0.0,2.0,0.0,15.9,0.39,2.9,0.24,10.0,31,32.3,423,69.0,6.6,20.8,37,8.1,20.1,146,19.0,13.0,20.0,1.67,14.1
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31-300,1993,7.5,14.0,0.0,0.0,2.0,1.0,9.4,0.3,-3.6,-0.47,49.0,111,44.1,220,32.0,34.1,31.2,66,54.5,42.3,111,7.0,6.3,10.0,1.33,14.4
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39-249,1985,9.5,16.0,2.0,1.0,3.0,0.0,19.3,0.34,3.3,0.35,54.0,174,31.0,273,45.0,46.2,36.9,74,64.9,46.8,162,6.0,3.7,11.0,1.16,15.1
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31-341,1993,10.0,23.0,3.0,1.0,3.0,2.0,16.1,0.27,-4.9,-0.49,36.0,149,24.2,269,47.0,40.1,36.0,51,80.4,55.2,178,11.0,6.2,16.0,1.6,15.6
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31-273,1993,7.0,17.0,2.0,0.0,5.0,1.0,13.0,0.29,-3.0,-0.43,52.0,129,40.3,252,28.0,45.6,36.6,25,56.0,43.2,104,8.0,7.7,11.0,1.57,13.4
