,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,vs Newcastle Utd,28,38,562,334,248,239,75,274,674,40.7,400,365,114,251,341,903,616,7,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,vs Norwich City,30,38,684,400,291,275,118,278,705,39.4,427,444,120,324,430,1114,602,13,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,26,38,481,296,277,167,37,188,534,35.2,346,334,90,244,351,832,903,15,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,25,38,619,362,337,232,50,257,680,37.8,423,407,130,277,428,1047,824,22,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,vs Tottenham,29,38,734,410,318,326,90,297,746,39.8,449,409,121,288,450,1184,777,17,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,vs Watford,26,38,603,351,319,210,74,254,575,44.2,321,363,124,239,386,989,818,25,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,vs West Ham,29,38,586,333,299,221,66,264,661,39.9,397,369,92,277,392,978,715,10,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,vs Wolves,21,38,646,381,292,283,71,308,817,37.7,509,390,135,255,380,1026,817,19,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,vs Arsenal,29,38,499,285,246,192,61,239,535,44.7,296,391,129,262,369,868,752,16,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,vs Aston Villa,24,38,563,322,309,189,65,226,595,38.0,369,377,145,232,355,918,804,18,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,vs Brighton,27,38,528,316,269,207,52,222,572,38.8,350,417,154,263,456,984,717,15,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,vs Burnley,25,38,447,261,212,193,42,163,397,41.1,234,300,87,213,308,755,811,12,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,vs Chelsea,27,38,584,313,278,221,85,298,657,45.4,359,464,153,311,430,1014,761,16,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,vs Crystal Palace,24,38,682,400,281,305,96,280,645,43.4,365,397,97,300,378,1060,597,11,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,vs Everton,29,38,573,314,238,242,93,229,591,38.7,362,398,99,299,357,930,655,9,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,vs Fulham,28,38,682,373,323,271,88,289,795,36.4,506,426,121,305,404,1086,729,16,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,vs Leeds United,23,38,564,318,242,235,87,245,563,43.5,318,448,126,322,426,990,812,14,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,vs Leicester City,27,38,609,350,287,250,72,287,645,44.5,358,450,140,310,449,1058,679,15,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,vs Liverpool,28,38,675,343,377,238,60,288,695,41.4,407,469,172,297,456,1131,1057,27,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,vs Manchester City,24,38,647,358,380,219,48,287,772,37.2,485,451,168,283,405,1052,713,28,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,vs Manchester Utd,29,38,656,369,360,215,81,296,711,41.6,415,511,149,362,478,1134,724,11,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,vs Newcastle Utd,27,38,534,276,232,223,79,237,587,40.4,350,387,115,272,372,906,632,9,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,vs Sheffield Utd,27,38,529,301,288,177,64,206,475,43.4,269,353,91,262,296,825,690,9,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
