,,,players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Unnamed: 25_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,Crystal Palace,25,29.4,38,3420,90,100,38,418,85,,98,20,185,1.13,31,50,-19,-0.5,35.8,57.0,-21.2,-0.56,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,Everton,24,25.5,38,3420,90,100,38,418,83,,120,24,164,1.29,44,56,-12,-0.32,50.8,48.3,2.5,0.07,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,Leicester City,24,26.1,38,3420,90,100,38,418,84,,112,21,172,1.63,67,41,26,0.68,62.2,45.5,16.7,0.44,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,Liverpool,24,26.6,38,3420,90,100,38,418,85,,127,17,157,2.61,85,33,52,1.37,68.9,37.7,31.2,0.82,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,Manchester City,24,26.9,38,3420,90,100,38,418,83,,120,22,166,2.13,102,35,67,1.76,92.0,36.2,55.7,1.47,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,Manchester Utd,29,24.8,38,3420,90,100,38,418,85,,119,16,165,1.74,66,36,30,0.79,62.2,37.7,24.5,0.64,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,Newcastle Utd,28,26.5,38,3420,90,100,38,418,84,,118,20,166,1.16,38,58,-20,-0.53,35.5,65.6,-30.1,-0.79,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,Norwich City,30,26.0,38,3420,90,100,38,418,85,,126,17,157,0.55,26,75,-49,-1.29,37.0,66.5,-29.5,-0.78,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,Sheffield Utd,26,26.9,38,3420,90,100,38,418,84,,110,22,171,1.42,39,39,0,0.0,43.0,51.0,-7.9,-0.21,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,Southampton,25,25.9,38,3420,90,100,38,418,85,,111,18,171,1.37,51,60,-9,-0.24,56.1,52.8,3.3,0.09,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,Tottenham,29,26.7,38,3420,90,100,38,418,85,,113,18,171,1.55,61,47,14,0.37,47.9,54.2,-6.3,-0.17,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,Watford,26,28.9,38,3420,90,100,38,418,84,,113,20,171,0.89,36,64,-28,-0.74,48.9,58.1,-9.3,-0.24,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,West Ham,29,27.4,38,3420,90,100,38,418,85,,107,21,177,1.03,49,62,-13,-0.34,48.6,63.8,-15.2,-0.4,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,Wolves,21,26.6,38,3420,90,100,38,418,86,,97,19,187,1.55,51,40,11,0.29,54.1,38.0,16.1,0.42,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,Arsenal,29,25.9,38,3420,90,100,38,418,84,301.0,114,19,201,1.61,55,39,16,0.42,51.8,43.0,8.8,0.23,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,Aston Villa,24,25.2,38,3420,90,100,38,418,86,324.0,91,17,229,1.45,55,46,9,0.24,52.5,51.1,1.4,0.04,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,Brighton,27,25.8,38,3420,90,100,38,418,85,305.0,108,20,208,1.08,40,46,-6,-0.16,50.9,35.3,15.6,0.41,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,Burnley,25,28.3,38,3420,90,100,38,418,86,339.0,81,19,235,1.03,33,55,-22,-0.58,39.3,54.7,-15.4,-0.4,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,Chelsea,27,26.0,38,3420,90,100,38,418,84,308.0,108,22,208,1.76,58,36,22,0.58,62.4,30.3,32.1,0.85,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,Crystal Palace,24,29.1,38,3420,90,100,38,418,86,321.0,95,17,208,1.16,41,66,-25,-0.66,34.1,58.2,-24.2,-0.64,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,Everton,29,26.3,38,3420,90,100,38,418,85,310.0,106,19,206,1.55,47,48,-1,-0.03,45.7,50.1,-4.5,-0.12,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,Fulham,28,25.2,38,3420,90,100,38,418,85,306.0,110,19,203,0.74,27,53,-26,-0.68,40.5,52.6,-12.1,-0.32,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,Leeds United,23,26.1,38,3420,90,100,38,418,83,312.0,107,25,209,1.55,62,54,8,0.21,55.6,57.9,-2.2,-0.06,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,Leicester City,27,26.5,38,3420,90,100,38,418,85,320.0,99,22,216,1.74,68,50,18,0.47,55.8,46.0,9.8,0.26,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,Liverpool,28,26.8,38,3420,90,100,38,418,85,314.0,104,19,212,1.82,68,42,26,0.68,67.5,43.0,24.5,0.65,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,Manchester City,24,26.1,38,3420,90,100,38,418,86,339.0,77,22,240,2.26,83,32,51,1.34,68.2,30.2,38.0,1.0,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,Manchester Utd,29,25.6,38,3420,90,100,38,418,86,318.0,99,18,219,1.95,73,44,29,0.76,60.1,41.4,18.6,0.49,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,Newcastle Utd,27,27.1,38,3420,90,100,38,418,85,306.0,109,19,209,1.18,46,62,-16,-0.42,43.4,58.3,-14.9,-0.39,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,Sheffield Utd,27,26.7,38,3420,90,100,38,418,83,315.0,103,25,198,0.61,20,63,-43,-1.13,32.6,62.2,-29.6,-0.78,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,Southampton,29,26.6,38,3420,90,100,38,418,85,314.0,101,19,215,1.13,47,68,-21,-0.55,41.2,53.1,-11.8,-0.31,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,Tottenham,24,27.2,38,3420,90,100,38,418,85,305.0,112,20,204,1.63,68,45,23,0.61,53.1,49.1,4.0,0.1,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,West Brom,30,26.4,38,3420,90,100,38,418,84,311.0,104,22,211,0.68,35,76,-41,-1.08,35.8,67.9,-32.0,-0.84,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,West Ham,24,27.8,38,3420,90,100,38,418,86,316.0,99,17,214,1.71,62,47,15,0.39,55.4,48.7,6.7,0.18,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,Wolves,27,26.3,38,3420,90,100,38,418,85,313.0,106,19,204,1.18,36,52,-16,-0.42,36.5,49.5,-13.0,-0.34,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,Arsenal,27,24.4,38,3420,90,100,38,418,85,304.0,110,17,232,1.82,61,48,13,0.34,60.5,45.7,14.9,0.39,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,Aston Villa,31,26.1,38,3420,90,100,38,418,85,304.0,113,20,228,1.18,52,54,-2,-0.05,44.0,49.0,-4.9,-0.13,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,Brentford,29,25.4,38,3420,90,100,38,418,84,304.0,114,22,223,1.21,48,56,-8,-0.21,45.8,48.5,-2.7,-0.07,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,Brighton,26,26.2,38,3420,90,100,38,418,84,308.0,111,22,231,1.34,42,44,-2,-0.05,46.2,42.9,3.3,0.09,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,Burnley,23,28.5,38,3420,90,100,38,418,86,321.0,96,19,244,0.92,34,53,-19,-0.5,39.7,57.1,-17.4,-0.46,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,Chelsea,26,27.4,38,3420,90,100,38,418,84,306.0,111,22,226,1.95,76,33,43,1.13,63.4,33.2,30.1,0.79,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
