,,,players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Unnamed: 30_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,vs Southampton,2,38,47,5,4,6,0,42.6,0.23,-4.4,-0.12,215,534,40.3,933,167,41.8,36.3,242,59.5,44.1,427,12,2.8,45,1.18,15.5,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,vs Tottenham,1,38,68,5,0,6,2,54.8,0.3,-11.2,-0.3,165,474,34.8,915,183,37.5,33.9,217,60.4,45.1,416,17,4.1,51,1.34,17.9,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,vs West Brom,2,38,35,4,1,5,2,30.9,0.26,-2.1,-0.06,118,348,33.9,858,180,26.8,29.5,253,46.6,38.7,463,33,7.1,42,1.11,13.8,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,vs West Ham,2,38,62,2,0,9,2,48.1,0.29,-11.9,-0.31,173,478,36.2,1020,203,33.9,31.9,242,54.5,42.6,596,20,3.4,33,0.87,16.9,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,vs Wolves,2,38,36,4,0,7,2,34.1,0.2,0.1,0.0,156,395,39.5,828,172,32.5,32.4,275,45.8,38.0,565,29,5.1,26,0.68,12.9,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,vs Arsenal,2,38,61,5,1,13,1,52.4,0.24,-7.6,-0.2,214,563,38.0,1098,164,35.7,33.5,284,60.2,44.8,498,25,5.0,55,1.45,16.5,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,vs Aston Villa,3,38,52,3,0,7,2,45.0,0.27,-5.0,-0.13,157,412,38.1,886,182,31.8,32.7,263,49.4,40.5,530,21,4.0,41,1.08,14.4,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,vs Brentford,3,38,48,6,0,6,2,43.8,0.26,-2.2,-0.06,182,547,33.3,884,147,45.1,38.2,244,60.7,45.8,509,34,6.7,56,1.47,15.7,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,vs Brighton,2,38,42,4,0,6,2,39.5,0.24,-0.5,-0.01,153,483,31.7,888,202,37.3,34.3,285,53.3,41.3,564,21,3.7,43,1.13,15.4,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,vs Burnley,2,38,34,1,1,6,2,32.1,0.26,0.1,0.0,191,587,32.5,1094,196,39.4,35.2,269,58.0,43.3,590,47,8.0,51,1.34,13.8,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,vs Chelsea,2,38,76,8,1,8,1,65.3,0.28,-9.7,-0.25,206,576,35.8,989,180,41.8,36.1,293,55.6,43.0,604,34,5.6,34,0.89,13.2,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,vs Crystal Palace,2,38,50,6,1,2,0,43.0,0.25,-7.0,-0.18,201,511,39.3,919,141,42.8,35.5,241,49.0,40.8,505,31,6.1,36,0.95,13.2,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,vs Everton,2,38,43,6,0,6,1,39.4,0.25,-2.6,-0.07,141,399,35.3,939,206,29.3,31.5,281,44.1,40.0,486,34,7.0,37,0.97,14.9,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,vs Leeds United,2,38,42,5,1,8,0,41.2,0.25,-0.8,-0.02,206,550,37.5,1029,196,34.4,33.2,309,63.4,46.3,481,26,5.4,51,1.34,15.4,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,vs Leicester City,2,38,62,2,1,4,0,54.0,0.33,-8.0,-0.21,174,490,35.5,961,169,37.9,34.5,236,53.4,41.5,433,28,6.5,37,0.97,15.4,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,vs Liverpool,2,38,94,7,1,15,0,79.3,0.3,-14.7,-0.39,230,747,30.8,1039,192,47.7,37.7,355,70.7,49.6,686,35,5.1,56,1.47,14.4,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,vs Manchester City,2,38,99,7,0,15,3,81.2,0.3,-14.8,-0.39,261,725,36.0,1089,182,43.3,35.6,403,63.0,45.5,649,49,7.6,26,0.68,11.0,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,vs Manchester Utd,1,38,57,3,1,4,1,48.2,0.25,-7.8,-0.2,191,586,32.6,1030,177,42.0,35.1,277,55.2,43.5,501,23,4.6,31,0.82,14.7,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,vs Newcastle Utd,3,38,44,3,4,6,3,39.1,0.25,-1.9,-0.05,180,480,37.5,865,167,38.4,34.1,257,57.6,42.0,488,26,5.3,45,1.18,16.3,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,vs Norwich City,2,38,23,3,0,3,2,25.8,0.22,4.8,0.13,144,375,38.4,863,184,30.4,31.2,233,48.5,39.5,459,29,6.3,53,1.39,16.8,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,vs Southampton,3,38,43,4,4,7,2,43.5,0.24,2.5,0.07,213,534,39.9,1059,162,38.1,35.0,246,53.3,42.4,571,34,6.0,51,1.34,14.8,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,vs Tottenham,1,38,69,5,1,4,6,65.5,0.32,2.5,0.06,159,495,32.1,945,184,38.9,35.2,239,53.1,41.5,486,23,4.7,45,1.18,15.5,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,vs Watford,2,38,34,1,0,5,1,38.0,0.29,5.0,0.13,140,390,35.9,922,170,30.6,30.4,251,43.0,36.4,474,29,6.1,52,1.37,16.0,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,vs West Ham,2,38,60,4,1,9,2,48.7,0.3,-9.3,-0.24,151,414,36.5,975,173,27.8,30.4,302,47.4,39.0,622,38,6.1,25,0.66,11.6,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,vs Wolves,2,38,38,1,1,4,3,33.5,0.25,-1.5,-0.04,127,383,33.2,870,173,32.9,32.5,240,40.4,36.7,462,24,5.2,74,1.95,19.3,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,vs Arsenal,1,38,88,3,0,13,4,66.8,0.33,-17.2,-0.45,215,604,35.6,960,134,41.4,35.6,339,61.1,44.8,510,38,7.5,37,0.97,12.9,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,vs Aston Villa,2,38,51,3,2,6,2,44.1,0.28,-4.9,-0.13,134,355,37.7,811,173,30.2,32.3,243,45.3,37.7,439,27,6.2,41,1.08,15.1,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,vs Bournemouth,2,38,37,0,0,7,0,34.7,0.28,-2.3,-0.06,109,316,34.5,928,173,26.2,30.7,219,33.3,32.6,401,25,6.2,48,1.26,17.0,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,vs Brentford,1,38,58,7,2,8,2,54.6,0.31,-1.4,-0.04,157,546,28.8,887,183,41.4,36.3,285,62.8,44.7,531,34,6.4,53,1.39,15.7,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,vs Brighton,2,38,72,6,1,3,4,66.8,0.28,-1.2,-0.03,202,663,30.5,1139,170,42.5,35.8,329,54.4,40.6,554,38,6.9,63,1.66,14.2,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,vs Chelsea,2,38,38,3,1,5,1,43.7,0.27,6.7,0.18,169,488,34.6,989,180,36.0,34.0,290,45.5,38.6,549,32,5.8,36,0.95,14.8,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,vs Crystal Palace,3,38,40,1,1,5,2,41.2,0.29,3.2,0.08,139,373,37.3,1030,172,28.3,30.1,250,32.8,31.9,459,27,5.9,50,1.32,15.7,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,vs Everton,2,38,34,3,0,5,2,38.6,0.25,6.6,0.17,122,377,32.4,1012,240,25.9,29.9,270,42.6,36.6,551,39,7.1,53,1.39,14.1,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,vs Fulham,2,38,55,5,1,10,3,52.1,0.31,0.1,0.0,139,430,32.3,1031,174,31.1,31.2,248,44.0,37.5,604,39,6.5,29,0.76,13.3,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,vs Leeds United,2,38,48,1,0,9,3,41.1,0.28,-3.9,-0.1,153,492,31.1,987,204,36.8,33.9,285,45.3,37.8,520,35,6.7,43,1.13,14.1,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,vs Leicester City,2,38,51,3,2,4,2,44.9,0.27,-4.1,-0.11,200,484,41.3,1047,187,34.1,32.6,228,55.7,43.9,380,31,8.2,59,1.55,16.4,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,vs Liverpool,2,38,75,2,1,11,4,66.7,0.32,-4.3,-0.11,213,710,30.0,998,199,49.4,38.9,325,66.8,48.4,651,40,6.1,48,1.26,14.7,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,2,38,94,9,2,10,2,74.8,0.31,-17.2,-0.45,223,652,34.2,1183,174,41.0,35.8,323,51.7,40.8,552,32,5.8,23,0.61,13.0,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,1,38,58,3,0,3,2,63.8,0.3,7.8,0.21,215,556,38.7,1198,189,35.6,32.3,291,44.7,36.9,406,19,4.7,64,1.68,18.2,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,2,38,68,6,1,6,4,66.5,0.32,2.5,0.07,222,736,30.2,1064,195,48.9,38.7,316,68.4,48.3,580,55,9.5,51,1.34,14.2,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,3,38,38,3,0,4,2,32.9,0.23,-3.1,-0.08,97,280,34.6,905,192,23.4,28.4,231,29.4,30.0,416,27,6.5,49,1.29,15.4,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,2,38,36,2,3,5,0,36.1,0.25,0.1,0.0,161,428,37.6,1037,186,30.3,31.3,241,47.3,40.0,475,31,6.5,50,1.32,15.9,/en/squads/33c895d4/2022-2023/Southampton-Stats
