,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Bournemouth,Junior Stanislas,ENG,"MF,FW",28,1989,11.5,2,33,9,27.3,2.88,0.79,0.03,0.11,21.0,10,1,1,3.1,2.3,0.07,-1.1,-1.3
ENG-Premier League,1819,Bournemouth,Lewis Cook,ENG,MF,21,1997,8.0,0,4,0,0.0,0.5,0.0,0.0,,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1819,Bournemouth,Lys Mousset,FRA,FW,22,1996,4.1,1,12,7,58.3,2.93,1.71,0.08,0.14,14.8,0,0,0,1.4,1.4,0.11,-0.4,-0.4
ENG-Premier League,1819,Bournemouth,Mark Travers,IRL,GK,19,1999,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Bournemouth,Nathan Aké,NED,DF,23,1995,37.9,4,25,8,32.0,0.66,0.21,0.16,0.5,9.4,0,0,0,3.4,3.4,0.13,0.6,0.6
ENG-Premier League,1819,Bournemouth,Nathaniel Clyne,ENG,DF,27,1991,12.7,0,2,0,0.0,0.16,0.0,0.0,,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1819,Bournemouth,Ryan Fraser,SCO,"MF,FW",24,1994,35.2,7,51,25,49.0,1.45,0.71,0.14,0.28,19.9,4,0,0,4.7,4.7,0.09,2.3,2.3
ENG-Premier League,1819,Bournemouth,Sam Surridge,ENG,"MF,FW",20,1998,0.1,0,2,1,50.0,13.85,6.92,0.0,0.0,13.3,0,0,0,0.3,0.3,0.17,-0.3,-0.3
ENG-Premier League,1819,Bournemouth,Simon Francis,ENG,DF,33,1985,13.7,0,3,1,33.3,0.22,0.07,0.0,0.0,27.2,1,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1819,Bournemouth,Steve Cook,ENG,DF,27,1991,31.0,1,21,9,42.9,0.68,0.29,0.05,0.11,16.5,0,0,0,1.3,1.3,0.06,-0.3,-0.3
ENG-Premier League,1819,Bournemouth,Tyrone Mings,ENG,DF,25,1993,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Brighton,Alireza Jahanbakhsh,IRN,"FW,MF",24,1993,11.3,0,21,6,28.6,1.85,0.53,0.0,0.0,23.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8
ENG-Premier League,1819,Brighton,Anthony Knockaert,FRA,"MF,FW",26,1991,20.4,2,27,9,33.3,1.32,0.44,0.07,0.22,18.4,2,0,0,2.1,2.1,0.08,-0.1,-0.1
ENG-Premier League,1819,Brighton,Beram Kayal,ISR,MF,30,1988,10.4,1,5,2,40.0,0.48,0.19,0.2,0.5,19.9,0,0,0,0.4,0.4,0.08,0.6,0.6
