,,,players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Unnamed: 20_level_1
league,season,team,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,vs Norwich City,30,38,19565,17728,1798,384,26,157,893,846,266,126,88,0,15431,39,371,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,26,38,22602,20552,1993,455,48,210,761,946,218,99,72,9,17999,57,295,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,25,38,18481,16297,2115,481,37,130,737,1032,222,92,66,5,13419,69,419,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,vs Tottenham,29,38,18848,17045,1749,456,49,171,740,740,207,92,69,12,14672,54,359,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,vs Watford,26,38,21471,19570,1820,508,48,170,746,763,201,117,47,8,17002,81,320,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,vs West Ham,29,38,21591,19739,1753,427,60,140,770,768,219,115,57,8,17330,99,327,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,vs Wolves,21,38,19951,18133,1777,441,28,131,664,834,148,67,45,6,15811,41,323,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,vs Arsenal,29,38,19093,17471,1569,387,14,111,652,657,166,70,55,9,15355,53,290,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,vs Aston Villa,24,38,18381,16552,1782,473,16,151,784,735,194,86,62,5,14251,47,321,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,vs Brighton,27,38,19240,17411,1775,459,16,102,625,752,165,74,40,2,15268,54,367,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,vs Burnley,25,38,21670,19780,1811,443,24,162,801,796,237,76,74,7,16991,79,323,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,vs Chelsea,27,38,16703,14805,1844,485,15,101,533,821,160,64,52,7,12794,54,381,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,vs Crystal Palace,24,38,23089,21282,1761,440,19,246,795,815,230,99,91,9,19019,46,374,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,vs Everton,29,38,21555,19747,1766,423,28,136,746,794,226,101,69,9,17667,42,364,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,vs Fulham,28,38,20041,18089,1849,485,26,116,693,829,192,68,87,5,15762,103,326,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,vs Leeds United,23,38,15291,13322,1916,478,20,57,613,807,211,104,92,6,11293,53,312,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,vs Leicester City,27,38,17998,16109,1817,458,26,148,647,831,181,107,54,3,13803,72,352,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,vs Liverpool,28,38,15987,14279,1613,431,41,125,531,613,122,70,30,3,11888,95,313,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,vs Manchester City,24,38,15654,14096,1491,391,14,97,426,532,111,56,36,8,12270,67,251,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,vs Manchester Utd,29,38,18081,16354,1667,504,18,121,617,648,162,89,45,2,14217,60,345,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,vs Newcastle Utd,27,38,23488,21775,1643,420,19,136,844,723,226,108,80,5,19529,70,325,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,vs Sheffield Utd,27,38,23109,21188,1864,502,24,163,718,841,243,81,101,18,18988,57,340,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,vs Southampton,29,38,18167,16217,1861,465,25,120,667,873,196,72,55,11,13758,89,390,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,vs Tottenham,24,38,19385,17666,1643,463,11,109,754,656,201,92,65,12,15362,76,344,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,vs West Brom,30,38,23277,21362,1855,441,32,138,841,822,266,129,99,8,18892,60,355,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,vs West Ham,24,38,22463,20785,1619,425,34,114,740,670,182,85,59,9,18302,59,339,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,vs Wolves,27,38,19966,18258,1643,434,28,148,736,676,185,76,67,7,16265,65,290,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
