,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Newcastle Utd,Martin Dúbravka,SVK,GK,29,1989,38,38,3420.0,38.0,48.0,1.26,140.0,93.0,70.0,12.0,9.0,17,11.0,28.9,6.0,6.0,0.0,0.0,0.0
ENG-Premier League,1819,Southampton,Alex McCarthy,ENG,GK,28,1989,25,25,2250.0,25.0,44.0,1.76,119.0,78.0,64.7,5.0,8.0,12,4.0,16.0,2.0,2.0,0.0,0.0,0.0
ENG-Premier League,1819,Southampton,Angus Gunn,SCO,GK,22,1996,12,12,1080.0,12.0,18.0,1.5,50.0,31.0,64.0,4.0,4.0,4,3.0,25.0,1.0,0.0,1.0,0.0,100.0
ENG-Premier League,1819,Southampton,Fraser Forster,ENG,GK,30,1988,1,1,90.0,1.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Tottenham,Hugo Lloris,FRA,GK,31,1986,33,33,2970.0,33.0,33.0,1.0,130.0,98.0,76.9,21.0,2.0,10,12.0,36.4,5.0,3.0,2.0,0.0,40.0
ENG-Premier League,1819,Tottenham,Michel Vorm,NED,GK,34,1983,2,2,180.0,2.0,4.0,2.0,13.0,9.0,69.2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Tottenham,Paulo Gazzaniga,ARG,GK,26,1992,3,3,270.0,3.0,2.0,0.67,13.0,11.0,84.6,2.0,0.0,1,1.0,33.3,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Watford,Ben Foster,ENG,GK,35,1983,38,38,3420.0,38.0,59.0,1.55,180.0,123.0,69.4,14.0,8.0,16,7.0,18.4,5.0,4.0,1.0,0.0,20.0
ENG-Premier League,1819,West Ham,Łukasz Fabiański,POL,GK,33,1985,38,38,3420.0,38.0,55.0,1.45,198.0,143.0,74.2,15.0,7.0,16,7.0,18.4,5.0,4.0,1.0,0.0,20.0
ENG-Premier League,1819,Wolves,John Ruddy,ENG,GK,31,1986,1,1,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0,1.0,100.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1819,Wolves,Rui Patrício,POR,GK,30,1988,37,37,3330.0,37.0,46.0,1.24,138.0,96.0,68.8,15.0,9.0,13,7.0,18.9,4.0,3.0,0.0,1.0,0.0
ENG-Premier League,1819,Wolves,Will Norris,ENG,GK,24,1993,1,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,1.0,,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,Arsenal,Bernd Leno,GER,GK,27,1992,30,30,2649.0,29.4,39.0,1.33,151.0,111.0,78.1,9.0,13.0,8,7.0,23.3,7.0,6.0,1.0,0.0,14.3
ENG-Premier League,1920,Arsenal,Emiliano Martínez,ARG,GK,26,1992,9,8,771.0,8.6,9.0,1.05,42.0,33.0,81.0,5.0,1.0,2,3.0,37.5,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,1920,Aston Villa,Jed Steer,ENG,GK,26,1992,1,1,7.0,0.1,,,,,,,,1,,,,,,,
ENG-Premier League,1920,Aston Villa,Pepe Reina,ESP,GK,36,1982,12,12,1080.0,12.0,20.0,1.67,53.0,32.0,66.0,3.0,3.0,6,2.0,16.7,3.0,2.0,1.0,0.0,33.3
ENG-Premier League,1920,Aston Villa,Tom Heaton,ENG,GK,33,1986,20,20,1794.0,19.9,35.0,1.76,102.0,68.0,68.6,6.0,3.0,11,4.0,20.0,3.0,3.0,0.0,0.0,0.0
ENG-Premier League,1920,Aston Villa,Ørjan Nyland,NOR,GK,28,1990,7,5,539.0,6.0,12.0,2.0,27.0,15.0,55.6,0.0,2.0,3,1.0,20.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,Bournemouth,Aaron Ramsdale,ENG,GK,21,1998,37,37,3330.0,37.0,62.0,1.68,187.0,124.0,69.5,9.0,7.0,21,5.0,13.5,6.0,5.0,1.0,0.0,16.7
ENG-Premier League,1920,Bournemouth,Mark Travers,IRL,GK,20,1999,1,1,90.0,1.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,Brighton,Mathew Ryan,AUS,GK,27,1992,38,38,3420.0,38.0,54.0,1.42,168.0,116.0,69.0,9.0,14.0,15,9.0,23.7,2.0,2.0,0.0,0.0,0.0
ENG-Premier League,1920,Burnley,Nick Pope,ENG,GK,27,1992,38,38,3420.0,38.0,50.0,1.32,167.0,117.0,72.5,15.0,9.0,14,15.0,39.5,5.0,4.0,1.0,0.0,20.0
ENG-Premier League,1920,Chelsea,Kepa Arrizabalaga,ESP,GK,24,1994,33,33,2970.0,33.0,47.0,1.42,99.0,54.0,54.5,18.0,4.0,11,8.0,24.2,2.0,2.0,0.0,0.0,0.0
ENG-Premier League,1920,Chelsea,Willy Caballero,ARG,GK,37,1981,5,5,450.0,5.0,7.0,1.4,16.0,10.0,56.3,2.0,2.0,1,1.0,20.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,Crystal Palace,Vicente Guaita,ESP,GK,32,1987,35,35,3150.0,35.0,42.0,1.2,149.0,109.0,71.8,11.0,9.0,15,10.0,28.6,1.0,0.0,0.0,1.0,
ENG-Premier League,1920,Crystal Palace,Wayne Hennessey,WAL,GK,32,1987,3,3,270.0,3.0,8.0,2.67,23.0,15.0,65.2,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,Everton,Jordan Pickford,ENG,GK,25,1994,38,38,3420.0,38.0,56.0,1.47,147.0,94.0,63.9,13.0,10.0,15,9.0,23.7,4.0,3.0,0.0,1.0,0.0
ENG-Premier League,1920,Leicester City,Kasper Schmeichel,DEN,GK,32,1986,38,38,3420.0,38.0,41.0,1.08,135.0,94.0,75.6,18.0,8.0,12,13.0,34.2,10.0,8.0,2.0,0.0,20.0
ENG-Premier League,1920,Liverpool,Adrián,ESP,GK,32,1987,11,9,875.0,9.7,10.0,1.03,27.0,17.0,63.0,9.0,0.0,0,2.0,22.2,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,Liverpool,Alisson,BRA,GK,26,1992,29,29,2543.0,28.3,23.0,0.81,80.0,58.0,72.5,23.0,3.0,3,13.0,44.8,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,1920,Manchester City,Claudio Bravo,CHI,GK,36,1983,4,3,347.0,3.9,7.0,1.82,15.0,8.0,53.3,2.0,0.0,1,1.0,33.3,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,Manchester City,Ederson,BRA,GK,25,1993,35,35,3071.0,34.1,28.0,0.82,95.0,68.0,73.7,24.0,3.0,8,16.0,45.7,3.0,3.0,0.0,0.0,0.0
ENG-Premier League,1920,Manchester Utd,David de Gea,ESP,GK,28,1990,38,38,3420.0,38.0,36.0,0.95,131.0,96.0,74.8,18.0,12.0,8,13.0,34.2,3.0,3.0,0.0,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,Martin Dúbravka,SVK,GK,30,1989,38,38,3420.0,38.0,58.0,1.53,195.0,139.0,71.3,11.0,11.0,16,11.0,28.9,2.0,2.0,0.0,0.0,0.0
ENG-Premier League,1920,Norwich City,Michael McGovern,NIR,GK,35,1984,2,1,159.0,1.8,6.0,3.4,13.0,6.0,53.8,0.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,100.0
ENG-Premier League,1920,Norwich City,Ralf Fährmann,GER,GK,30,1988,1,1,21.0,0.2,1.0,4.29,2.0,1.0,100.0,,,1,,,,1.0,,,
ENG-Premier League,1920,Norwich City,Tim Krul,NED,GK,31,1988,36,36,3240.0,36.0,68.0,1.89,195.0,128.0,66.7,5.0,6.0,25,5.0,13.9,5.0,3.0,2.0,0.0,40.0
ENG-Premier League,1920,Sheffield Utd,Dean Henderson,ENG,GK,22,1997,36,36,3240.0,36.0,33.0,0.92,128.0,94.0,75.0,14.0,11.0,11,13.0,36.1,3.0,1.0,1.0,1.0,50.0
ENG-Premier League,1920,Sheffield Utd,Simon Moore,ENG,GK,29,1990,2,2,180.0,2.0,6.0,3.0,11.0,5.0,45.5,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,Southampton,Alex McCarthy,ENG,GK,29,1989,28,28,2520.0,28.0,35.0,1.25,113.0,78.0,69.9,13.0,5.0,10,7.0,25.0,2.0,1.0,1.0,0.0,50.0
ENG-Premier League,1920,Southampton,Angus Gunn,SCO,GK,23,1996,10,10,900.0,10.0,25.0,2.5,55.0,30.0,58.2,2.0,2.0,6,2.0,20.0,2.0,2.0,0.0,0.0,0.0
ENG-Premier League,1920,Tottenham,Hugo Lloris,FRA,GK,32,1986,21,21,1807.0,20.1,21.0,1.05,99.0,78.0,80.8,11.0,6.0,4,6.0,28.6,3.0,2.0,1.0,0.0,33.3
ENG-Premier League,1920,Tottenham,Paulo Gazzaniga,ARG,GK,27,1992,18,17,1613.0,17.9,26.0,1.45,82.0,56.0,72.0,5.0,5.0,7,2.0,11.8,4.0,3.0,1.0,0.0,25.0
ENG-Premier League,1920,Watford,Ben Foster,ENG,GK,36,1983,38,38,3420.0,38.0,64.0,1.68,178.0,116.0,68.5,8.0,10.0,20,9.0,23.7,9.0,8.0,1.0,0.0,11.1
ENG-Premier League,1920,West Ham,Darren Randolph,IRL,GK,32,1987,2,2,180.0,2.0,5.0,2.5,11.0,6.0,63.6,0.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
