,,,players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Unnamed: 20_level_1
league,season,team,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,Aston Villa,28,38,15672,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,Bournemouth,27,38,16387,14488,1832,450,28,92,646,790,194,104,57,0,12042,67,390,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,Brighton,25,38,20056,18194,1791,394,34,200,689,853,178,78,78,0,15881,71,365,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,Burnley,22,38,14694,12767,1838,408,29,99,743,868,170,158,1,0,10049,89,287,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,Chelsea,27,38,25213,23308,1842,401,61,215,862,876,247,106,82,2,20958,63,361,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,Crystal Palace,25,38,16395,14377,1965,501,19,79,588,886,177,93,32,36,12274,53,318,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,Everton,24,38,17736,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,Leicester City,24,38,21800,19817,1919,495,68,126,779,883,221,70,100,7,17600,64,368,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,Liverpool,24,38,25891,23952,1886,440,68,283,896,879,257,63,125,2,21276,53,343,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,Manchester City,24,38,28190,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,Manchester Utd,29,38,21725,19836,1833,466,64,171,635,822,204,86,63,11,17744,56,381,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,Newcastle Utd,28,38,14566,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,Norwich City,30,38,18869,16961,1858,461,47,124,473,773,162,75,77,2,14965,50,373,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,Sheffield Utd,26,38,16858,14962,1818,375,15,206,866,882,212,150,18,18,12125,78,341,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,Southampton,25,38,17468,15450,1960,448,27,133,690,950,210,106,87,5,12488,58,331,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,Tottenham,29,38,20296,18404,1826,464,79,113,641,785,200,116,51,1,16101,66,344,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,Watford,26,38,15775,13907,1800,398,11,134,684,838,167,92,49,2,11230,68,285,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,West Ham,29,38,16861,14967,1828,432,38,156,737,815,190,111,54,6,12451,66,358,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,Wolves,21,38,18474,16650,1775,405,40,203,718,816,193,55,80,0,14298,49,323,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,Arsenal,29,38,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
