,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,West Ham,Łukasz Fabiański,POL,GK,33,1985,38,38,3420,38.0,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20.0
ENG-Premier League,1819,Wolves,John Ruddy,ENG,GK,31,1986,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
ENG-Premier League,1819,Wolves,Rui Patrício,POR,GK,30,1988,37,37,3330,37.0,46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,1,0.0
ENG-Premier League,1819,Wolves,Will Norris,ENG,GK,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,
ENG-Premier League,1920,Arsenal,Bernd Leno,GER,GK,27,1992,30,30,2649,29.4,39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,0,14.3
ENG-Premier League,1920,Arsenal,Emiliano Martínez,ARG,GK,26,1992,9,8,771,8.6,9,1.05,42,33,81.0,5,1,2,3,37.5,1,1,0,0,0.0
ENG-Premier League,1920,Aston Villa,Jed Steer,ENG,GK,26,1992,1,1,7,0.1,,,,,,,,1,,,,,,,
ENG-Premier League,1920,Aston Villa,Pepe Reina,ESP,GK,36,1982,12,12,1080,12.0,20,1.67,53,32,66.0,3,3,6,2,16.7,3,2,1,0,33.3
ENG-Premier League,1920,Aston Villa,Tom Heaton,ENG,GK,33,1986,20,20,1794,19.9,35,1.76,102,68,68.6,6,3,11,4,20.0,3,3,0,0,0.0
ENG-Premier League,1920,Aston Villa,Ørjan Nyland,NOR,GK,28,1990,7,5,539,6.0,12,2.0,27,15,55.6,0,2,3,1,20.0,0,0,0,0,
ENG-Premier League,1920,Bournemouth,Aaron Ramsdale,ENG,GK,21,1998,37,37,3330,37.0,62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,0,16.7
ENG-Premier League,1920,Bournemouth,Mark Travers,IRL,GK,20,1999,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,1920,Brighton,Mathew Ryan,AUS,GK,27,1992,38,38,3420,38.0,54,1.42,168,116,69.0,9,14,15,9,23.7,2,2,0,0,0.0
ENG-Premier League,1920,Burnley,Nick Pope,ENG,GK,27,1992,38,38,3420,38.0,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20.0
ENG-Premier League,1920,Chelsea,Kepa Arrizabalaga,ESP,GK,24,1994,33,33,2970,33.0,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0.0
ENG-Premier League,1920,Chelsea,Willy Caballero,ARG,GK,37,1981,5,5,450,5.0,7,1.4,16,10,56.3,2,2,1,1,20.0,0,0,0,0,
ENG-Premier League,1920,Crystal Palace,Vicente Guaita,ESP,GK,32,1987,35,35,3150,35.0,42,1.2,149,109,71.8,11,9,15,10,28.6,1,0,0,1,
ENG-Premier League,1920,Crystal Palace,Wayne Hennessey,WAL,GK,32,1987,3,3,270,3.0,8,2.67,23,15,65.2,0,1,2,0,0.0,0,0,0,0,
ENG-Premier League,1920,Everton,Jordan Pickford,ENG,GK,25,1994,38,38,3420,38.0,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0.0
ENG-Premier League,1920,Leicester City,Kasper Schmeichel,DEN,GK,32,1986,38,38,3420,38.0,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20.0
ENG-Premier League,1920,Liverpool,Adrián,ESP,GK,32,1987,11,9,875,9.7,10,1.03,27,17,63.0,9,0,0,2,22.2,0,0,0,0,
ENG-Premier League,1920,Liverpool,Alisson,BRA,GK,26,1992,29,29,2543,28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0.0
ENG-Premier League,1920,Manchester City,Claudio Bravo,CHI,GK,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,
ENG-Premier League,1920,Manchester City,Ederson,BRA,GK,25,1993,35,35,3071,34.1,28,0.82,95,68,73.7,24,3,8,16,45.7,3,3,0,0,0.0
ENG-Premier League,1920,Manchester Utd,David de Gea,ESP,GK,28,1990,38,38,3420,38.0,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0.0
ENG-Premier League,1920,Newcastle Utd,Martin Dúbravka,SVK,GK,30,1989,38,38,3420,38.0,58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,0.0
ENG-Premier League,1920,Norwich City,Michael McGovern,NIR,GK,35,1984,2,1,159,1.8,6,3.4,13,6,53.8,0,0,1,0,0.0,1,0,1,0,100.0
ENG-Premier League,1920,Norwich City,Ralf Fährmann,GER,GK,30,1988,1,1,21,0.2,1,4.29,2,1,100.0,,,1,,,,1,,,
ENG-Premier League,1920,Norwich City,Tim Krul,NED,GK,31,1988,36,36,3240,36.0,68,1.89,195,128,66.7,5,6,25,5,13.9,5,3,2,0,40.0
