,,,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
league,season,team,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Arsenal,2,38,38,3420,38,73,1.92,164,94,57.9,10,7,21,4,10.5,5,4,1,0,20.0,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,vs Bournemouth,3,38,38,3420,38,56,1.47,161,105,69.6,19,6,13,12,31.6,9,7,1,1,12.5,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,vs Brighton,2,38,38,3420,38,35,0.92,105,69,71.4,20,9,9,13,34.2,6,5,1,0,16.7,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,vs Burnley,2,38,38,3420,38,45,1.18,114,71,62.3,20,7,11,12,31.6,2,2,0,0,0.0,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,vs Cardiff City,1,38,38,3420,38,34,0.89,117,83,73.5,24,4,10,17,44.7,4,3,1,0,25.0,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,vs Chelsea,2,38,38,3420,38,63,1.66,197,136,70.6,8,9,21,10,26.3,5,5,0,0,0.0,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,vs Crystal Palace,3,38,38,3420,38,51,1.34,146,97,71.9,17,7,14,11,28.9,11,10,1,0,9.1,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,vs Everton,1,38,38,3420,38,54,1.42,167,112,68.9,14,9,15,10,26.3,5,2,2,1,50.0,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,vs Fulham,3,38,38,3420,38,34,0.89,143,109,77.6,26,5,7,15,39.5,3,2,1,0,33.3,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,vs Huddersfield,3,38,38,3420,38,22,0.58,117,96,82.1,28,7,3,19,50.0,1,1,0,0,0.0,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,vs Leicester City,1,38,38,3420,38,51,1.34,180,130,74.4,16,7,15,8,21.1,7,5,2,0,28.6,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,vs Liverpool,1,38,38,3420,38,89,2.34,218,132,62.4,1,7,30,3,7.9,7,7,0,0,0.0,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,vs Manchester City,1,38,38,3420,38,95,2.5,255,164,63.9,4,2,32,2,5.3,4,3,0,1,0.0,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,vs Manchester Utd,1,38,38,3420,38,65,1.71,222,154,74.8,10,9,19,7,18.4,12,9,3,0,25.0,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,vs Newcastle Utd,1,38,38,3420,38,42,1.11,139,96,70.5,17,9,12,13,34.2,3,1,2,0,66.7,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,vs Southampton,3,38,38,3420,38,45,1.18,160,115,74.4,17,12,9,10,26.3,5,4,1,0,20.0,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,vs Tottenham,3,38,38,3420,38,67,1.76,186,120,66.1,13,2,23,6,15.8,4,4,0,0,0.0,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,vs Watford,1,38,38,3420,38,52,1.37,149,98,65.8,16,8,14,10,26.3,1,1,0,0,0.0,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,vs West Ham,1,38,38,3420,38,52,1.37,154,103,69.5,16,7,15,14,36.8,5,5,0,0,0.0,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,vs Wolves,3,38,38,3420,38,47,1.24,148,102,70.9,13,9,16,11,28.9,4,4,0,0,0.0,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
ENG-Premier League,1920,vs Arsenal,2,38,38,3420,38,56,1.47,149,93,64.4,10,14,14,7,18.4,3,3,0,0,0.0,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
ENG-Premier League,1920,vs Aston Villa,4,38,38,3420,38,41,1.08,149,108,73.2,21,8,9,11,28.9,3,1,1,1,50.0,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,vs Bournemouth,2,38,38,3420,38,40,1.05,121,83,70.2,22,7,9,15,39.5,4,4,0,0,0.0,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,vs Brighton,1,38,38,3418,38,39,1.03,141,105,73.0,15,14,9,13,34.2,2,1,1,0,50.0,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,vs Burnley,1,38,38,3420,38,43,1.13,127,86,68.5,14,9,15,10,26.3,3,3,0,0,0.0,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,vs Chelsea,2,38,38,3420,38,69,1.82,217,148,71.4,12,6,20,7,18.4,7,7,0,0,0.0,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
