,,,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Arsenal,28,38,76,2,1,469,385,94,627,525,362,7,5,4,2025,637,555,53.4,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,vs Bournemouth,28,38,91,9,4,456,326,84,753,423,388,4,9,1,2044,736,701,51.2,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,vs Brighton,21,38,52,2,1,322,441,37,725,399,346,9,6,0,1989,780,824,48.6,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,vs Burnley,23,38,58,3,1,376,344,46,811,307,291,2,2,2,1976,1025,1016,50.2,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,vs Cardiff City,25,38,49,3,0,415,360,36,662,314,326,6,4,1,1976,966,966,50.0,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,vs Chelsea,24,38,63,0,0,431,326,77,511,568,403,2,5,2,2047,504,523,49.1,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,vs Crystal Palace,26,38,62,2,1,408,375,61,840,426,422,4,11,3,2147,706,680,50.9,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,vs Everton,23,38,77,2,1,440,420,85,568,410,430,5,5,1,2116,877,872,50.1,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,vs Fulham,28,38,43,0,0,354,405,79,808,446,428,5,3,1,2094,718,742,49.2,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,vs Huddersfield,31,38,66,2,0,385,399,75,526,427,387,7,1,1,2151,807,844,48.9,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,vs Leicester City,25,38,70,6,3,401,334,88,698,480,378,3,7,3,2095,679,811,45.6,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,vs Liverpool,23,38,48,1,0,367,297,124,472,499,412,1,7,3,2013,587,593,49.7,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,vs Manchester City,21,38,54,2,0,310,311,62,359,448,379,4,4,4,1679,522,540,49.2,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,vs Manchester Utd,28,38,67,1,1,409,411,72,662,442,385,5,12,0,2020,550,687,44.5,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,vs Newcastle Utd,24,38,58,1,0,349,410,63,834,351,367,5,3,1,2080,914,785,53.8,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,vs Southampton,30,38,62,1,1,352,403,88,710,377,348,2,5,1,2035,873,767,53.2,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,vs Tottenham,28,38,61,2,0,386,361,107,662,504,383,4,4,1,2082,611,599,50.5,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,vs Watford,25,38,50,3,3,403,423,115,741,451,392,5,1,1,2154,797,753,51.4,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,vs West Ham,26,38,57,1,0,401,319,125,711,409,414,5,6,1,2209,620,636,49.4,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,vs Wolves,21,38,76,4,1,334,393,48,654,387,410,4,4,1,2071,788,803,49.5,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
ENG-Premier League,1920,vs Arsenal,29,38,79,1,0,459,408,52,784,425,388,8,3,0,1898,589,501,54.0,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
ENG-Premier League,1920,vs Aston Villa,28,38,90,7,6,543,431,43,857,346,315,5,3,1,1905,742,705,51.3,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,vs Bournemouth,27,38,67,3,0,410,347,71,812,402,389,2,4,2,2047,835,792,51.3,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,vs Brighton,25,38,61,1,0,342,372,70,676,428,385,2,2,4,2021,577,690,45.5,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,vs Burnley,22,38,42,3,1,393,401,50,820,293,319,5,3,2,1911,917,937,49.5,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,vs Chelsea,27,38,76,3,0,397,368,43,518,434,381,2,7,0,2091,701,703,49.9,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,vs Crystal Palace,25,38,88,5,3,492,410,31,843,449,425,1,3,2,2018,776,771,50.2,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,vs Everton,24,38,61,2,1,410,452,78,655,383,358,3,1,2,2009,835,860,49.3,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,vs Leicester City,24,38,69,3,0,460,397,65,647,432,402,7,7,2,2038,674,659,50.6,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,vs Liverpool,24,38,47,0,0,322,309,142,551,456,346,1,5,2,2089,588,655,47.3,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,vs Manchester City,24,38,53,1,0,312,343,83,420,477,337,2,11,2,1708,498,515,49.2,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,vs Manchester Utd,29,38,79,2,1,450,404,67,692,485,385,1,14,1,2037,512,557,47.9,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,vs Newcastle Utd,28,38,57,2,1,436,355,52,868,341,334,2,1,0,1924,781,733,51.6,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,vs Norwich City,30,38,58,2,1,444,344,39,893,430,400,5,2,1,2158,673,518,56.5,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,26,38,46,0,0,326,387,57,761,351,296,2,1,3,1963,886,946,48.4,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,25,38,67,3,1,414,428,69,737,428,362,3,5,0,2087,878,810,52.0,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,vs Tottenham,29,38,83,1,1,442,411,54,740,450,410,6,4,5,2112,671,642,51.1,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,vs Watford,26,38,66,1,1,356,466,81,746,386,351,9,8,1,2138,802,823,49.4,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,vs West Ham,29,38,45,0,0,356,367,99,770,392,333,5,4,0,2138,801,855,48.4,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,vs Wolves,21,38,85,5,2,384,379,41,664,380,381,2,4,2,2039,711,775,47.8,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,vs Arsenal,29,38,74,2,1,421,335,53,652,369,285,3,6,2,1822,594,504,54.1,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,vs Aston Villa,24,38,73,7,2,568,419,47,784,355,322,5,6,3,1962,665,728,47.7,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,vs Brighton,27,38,51,2,0,376,406,54,625,456,316,6,9,1,1886,574,531,51.9,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,vs Burnley,25,38,32,2,0,403,364,79,801,308,261,3,3,1,2051,854,874,49.4,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,vs Chelsea,27,38,56,3,1,377,415,54,533,430,313,4,10,2,1845,515,569,47.5,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,vs Crystal Palace,24,38,44,4,1,455,387,46,795,378,400,3,4,2,1995,658,685,49.0,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
