,,,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,vs Chelsea,27,39.6,38,21108,2691,7489,9424,4394,584,21106,604,358,59.3,247,40.9,11069,56452,26910,464,381,113,636,392,12342,1134,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,vs Crystal Palace,25,55.2,38,24860,2097,6741,11771,6538,898,24859,711,395,55.6,316,44.4,14378,77660,42198,769,609,171,604,370,16070,1676,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,vs Everton,24,51.0,38,22967,2340,7355,10583,5246,733,22963,672,390,58.0,282,42.0,12773,68555,35386,675,460,176,568,389,14272,1392,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,vs Leicester City,24,43.0,38,20944,2337,6652,9396,5129,670,20934,725,427,58.9,298,41.1,11229,60961,30620,653,512,133,639,444,12236,1205,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,vs Liverpool,24,37.1,38,19713,3135,8296,7801,3830,557,19712,589,371,63.0,217,36.8,10107,52721,26527,514,388,146,540,332,10834,932,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,vs Manchester City,24,33.8,38,18612,3315,8332,7160,3313,501,18609,605,375,62.0,230,38.0,9773,51720,25801,448,324,121,484,284,10844,793,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,vs Manchester Utd,29,44.2,38,21522,2443,7158,9321,5282,698,21519,634,380,59.9,254,40.1,11798,62581,30744,648,501,176,572,325,13041,1184,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,vs Newcastle Utd,28,61.0,38,27554,1870,6190,14017,7574,1006,27552,632,359,56.8,273,43.2,16873,89007,45990,808,663,196,620,330,19370,1868,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,vs Norwich City,30,50.7,38,23793,1850,5880,10739,7402,1131,23786,700,433,61.9,267,38.1,13899,74699,39077,846,628,259,540,361,15314,1772,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,26,56.9,38,26644,2500,8708,12112,6017,797,26641,647,385,59.5,261,40.3,15689,84647,45113,840,596,191,550,349,17867,1410,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,25,51.1,38,22982,2401,7769,9935,5478,866,22977,794,469,59.1,324,40.8,12385,63277,31887,644,431,199,627,382,13308,1437,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,vs Tottenham,29,48.0,38,23303,2177,6624,10997,5921,890,23296,681,428,62.8,253,37.2,13295,71747,37162,715,530,195,622,412,14591,1543,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,vs Watford,26,57.1,38,25766,2339,7733,12130,6172,815,25757,715,446,62.4,266,37.2,15320,81818,43577,844,634,200,597,389,16880,1643,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,vs West Ham,29,55.9,38,25818,2189,7242,12451,6371,938,25812,745,445,59.7,300,40.3,15254,83499,44580,855,644,178,525,396,17194,1712,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,vs Wolves,21,51.7,38,24140,2211,6621,12217,5539,686,24137,685,404,59.0,281,41.0,13955,74499,38496,702,561,143,546,365,15703,1392,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,vs Arsenal,29,46.2,38,22816,2643,7657,10092,5265,721,22813,547,335,61.2,212,38.8,13140,66700,33431,604,464,162,507,244,15224,1165,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,vs Aston Villa,24,51.9,38,22498,2506,7471,9303,5952,955,22492,582,321,55.2,261,44.8,12009,66245,35967,726,508,200,551,269,14149,1534,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,vs Brighton,27,48.7,38,23200,2436,7588,10460,5345,677,23193,603,351,58.2,253,42.0,13163,68904,34879,587,464,141,591,376,15157,1290,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,vs Burnley,25,58.3,38,25555,2502,8190,11216,6361,975,25552,565,335,59.3,226,40.0,14183,79971,43477,884,587,219,568,278,16861,1657,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,vs Chelsea,27,38.6,38,20757,2531,7109,9099,4733,565,20753,570,339,59.5,231,40.5,10799,57273,27861,497,384,107,572,381,12689,1055,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,vs Crystal Palace,24,59.9,38,27169,1926,7042,13508,6808,890,27165,620,337,54.4,283,45.6,16162,83958,43503,666,508,140,606,353,18907,1798,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,vs Everton,29,53.5,38,25600,2093,7302,12068,6454,873,25596,664,398,59.9,266,40.1,14327,78959,41468,794,607,181,635,374,17537,1651,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,vs Fulham,28,50.1,38,24187,2377,7606,11296,5503,752,24180,581,327,56.3,254,43.7,13534,68983,34518,559,456,139,555,347,15656,1317,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,vs Leeds United,23,42.4,38,19786,2395,6410,8265,5409,875,19777,769,459,59.7,311,40.4,10613,67444,35138,720,557,184,663,431,11160,1188,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,vs Leicester City,27,45.4,38,22044,2246,7030,10289,4962,656,22040,676,381,56.4,295,43.6,11743,64847,33298,567,452,108,558,386,13694,1237,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,vs Liverpool,28,37.6,38,20453,3150,8670,8259,3747,575,20445,543,323,59.5,220,40.5,9977,53626,26035,539,338,141,565,306,11775,952,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,vs Manchester City,24,36.1,38,19457,2984,8113,8067,3501,487,19447,576,342,59.4,231,40.1,10888,58232,28483,537,393,125,501,264,12194,840,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,vs Manchester Utd,29,44.2,38,22325,2587,8167,9359,5007,700,22321,578,341,59.0,237,41.0,11878,62186,30690,573,389,158,540,314,14115,1220,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,vs Newcastle Utd,27,61.8,38,27300,2012,6945,13456,7127,997,27295,548,340,62.0,207,37.8,15912,84335,43945,851,628,192,554,305,19388,1756,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,vs Sheffield Utd,27,58.5,38,26977,2292,8278,12514,6434,912,26973,720,426,59.2,294,40.8,15796,83459,44671,828,570,190,553,340,18866,1597,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,vs Southampton,29,47.8,38,22361,2207,7097,10104,5351,831,22352,731,390,53.4,341,46.6,11913,57801,27190,555,407,187,600,386,13664,1389,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,vs Tottenham,24,48.3,38,23499,2113,6735,10940,6067,901,23489,683,406,59.4,277,40.6,13448,73391,36871,723,561,196,591,359,15238,1499,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,vs West Brom,30,62.4,38,27177,2092,7386,12659,7357,1039,27166,656,385,58.7,271,41.3,15605,87962,48418,931,719,209,585,310,18747,1778,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,vs West Ham,24,57.1,38,26356,2267,7385,12947,6280,847,26350,573,349,60.9,224,39.1,15829,87826,46685,826,630,169,554,290,18163,1679,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,vs Wolves,27,50.7,38,23862,2112,6459,11712,5889,832,23854,611,334,54.7,277,45.3,13749,74078,39322,698,525,152,509,311,16144,1555,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,vs Arsenal,27,46.8,38,21955,2653,7787,9302,5062,720,21949,500,256,51.2,244,48.8,12516,62771,30462,556,468,140,550,296,14105,1182,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
