,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,Bernd Leno,GER,GK,26,1992,31.5,42,7,1,3,1,44.3,0.27,3.3,0.1,127,385,33.0,876,181,29.3,31.5,227,56.4,45.3,385,10,2.6,40,1.27,15.3
ENG-Premier League,1819,Arsenal,Petr Čech,CZE,GK,36,1982,6.5,9,0,0,0,0,9.2,0.26,0.2,0.03,32,93,34.4,217,46,28.6,31.7,53,58.5,46.5,104,6,5.8,8,1.23,12.9
ENG-Premier League,1819,Bournemouth,Artur Boruc,POL,GK,38,1980,12.0,18,3,2,1,0,15.9,0.24,-2.1,-0.17,57,167,34.1,236,62,39.8,36.6,112,65.2,48.2,213,4,1.9,9,0.75,14.3
ENG-Premier League,1819,Bournemouth,Asmir Begović,BIH,GK,31,1987,24.0,47,2,0,5,2,34.5,0.32,-10.5,-0.44,129,328,39.3,466,128,42.5,35.9,192,67.7,49.9,365,24,6.6,16,0.67,11.3
ENG-Premier League,1819,Bournemouth,Mark Travers,IRL,GK,19,1999,2.0,5,0,0,0,1,4.7,0.37,0.7,0.35,5,17,29.4,42,13,28.6,30.0,14,35.7,38.0,18,0,0.0,5,2.5,29.8
ENG-Premier League,1819,Brighton,David Button,ENG,GK,29,1989,4.0,5,2,0,0,0,4.8,0.15,-0.2,-0.06,26,87,29.9,74,9,73.0,47.7,34,97.1,65.1,55,3,5.5,2,0.5,13.5
ENG-Premier League,1819,Brighton,Mathew Ryan,AUS,GK,26,1992,34.0,55,8,1,5,0,51.2,0.29,-3.8,-0.11,302,735,41.1,702,100,61.7,42.7,324,93.2,58.8,506,17,3.4,11,0.32,11.6
ENG-Premier League,1819,Burnley,Joe Hart,ENG,GK,31,1987,19.0,41,1,1,6,1,36.0,0.3,-4.0,-0.21,202,500,40.4,434,50,75.8,49.2,181,94.5,65.2,310,6,1.9,14,0.74,13.3
ENG-Premier League,1819,Burnley,Tom Heaton,ENG,GK,32,1986,19.0,27,1,1,2,3,22.0,0.26,-2.0,-0.1,179,457,39.2,414,45,73.4,48.2,172,89.0,60.7,333,8,2.4,29,1.53,16.4
ENG-Premier League,1819,Cardiff City,Neil Etheridge,PHI,GK,28,1990,38.0,69,4,1,12,0,68.2,0.3,-0.8,-0.02,337,1076,31.3,876,51,86.6,53.9,319,99.4,65.6,536,15,2.8,46,1.21,15.4
ENG-Premier League,1819,Chelsea,Kepa Arrizabalaga,ESP,GK,23,1994,36.0,39,1,0,6,0,36.5,0.29,-2.5,-0.07,114,230,49.6,903,156,15.7,25.9,256,34.4,36.5,369,14,3.8,35,0.97,18.1
ENG-Premier League,1819,Chelsea,Willy Caballero,ARG,GK,36,1981,2.0,0,0,0,0,0,0.3,0.11,0.3,0.16,9,20,45.0,47,9,19.1,29.5,16,68.8,46.6,26,2,7.7,0,0.0,5.8
