,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,Aston Villa,Pepe Reina,ESP,GK,36,1982,12.0,2,0.17,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Aston Villa,Tom Heaton,ENG,GK,33,1986,19.9,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Aston Villa,Trézéguet,EGY,"FW,MF",24,1994,21.7,55,2.54,32,4,7,7,5,0,4,0.18,1,0,1,0,2,0
ENG-Premier League,1920,Aston Villa,Tyrone Mings,ENG,DF,26,1993,32.2,17,0.53,16,1,0,0,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,1920,Aston Villa,Wesley Moraes,BRA,FW,22,1996,19.8,32,1.62,25,0,2,4,1,0,3,0.15,3,0,0,0,0,0
ENG-Premier League,1920,Aston Villa,Ørjan Nyland,NOR,GK,28,1990,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Aaron Ramsdale,ENG,GK,21,1998,37.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Adam Smith,ENG,DF,28,1991,22.8,31,1.36,28,0,1,0,2,0,1,0.04,1,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Andrew Surman,ENG,MF,32,1986,2.6,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Arnaut Danjuma,NED,MF,22,1997,7.0,12,1.72,9,1,1,0,1,0,1,0.14,0,0,1,0,0,0
ENG-Premier League,1920,Bournemouth,Callum Wilson,ENG,FW,27,1992,32.3,60,1.86,42,0,4,6,8,0,9,0.28,3,0,2,1,3,0
ENG-Premier League,1920,Bournemouth,Charlie Daniels,ENG,DF,32,1986,1.4,4,2.86,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Chris Mepham,WAL,DF,21,1997,10.1,6,0.59,5,0,0,0,1,0,1,0.1,1,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Dan Gosling,ENG,MF,29,1990,14.0,24,1.71,16,0,1,2,4,1,2,0.14,1,0,0,1,0,0
ENG-Premier League,1920,Bournemouth,David Brooks,WAL,"MF,FW",22,1997,5.6,12,2.13,8,1,0,1,1,1,1,0.18,0,0,0,1,0,0
ENG-Premier League,1920,Bournemouth,Diego Rico,ESP,DF,26,1993,25.9,60,2.32,29,29,0,1,1,0,7,0.27,4,3,0,0,0,0
ENG-Premier League,1920,Bournemouth,Dominic Solanke,ENG,FW,21,1997,18.3,43,2.34,31,0,3,4,5,0,5,0.27,2,0,1,1,1,0
ENG-Premier League,1920,Bournemouth,Harry Wilson,WAL,"MF,FW",22,1997,18.3,49,2.68,36,2,1,4,5,1,4,0.22,3,0,0,1,0,0
ENG-Premier League,1920,Bournemouth,Jack Simpson,ENG,DF,22,1996,2.7,1,0.37,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Jack Stacey,ENG,DF,23,1996,17.2,19,1.11,16,1,2,0,0,0,2,0.12,2,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Jefferson Lerma,COL,MF,24,1994,30.0,46,1.53,36,0,2,2,5,1,3,0.1,3,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Jordon Ibe,ENG,DF,23,1995,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Joshua King,NOR,"FW,MF",27,1992,22.3,61,2.73,45,0,8,2,5,1,8,0.36,5,0,2,0,1,0
ENG-Premier League,1920,Bournemouth,Junior Stanislas,ENG,"MF,FW",29,1989,7.9,25,3.16,16,7,2,0,0,0,2,0.25,1,0,1,0,0,0
ENG-Premier League,1920,Bournemouth,Lewis Cook,ENG,"MF,FW",22,1997,15.0,41,2.73,31,2,0,5,2,1,2,0.13,0,0,0,1,1,0
ENG-Premier League,1920,Bournemouth,Lloyd Kelly,ENG,DF,20,1998,7.1,6,0.85,4,1,0,1,0,0,1,0.14,1,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Mark Travers,IRL,GK,20,1999,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Nathan Aké,NED,DF,24,1995,27.8,14,0.5,8,0,1,4,1,0,1,0.04,0,0,0,1,0,0
ENG-Premier League,1920,Bournemouth,Philip Billing,DEN,MF,23,1996,28.1,50,1.78,38,3,3,3,2,1,3,0.11,3,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Ryan Fraser,SCO,"MF,FW",25,1994,23.0,82,3.57,53,18,5,1,4,1,8,0.35,4,3,0,1,0,0
ENG-Premier League,1920,Bournemouth,Sam Surridge,ENG,"FW,MF",21,1998,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Simon Francis,ENG,DF,34,1985,10.8,9,0.84,7,0,0,2,0,0,1,0.09,1,0,0,0,0,0
ENG-Premier League,1920,Bournemouth,Steve Cook,ENG,DF,28,1991,27.0,10,0.37,7,2,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Brighton,Aaron Connolly,IRL,FW,19,2000,14.0,27,1.93,10,0,2,4,11,0,5,0.36,1,0,1,1,2,0
ENG-Premier League,1920,Brighton,Aaron Mooy,AUS,"MF,FW",28,1990,23.2,78,3.37,56,13,4,3,2,0,7,0.3,4,1,2,0,0,0
ENG-Premier League,1920,Brighton,Adam Webster,ENG,DF,24,1995,29.6,30,1.01,23,3,1,1,1,1,1,0.03,1,0,0,0,0,0
ENG-Premier League,1920,Brighton,Alexis Mac Allister,ARG,"MF,FW",20,1998,3.9,11,2.81,6,2,1,2,0,0,1,0.26,1,0,0,0,0,0
ENG-Premier League,1920,Brighton,Alireza Jahanbakhsh,IRN,"FW,MF",25,1993,3.5,12,3.47,8,0,1,1,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Brighton,Bernardo,BRA,"DF,MF",24,1995,7.5,10,1.33,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Brighton,Dale Stephens,ENG,MF,30,1989,28.1,50,1.78,46,0,0,2,0,2,3,0.11,3,0,0,0,0,0
ENG-Premier League,1920,Brighton,Dan Burn,ENG,DF,27,1992,32.0,38,1.19,31,4,1,1,0,1,2,0.06,2,0,0,0,0,0
ENG-Premier League,1920,Brighton,Davy Pröpper,NED,MF,27,1991,31.4,67,2.13,61,0,1,3,2,0,4,0.13,4,0,0,0,0,0
ENG-Premier League,1920,Brighton,Ezequiel Schelotto,ITA,DF,30,1989,4.0,7,1.74,4,0,0,1,2,0,1,0.25,0,0,0,0,1,0
ENG-Premier League,1920,Brighton,Florin Andone,ROU,FW,26,1993,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Brighton,Gaëtan Bong,CMR,"DF,MF",31,1988,0.7,3,4.58,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Brighton,Glenn Murray,ENG,FW,35,1983,8.9,12,1.36,7,0,0,3,2,0,1,0.11,1,0,0,0,0,0
ENG-Premier League,1920,Brighton,Jürgen Locadia,NED,"FW,MF",25,1993,1.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Brighton,Leandro Trossard,BEL,"FW,MF",24,1994,22.3,90,4.03,65,11,7,4,3,0,9,0.4,5,2,1,1,0,0
ENG-Premier League,1920,Brighton,Lewis Dunk,ENG,DF,27,1991,35.9,34,0.95,28,2,0,2,1,1,3,0.08,3,0,0,0,0,0
ENG-Premier League,1920,Brighton,Martín Montoya,ESP,"DF,MF",28,1991,21.1,42,1.99,38,0,1,1,2,0,2,0.09,1,0,0,0,1,0
ENG-Premier League,1920,Brighton,Mathew Ryan,AUS,GK,27,1992,38.0,4,0.11,4,0,0,0,0,0,2,0.05,2,0,0,0,0,0
ENG-Premier League,1920,Brighton,Neal Maupay,FRA,FW,22,1996,30.7,73,2.38,53,0,5,11,4,0,7,0.23,6,0,1,0,0,0
ENG-Premier League,1920,Brighton,Pascal Groß,GER,"MF,FW",28,1991,20.0,102,5.11,62,33,3,2,2,0,8,0.4,4,4,0,0,0,0
ENG-Premier League,1920,Brighton,Shane Duffy,IRL,DF,27,1992,13.8,7,0.51,5,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Brighton,Solly March,ENG,"FW,MF",25,1994,12.7,39,3.07,28,3,4,2,2,0,4,0.31,3,1,0,0,0,0
ENG-Premier League,1920,Brighton,Steven Alzate,COL,"MF,DF",20,1998,13.2,38,2.88,29,0,6,2,1,0,2,0.15,1,0,0,0,1,0
ENG-Premier League,1920,Brighton,Tariq Lamptey,GHA,DF,18,2000,6.5,13,1.99,8,1,1,1,2,0,2,0.31,1,1,0,0,0,0
ENG-Premier League,1920,Brighton,Yves Bissouma,MLI,MF,22,1996,14.0,15,1.07,13,0,0,1,1,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,1920,Burnley,Aaron Lennon,ENG,MF,32,1987,5.5,7,1.27,6,0,0,0,1,0,1,0.18,1,0,0,0,0,0
ENG-Premier League,1920,Burnley,Ashley Barnes,ENG,FW,29,1989,15.0,24,1.6,16,0,1,2,5,0,3,0.2,2,0,0,0,1,0
ENG-Premier League,1920,Burnley,Ashley Westwood,ENG,MF,29,1990,35.0,106,3.03,70,30,0,3,2,1,8,0.23,3,5,0,0,0,0
ENG-Premier League,1920,Burnley,Ben Mee,ENG,DF,29,1989,32.0,28,0.87,17,1,2,7,1,0,2,0.06,1,0,0,1,0,0
ENG-Premier League,1920,Burnley,Charlie Taylor,ENG,DF,25,1993,21.6,27,1.25,23,2,0,0,2,0,2,0.09,1,1,0,0,0,0
ENG-Premier League,1920,Burnley,Chris Wood,NZL,FW,27,1991,27.1,53,1.96,37,0,3,4,9,0,4,0.15,4,0,0,0,0,0
ENG-Premier League,1920,Burnley,Danny Drinkwater,ENG,MF,29,1990,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Burnley,Dwight McNeil,ENG,MF,19,1999,37.1,116,3.13,66,26,8,8,7,1,14,0.38,9,2,1,1,1,0
ENG-Premier League,1920,Burnley,Erik Pieters,NED,"DF,MF",30,1988,20.9,26,1.25,23,2,0,1,0,0,4,0.19,4,0,0,0,0,0
ENG-Premier League,1920,Burnley,Jack Cork,ENG,MF,30,1989,29.0,31,1.07,23,0,2,2,3,1,3,0.1,3,0,0,0,0,0
ENG-Premier League,1920,Burnley,James Tarkowski,ENG,DF,26,1992,38.0,33,0.87,27,1,0,4,0,1,8,0.21,5,1,0,2,0,0
ENG-Premier League,1920,Burnley,Jay Rodriguez,ENG,FW,30,1989,22.4,32,1.43,21,0,2,6,3,0,6,0.27,4,0,0,2,0,0
ENG-Premier League,1920,Burnley,Jeff Hendrick,IRL,MF,27,1992,21.5,38,1.77,27,3,2,2,4,0,3,0.14,2,0,0,0,1,0
ENG-Premier League,1920,Burnley,Josh Brownhill,ENG,MF,23,1995,8.9,15,1.68,13,0,0,0,1,1,1,0.11,1,0,0,0,0,0
ENG-Premier League,1920,Burnley,Jóhann Berg Guðmundsson,ISL,MF,28,1990,6.9,30,4.35,23,4,2,0,1,0,3,0.43,2,0,1,0,0,0
ENG-Premier League,1920,Burnley,Kevin Long,IRL,DF,28,1990,6.3,1,0.16,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Burnley,Matthew Lowton,ENG,DF,30,1989,17.0,28,1.65,21,2,1,1,2,1,1,0.06,1,0,0,0,0,0
ENG-Premier League,1920,Burnley,Matěj Vydra,CZE,FW,27,1992,9.1,22,2.42,14,0,4,1,3,0,3,0.33,1,0,2,0,0,0
ENG-Premier League,1920,Burnley,Max Thompson,ENG,FW,17,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Burnley,Nick Pope,ENG,GK,27,1992,38.0,13,0.34,6,7,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Burnley,Phil Bardsley,SCO,DF,34,1985,21.0,22,1.05,14,4,0,1,0,3,2,0.1,0,1,0,0,0,1
ENG-Premier League,1920,Burnley,Robbie Brady,IRL,MF,27,1992,5.0,15,2.97,12,1,0,1,1,0,3,0.59,3,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Andreas Christensen,DEN,DF,23,1996,19.5,14,0.72,13,0,0,1,0,0,2,0.1,2,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Antonio Rüdiger,GER,DF,26,1993,19.0,13,0.68,11,0,0,2,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Armando Broja,ALB,FW,17,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Billy Gilmour,SCO,MF,18,2001,2.2,6,2.78,5,0,0,0,1,0,1,0.46,1,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Callum Hudson-Odoi,ENG,"FW,MF",18,2000,9.6,46,4.8,38,2,1,3,2,0,6,0.63,6,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Christian Pulisic,USA,FW,20,1998,19.1,87,4.55,55,0,19,6,7,0,16,0.84,8,0,4,1,3,0
ENG-Premier League,1920,Chelsea,César Azpilicueta,ESP,DF,29,1989,35.9,87,2.42,78,2,2,3,1,1,7,0.2,5,1,0,1,0,0
ENG-Premier League,1920,Chelsea,Emerson Palmieri,ITA,DF,24,1994,11.4,31,2.72,23,7,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Faustino Anjorin,ENG,FW,17,2001,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Fikayo Tomori,ENG,DF,21,1997,14.3,20,1.39,19,0,0,1,0,0,2,0.14,2,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Jorginho,ITA,MF,27,1991,26.4,81,3.06,74,0,0,1,3,3,8,0.3,6,0,0,0,1,1
ENG-Premier League,1920,Chelsea,Kepa Arrizabalaga,ESP,GK,24,1994,33.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Kurt Zouma,FRA,DF,24,1994,26.0,15,0.58,13,0,0,1,1,0,1,0.04,1,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Marcos Alonso,ESP,DF,28,1990,15.9,49,3.08,37,5,1,3,3,0,6,0.38,4,0,0,0,2,0
ENG-Premier League,1920,Chelsea,Mason Mount,ENG,"MF,FW",20,1999,31.9,127,3.99,78,30,5,7,7,0,18,0.57,11,4,1,0,2,0
ENG-Premier League,1920,Chelsea,Mateo Kovačić,CRO,MF,25,1994,23.0,78,3.39,73,0,3,1,1,0,8,0.35,8,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Michy Batshuayi,BEL,FW,25,1993,2.7,7,2.64,5,0,1,1,0,0,2,0.75,1,0,0,1,0,0
ENG-Premier League,1920,Chelsea,N'Golo Kanté,FRA,MF,28,1991,19.2,61,3.17,55,0,0,1,3,2,2,0.1,2,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Olivier Giroud,FRA,FW,32,1986,11.0,24,2.17,17,0,1,4,2,0,4,0.36,2,0,1,1,0,0
ENG-Premier League,1920,Chelsea,Pedro,ESP,"FW,MF",32,1987,7.3,35,4.77,23,1,3,6,2,0,4,0.54,2,0,1,1,0,0
ENG-Premier League,1920,Chelsea,Reece James,ENG,DF,19,1999,16.8,57,3.39,40,6,2,4,5,0,5,0.3,5,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Ross Barkley,ENG,MF,25,1993,12.3,52,4.24,35,1,6,5,3,2,6,0.49,5,0,0,1,0,0
ENG-Premier League,1920,Chelsea,Ruben Loftus-Cheek,ENG,"MF,FW",23,1996,2.3,5,2.16,5,0,0,0,0,0,1,0.43,1,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Tammy Abraham,ENG,FW,21,1997,24.6,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0
ENG-Premier League,1920,Chelsea,Tariq Lamptey,GHA,DF,18,2000,0.4,2,5.63,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Chelsea,Willian,BRA,"FW,MF",30,1988,28.9,167,5.78,111,32,8,4,8,4,15,0.52,10,1,1,1,1,1
ENG-Premier League,1920,Chelsea,Willy Caballero,ARG,GK,37,1981,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Andros Townsend,ENG,"FW,MF",28,1991,14.4,32,2.23,24,1,3,3,1,0,2,0.14,2,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Brandon Pierrick,ENG,"MF,FW",17,2001,0.2,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Cenk Tosun,TUR,FW,28,1991,2.0,3,1.53,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Cheikhou Kouyaté,SEN,"MF,DF",29,1989,28.1,28,1.0,23,0,1,2,2,0,2,0.07,2,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Christian Benteke,BEL,FW,28,1990,14.0,42,3.0,30,0,3,4,3,2,6,0.43,6,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Connor Wickham,ENG,"FW,MF",26,1993,1.1,3,2.81,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Gary Cahill,ENG,DF,33,1985,24.1,12,0.5,8,0,1,3,0,0,1,0.04,1,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,James McArthur,SCO,MF,31,1987,34.3,70,2.04,58,0,5,3,4,0,8,0.23,5,0,0,1,2,0
ENG-Premier League,1920,Crystal Palace,James McCarthy,IRL,MF,28,1990,18.7,31,1.66,16,12,0,2,0,1,1,0.05,0,1,0,0,0,0
ENG-Premier League,1920,Crystal Palace,James Tomkins,ENG,DF,30,1989,17.6,6,0.34,6,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Jaïro Riedewald,NED,"DF,MF",22,1996,8.5,6,0.7,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Jeffrey Schlupp,GHA,"FW,MF",26,1992,11.5,20,1.74,13,1,1,2,3,0,2,0.17,2,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Joel Ward,ENG,DF,29,1989,26.5,10,0.38,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Jordan Ayew,GHA,FW,27,1991,35.0,81,2.32,48,0,13,4,13,3,8,0.23,3,0,2,2,1,0
ENG-Premier League,1920,Crystal Palace,Luka Milivojević,SRB,MF,28,1991,27.9,59,2.11,27,27,0,2,0,3,4,0.14,3,1,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Mamadou Sakho,FRA,DF,29,1990,10.3,3,0.29,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Martin Kelly,ENG,DF,29,1990,17.2,10,0.58,9,1,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Max Meyer,GER,"MF,FW",23,1995,7.3,12,1.65,10,0,0,1,1,0,1,0.14,1,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Patrick van Aanholt,NED,DF,28,1990,27.9,64,2.3,34,23,4,2,1,0,5,0.18,3,1,1,0,0,0
ENG-Premier League,1920,Crystal Palace,Scott Dann,ENG,DF,32,1987,14.1,10,0.71,9,0,0,1,0,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Tyrick Mitchell,ENG,DF,19,1999,2.2,6,2.77,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Vicente Guaita,ESP,GK,32,1987,35.0,4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Víctor Camarasa,ESP,FW,25,1994,0.1,1,15.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Wayne Hennessey,WAL,GK,32,1987,3.0,1,0.33,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Crystal Palace,Wilfried Zaha,CIV,"FW,MF",26,1992,36.4,128,3.51,78,0,26,6,18,0,9,0.25,5,0,1,1,2,0
ENG-Premier League,1920,Everton,Alex Iwobi,NGA,"MF,FW",23,1996,17.7,54,3.05,50,0,1,3,0,0,2,0.11,2,0,0,0,0,0
ENG-Premier League,1920,Everton,André Gomes,POR,MF,26,1993,16.2,31,1.91,27,1,2,0,1,0,2,0.12,1,0,0,0,1,0
ENG-Premier League,1920,Everton,Anthony Gordon,ENG,"MF,FW",18,2001,4.9,8,1.64,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Bernard,BRA,"MF,FW",26,1992,14.2,51,3.58,40,0,5,2,1,3,4,0.28,3,0,1,0,0,0
ENG-Premier League,1920,Everton,Cenk Tosun,TUR,FW,28,1991,3.2,8,2.47,6,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Djibril Sidibé,FRA,"DF,MF",27,1992,20.3,45,2.22,37,3,0,0,2,3,5,0.25,5,0,0,0,0,0
ENG-Premier League,1920,Everton,Dominic Calvert-Lewin,ENG,FW,22,1997,29.2,56,1.92,33,0,2,8,13,0,2,0.07,2,0,0,0,0,0
ENG-Premier League,1920,Everton,Fabian Delph,ENG,MF,29,1989,13.2,25,1.89,23,0,0,2,0,0,2,0.15,2,0,0,0,0,0
ENG-Premier League,1920,Everton,Gylfi Sigurðsson,ISL,MF,29,1989,28.4,91,3.2,39,32,3,12,2,3,7,0.25,3,2,1,1,0,0
ENG-Premier League,1920,Everton,Jarrad Branthwaite,ENG,DF,17,2002,3.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Jean-Philippe Gbamin,CIV,MF,23,1995,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Jordan Pickford,ENG,GK,25,1994,38.0,5,0.13,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Leighton Baines,ENG,DF,34,1984,4.5,15,3.34,9,5,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Lucas Digne,FRA,DF,26,1993,33.7,125,3.71,74,41,2,3,4,1,10,0.3,8,2,0,0,0,0
ENG-Premier League,1920,Everton,Mason Holgate,ENG,DF,22,1996,22.8,21,0.92,14,0,1,5,1,0,6,0.26,4,0,0,2,0,0
ENG-Premier League,1920,Everton,Michael Keane,ENG,DF,26,1993,28.4,18,0.63,16,0,0,2,0,0,3,0.11,2,0,0,1,0,0
ENG-Premier League,1920,Everton,Moise Kean,ITA,FW,19,2000,9.5,27,2.86,13,0,7,3,2,2,1,0.11,0,0,0,1,0,0
ENG-Premier League,1920,Everton,Morgan Schneiderlin,FRA,MF,29,1989,11.1,17,1.53,15,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Oumar Niasse,SEN,FW,29,1990,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Richarlison,BRA,"FW,MF",22,1997,34.1,93,2.73,53,0,9,11,18,2,9,0.26,5,0,1,1,2,0
ENG-Premier League,1920,Everton,Séamus Coleman,IRL,DF,30,1988,20.4,27,1.32,17,1,6,2,1,0,3,0.15,2,0,0,1,0,0
ENG-Premier League,1920,Everton,Theo Walcott,ENG,"MF,FW",30,1989,14.3,41,2.87,31,0,4,5,1,0,8,0.56,6,0,1,1,0,0
ENG-Premier League,1920,Everton,Tom Davies,ENG,MF,21,1998,22.5,30,1.33,20,0,3,4,3,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Everton,Yerry Mina,COL,DF,24,1994,25.4,17,0.67,10,0,0,5,0,2,3,0.12,2,0,0,1,0,0
ENG-Premier League,1920,Leicester City,Ayoze Pérez,ESP,"MF,FW",26,1993,22.3,75,3.37,58,1,8,2,5,1,15,0.67,11,1,2,0,0,1
ENG-Premier League,1920,Leicester City,Ben Chilwell,ENG,DF,22,1996,26.4,72,2.73,58,7,2,2,2,1,8,0.3,8,0,0,0,0,0
ENG-Premier League,1920,Leicester City,Christian Fuchs,AUT,DF,33,1986,8.6,11,1.28,10,1,0,0,0,0,3,0.35,3,0,0,0,0,0
ENG-Premier League,1920,Leicester City,Demarai Gray,JAM,"MF,FW",23,1996,6.9,34,4.93,29,1,1,2,1,0,6,0.87,5,0,0,0,1,0
ENG-Premier League,1920,Leicester City,Dennis Praet,BEL,MF,25,1994,12.6,25,1.98,17,1,2,2,1,2,4,0.32,3,0,0,0,0,1
ENG-Premier League,1920,Leicester City,George Hirst,ENG,"MF,DF",20,1999,0.1,2,16.36,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Leicester City,Hamza Choudhury,ENG,MF,21,1997,9.9,11,1.11,10,0,0,1,0,0,1,0.1,1,0,0,0,0,0
ENG-Premier League,1920,Leicester City,Harvey Barnes,ENG,"MF,FW",21,1997,23.1,87,3.76,66,0,11,6,4,0,16,0.69,11,0,4,1,0,0
ENG-Premier League,1920,Leicester City,James Justin,ENG,"DF,MF",21,1998,11.2,25,2.22,20,1,0,0,3,1,3,0.27,3,0,0,0,0,0
ENG-Premier League,1920,Leicester City,James Maddison,ENG,MF,22,1996,29.2,170,5.83,84,46,14,8,18,0,10,0.34,7,2,1,0,0,0
ENG-Premier League,1920,Leicester City,Jamie Vardy,ENG,FW,32,1987,33.7,70,2.08,47,0,12,6,4,1,12,0.36,7,0,3,0,2,0
ENG-Premier League,1920,Leicester City,Jonny Evans,NIR,DF,31,1988,37.6,35,0.93,28,0,1,4,2,0,6,0.16,4,0,0,1,1,0
ENG-Premier League,1920,Leicester City,Kasper Schmeichel,DEN,GK,32,1986,38.0,5,0.13,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1920,Leicester City,Kelechi Iheanacho,NGA,FW,22,1996,10.7,37,3.47,21,0,7,5,4,0,5,0.47,2,0,1,1,1,0
ENG-Premier League,1920,Leicester City,Luke Thomas,ENG,"MF,DF",18,2001,3.0,14,4.72,14,0,0,0,0,0,1,0.34,1,0,0,0,0,0
ENG-Premier League,1920,Leicester City,Marc Albrighton,ENG,"MF,DF",29,1989,9.6,27,2.8,23,2,1,1,0,0,5,0.52,5,0,0,0,0,0
ENG-Premier League,1920,Leicester City,Matty James,ENG,MF,28,1991,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
