,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,Sead Kolašinac,BIH,"DF,MF",25,1993,21.0,49,2.34,42,1,4,0,1,1,10,0.48,9,0,0,0,1,0
ENG-Premier League,1819,Arsenal,Shkodran Mustafi,GER,DF,26,1992,29.0,12,0.41,10,0,0,2,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,1819,Arsenal,Sokratis Papastathopoulos,GRE,DF,30,1988,24.4,13,0.53,11,0,1,0,1,0,2,0.08,2,0,0,0,0,0
ENG-Premier League,1819,Arsenal,Stephan Lichtsteiner,SUI,DF,34,1984,10.4,7,0.67,4,1,0,0,1,1,1,0.1,1,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Adam Smith,ENG,"DF,MF",27,1991,23.0,44,1.92,30,5,2,0,7,0,4,0.17,3,1,0,0,0,0
ENG-Premier League,1819,Bournemouth,Andrew Surman,ENG,MF,31,1986,16.0,23,1.44,21,0,0,1,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Artur Boruc,POL,GK,38,1980,12.0,4,0.33,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Asmir Begović,BIH,GK,31,1987,24.0,1,0.04,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Callum Wilson,ENG,FW,26,1992,28.1,78,2.78,53,0,8,6,11,0,19,0.68,12,0,3,2,2,0
ENG-Premier League,1819,Bournemouth,Charlie Daniels,ENG,DF,31,1986,17.6,34,1.93,31,2,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Chris Mepham,WAL,DF,20,1997,9.4,3,0.32,2,0,0,1,0,0,1,0.11,0,0,0,1,0,0
ENG-Premier League,1819,Bournemouth,Dan Gosling,ENG,MF,28,1990,19.3,28,1.45,23,2,0,2,0,1,6,0.31,4,0,0,1,0,1
ENG-Premier League,1819,Bournemouth,David Brooks,WAL,"MF,FW",21,1997,25.1,79,3.14,53,5,3,7,7,4,14,0.56,8,0,2,1,2,1
ENG-Premier League,1819,Bournemouth,Diego Rico,ESP,"DF,MF",25,1993,6.8,17,2.5,11,4,1,1,0,0,1,0.15,1,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Dominic Solanke,ENG,"FW,MF",20,1997,3.9,20,5.19,12,0,3,1,2,2,2,0.52,1,0,0,0,0,1
ENG-Premier League,1819,Bournemouth,Emerson Hyndman,USA,MF,22,1996,0.4,1,2.37,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Jack Simpson,ENG,DF,21,1996,4.5,1,0.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Jefferson Lerma,COL,MF,23,1994,27.8,43,1.54,30,1,3,2,2,5,1,0.04,0,0,0,0,1,0
ENG-Premier League,1819,Bournemouth,Jermain Defoe,ENG,FW,35,1982,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Jordon Ibe,ENG,"MF,DF",22,1995,8.9,20,2.26,13,5,2,0,0,0,1,0.11,1,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Joshua King,NOR,"FW,MF",26,1992,32.9,83,2.52,61,0,10,3,9,0,12,0.36,9,0,0,0,3,0
ENG-Premier League,1819,Bournemouth,Junior Stanislas,ENG,"MF,FW",28,1989,11.5,39,3.4,29,4,2,2,1,1,4,0.35,4,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Lewis Cook,ENG,MF,21,1997,8.0,16,1.99,14,0,0,1,1,0,3,0.37,3,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Lys Mousset,FRA,FW,22,1996,4.1,10,2.45,7,0,2,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Mark Travers,IRL,GK,19,1999,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Nathan Aké,NED,DF,23,1995,37.9,24,0.63,19,0,0,4,1,0,1,0.03,0,0,0,0,1,0
ENG-Premier League,1819,Bournemouth,Nathaniel Clyne,ENG,DF,27,1991,12.7,12,0.94,10,2,0,0,0,0,3,0.24,3,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Ryan Fraser,SCO,"MF,FW",24,1994,35.2,149,4.24,90,43,8,4,4,0,21,0.6,11,8,2,0,0,0
ENG-Premier League,1819,Bournemouth,Sam Surridge,ENG,"MF,FW",20,1998,0.1,2,13.85,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Simon Francis,ENG,DF,33,1985,13.7,26,1.9,24,1,1,0,0,0,4,0.29,3,0,1,0,0,0
ENG-Premier League,1819,Bournemouth,Steve Cook,ENG,DF,27,1991,31.0,29,0.94,18,6,1,2,1,1,2,0.06,1,0,0,1,0,0
