,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,28,38,609,366,294,236,79,228,535,42.6,307,424,118,306,412,1021,798,28,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
ENG-Premier League,1819,Bournemouth,28,38,525,299,285,185,55,216,494,43.7,278,405,152,253,371,896,1098,21,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
ENG-Premier League,1819,Brighton,21,38,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1819,Burnley,23,38,584,311,280,246,58,237,539,44.0,302,516,222,294,367,951,1156,19,/en/squads/943e8050/2018-2019/Burnley-Stats
ENG-Premier League,1819,Cardiff City,25,38,655,375,357,234,64,241,607,39.7,366,490,147,343,529,1184,1034,18,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
ENG-Premier League,1819,Chelsea,24,38,618,365,280,245,93,241,541,44.5,300,357,73,284,353,971,645,16,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
ENG-Premier League,1819,Crystal Palace,26,38,733,446,398,270,65,281,590,47.6,309,441,141,300,445,1178,1011,17,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
ENG-Premier League,1819,Everton,23,38,699,441,326,290,83,220,511,43.1,291,414,85,329,453,1152,877,21,/en/squads/d3fd31cc/2018-2019/Everton-Stats
ENG-Premier League,1819,Fulham,28,38,596,362,310,231,55,224,524,42.7,300,425,144,281,434,1030,1030,28,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,Huddersfield,31,38,708,425,323,315,70,263,625,42.1,362,496,130,366,531,1239,682,15,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,Leicester City,25,38,675,393,344,277,54,237,549,43.2,312,429,96,333,438,1113,1034,24,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,Liverpool,23,38,613,377,257,280,76,251,556,45.1,305,361,78,283,314,927,670,16,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,Manchester City,21,38,518,327,214,215,89,193,467,41.3,274,319,63,256,362,880,570,15,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,Manchester Utd,28,38,581,347,280,239,62,240,544,44.1,304,445,128,317,355,936,847,26,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,Newcastle Utd,24,38,711,433,356,291,64,241,565,42.7,324,472,135,337,506,1217,1204,16,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,Southampton,30,38,698,428,335,283,80,277,646,42.9,369,533,153,380,549,1247,1128,18,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,Tottenham,28,38,627,373,310,237,80,268,577,46.4,309,415,112,303,325,952,823,20,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,Watford,25,38,656,391,350,243,63,257,622,41.3,365,404,120,284,428,1084,1022,18,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,West Ham,26,38,723,393,385,279,59,295,697,42.3,402,488,142,346,457,1180,926,16,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,Wolves,21,38,720,408,385,284,51,283,664,42.6,381,499,148,351,501,1221,895,23,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
ENG-Premier League,1920,Arsenal,29,38,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
ENG-Premier League,1920,Aston Villa,28,38,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,Bournemouth,27,38,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,Brighton,25,38,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,Burnley,22,38,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,Chelsea,27,38,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,Crystal Palace,25,38,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,Everton,24,38,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,Leicester City,24,38,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,Liverpool,24,38,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,Manchester City,24,38,514,301,204,210,100,230,605,38.0,375,292,66,226,352,866,495,21,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,Manchester Utd,29,38,579,333,267,231,81,254,634,40.1,380,360,99,261,379,958,703,14,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,Newcastle Utd,28,38,603,357,364,198,41,273,632,43.2,359,402,152,250,391,994,988,19,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,Norwich City,30,38,628,379,359,210,59,267,700,38.1,433,453,171,282,397,1025,959,20,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,Sheffield Utd,26,38,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,Southampton,25,38,706,416,325,287,94,324,793,40.9,469,488,124,364,425,1131,867,21,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,Tottenham,29,38,665,415,331,281,53,253,681,37.2,428,441,148,293,381,1046,894,24,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,Watford,26,38,657,369,347,249,61,267,713,37.4,446,396,135,261,424,1081,869,4,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,West Ham,29,38,696,417,374,263,59,300,745,40.3,445,383,117,266,421,1117,789,16,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,Wolves,21,38,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,Arsenal,29,38,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,Aston Villa,24,38,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,Brighton,27,38,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,Burnley,25,38,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,Chelsea,27,38,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,Crystal Palace,24,38,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,Everton,29,38,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,Fulham,28,38,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,Leeds United,23,38,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,Leicester City,27,38,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,Liverpool,28,38,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,Manchester City,24,38,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,Manchester Utd,29,38,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,Newcastle Utd,27,38,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,Sheffield Utd,27,38,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,Southampton,29,38,727,419,335,325,67,341,731,46.6,390,439,95,344,401,1128,681,10,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,Tottenham,24,38,636,361,313,244,79,277,683,40.6,406,434,147,287,342,978,795,15,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,West Brom,30,38,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,West Ham,24,38,514,280,269,195,50,224,573,39.1,349,405,124,281,437,951,779,11,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,Wolves,27,38,588,335,322,220,46,277,611,45.3,334,359,117,242,432,1020,727,15,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,Arsenal,27,38,540,311,261,195,84,244,500,48.8,256,386,123,263,296,836,658,20,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,Aston Villa,31,38,634,382,300,259,75,300,649,46.2,349,453,140,313,339,973,693,13,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,Brentford,29,38,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,Brighton,26,38,668,403,306,257,105,243,563,43.2,320,480,150,330,358,1026,723,12,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,Burnley,23,38,590,324,273,235,82,250,534,46.8,284,509,211,298,410,1000,887,18,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,Chelsea,26,38,621,348,267,269,85,257,567,45.3,310,408,96,312,347,968,641,15,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,Crystal Palace,24,38,637,374,323,236,78,273,575,47.5,302,452,135,317,333,970,761,5,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,Everton,33,38,705,402,369,252,84,336,735,45.7,399,496,140,356,365,1070,815,15,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,Leeds United,29,38,787,437,396,298,93,408,886,46.0,478,473,143,330,395,1182,621,15,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,Leicester City,28,38,690,384,336,270,84,306,720,42.5,414,469,146,323,367,1057,777,15,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,Liverpool,27,38,554,320,207,240,107,233,576,40.5,343,359,74,285,340,894,523,8,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,Manchester City,26,38,498,284,183,214,101,227,509,44.6,282,267,55,212,279,777,403,7,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,Manchester Utd,29,38,585,358,320,197,68,265,608,43.6,343,404,133,271,340,925,704,20,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,Newcastle Utd,29,38,659,383,334,266,59,304,641,47.4,337,420,162,258,360,1019,776,14,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,Norwich City,28,38,614,368,322,242,50,297,714,41.6,417,450,180,270,381,995,860,14,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,Southampton,25,38,602,340,285,243,74,248,581,42.7,333,430,132,298,446,1048,795,13,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,Tottenham,25,38,598,349,286,244,68,262,584,44.9,322,470,161,309,355,953,793,15,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,Watford,30,38,614,356,341,213,60,278,626,44.4,348,440,148,292,444,1058,899,19,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,West Ham,25,38,534,301,273,199,62,240,557,43.1,317,420,175,245,374,908,781,5,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,Wolves,26,38,673,377,377,242,54,273,671,40.7,398,437,135,302,389,1062,820,20,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,Arsenal,26,38,568,343,238,212,118,249,509,48.9,260,362,86,276,237,805,599,23,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,Aston Villa,26,38,633,338,305,251,77,313,646,48.5,333,438,118,320,324,957,714,14,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,Bournemouth,31,38,618,371,316,249,53,256,606,42.2,350,499,170,329,353,971,1027,11,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,Brentford,25,38,587,337,270,228,89,253,599,42.2,346,456,168,288,341,928,822,14,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,Brighton,29,38,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,Chelsea,32,38,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,Crystal Palace,26,38,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,Everton,28,38,708,424,362,257,89,309,611,50.6,302,510,180,330,390,1098,874,17,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,Fulham,29,38,625,350,295,229,101,299,585,51.1,286,455,125,330,340,965,749,15,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,Leeds United,29,38,840,480,376,343,121,412,863,47.7,451,536,131,405,392,1232,734,18,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,Leicester City,28,38,700,412,345,292,63,308,669,46.0,361,517,170,347,367,1067,777,12,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,Liverpool,28,38,590,370,228,250,112,281,648,43.4,367,350,74,276,333,923,568,20,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,Manchester City,24,38,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
