,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,10,6,8,1,1,9,21,42.9,12,6,5,1,11,21,23,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,22,13,5,10,7,9,19,47.4,10,16,0,16,2,24,7,0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,8,4
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,23,11,7,13,3,8,14,57.1,6,14,8,6,10,33,20,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,2,1,0,1,1,0,5,0.0,5,4,1,3,0,2,1,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,6,5,4,2,0,3,5,60.0,2,7,1,6,4,10,5,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,11,7,5,5,1,5,9,55.6,4,28,20,8,8,19,44,2
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,12,10,2,4,6,5,14,35.7,9,4,0,4,1,13,10,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,4,2,3,1,0,3,5,60.0,2,5,2,3,1,5,16,1
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,4.4,8,3,1,5,2,5,11,45.5,6,0,0,0,5,13,1,1
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,13.5,22,12,6,12,4,6,13,46.2,7,11,4,7,6,28,23,1
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,15.4,12,8,2,6,4,3,10,30.0,7,16,3,13,6,18,28,1
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,10.2,14,10,3,8,3,7,17,41.2,10,12,0,12,7,21,10,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,9.1,11,6,4,5,2,2,13,15.4,11,2,0,2,1,12,1,0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,5.3,15,10,5,4,6,4,11,36.4,7,12,5,7,8,23,7,1
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,1.6,5,3,3,2,0,2,2,100.0,0,0,0,0,0,5,1,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,2.6,2,0,1,1,0,1,4,25.0,3,5,0,5,3,5,5,0
