,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,MF,25-037,1999,5.2,288,334,86.2,4795,1331,131,142,92.3,127,143,88.8,21,28,75.0,1,0.6,0.2,0.4,5,29,1,0,34
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24-032,2000,2.5,69,85,81.2,1014,274,38,40,95.0,21,24,87.5,5,12,41.7,0,0.4,0.6,-0.4,4,7,3,0,10
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26-337,1998,11.8,642,769,83.5,9704,3031,382,409,93.4,205,246,83.3,38,76,50.0,1,1.6,1.6,-0.6,18,39,20,14,60
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22-357,2002,3.9,100,135,74.1,1454,315,62,73,84.9,30,40,75.0,6,12,50.0,1,0.6,1.1,0.4,3,2,4,1,6
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24-084,2000,2.9,119,140,85.0,1916,382,63,66,95.5,48,57,84.2,7,13,53.8,2,0.4,0.2,1.6,3,8,3,2,6
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-154,2004,5.9,104,171,60.8,1741,569,57,75,76.0,34,47,72.3,10,26,38.5,1,1.6,1.6,-0.6,10,7,9,3,13
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21-078,2003,9.2,328,404,81.2,4972,1359,191,208,91.8,117,136,86.0,13,39,33.3,0,1.0,1.1,-1.0,15,23,9,1,33
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26-287,1998,3.0,189,208,90.9,3027,1011,94,99,94.9,83,88,94.3,8,12,66.7,0,0.0,0.0,0.0,0,11,1,0,11
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23-272,2001,2.8,200,223,89.7,3655,1115,77,85,90.6,103,109,94.5,18,24,75.0,0,0.0,0.1,0.0,0,21,1,0,16
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27-039,1997,3.6,96,105,91.4,1286,265,59,64,92.2,29,30,96.7,2,2,100.0,1,1.5,0.3,-0.5,7,6,2,0,9
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22-231,2002,16.4,500,675,74.1,9773,2807,199,245,81.2,203,237,85.7,86,153,56.2,6,6.5,4.3,-0.5,47,70,37,8,102
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23-341,2001,12.8,659,793,83.1,11442,2959,314,340,92.4,258,302,85.4,68,108,63.0,4,2.7,2.7,1.3,25,68,11,1,73
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1.0,17,21,81.0,286,183,6,6,100.0,9,9,100.0,1,5,20.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24-273,2000,7.4,284,336,84.5,3838,784,179,197,90.9,86,98,87.8,8,14,57.1,3,2.0,1.8,1.0,15,9,22,0,39
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25-043,1999,3.3,137,160,85.6,2103,573,75,84,89.3,49,54,90.7,9,13,69.2,1,0.9,0.3,0.1,5,21,5,0,20
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-108,1998,0.7,39,47,83.0,536,78,26,30,86.7,12,14,85.7,1,3,33.3,0,0.1,0.0,-0.1,1,4,0,0,3
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21-301,2003,16.0,1078,1203,89.6,19673,7582,367,393,93.4,636,669,95.1,62,104,59.6,0,0.7,0.9,-0.7,4,71,3,1,69
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21-218,2003,11.6,630,724,87.0,10174,2459,320,335,95.5,256,296,86.5,37,57,64.9,1,0.7,1.0,0.3,9,61,9,3,61
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26-154,1998,13.0,683,766,89.2,10329,2924,359,378,95.0,285,322,88.5,22,37,59.5,1,0.9,1.2,0.1,8,48,5,1,43
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18-354,2006,0.3,3,4,75.0,32,0,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,MF,23-051,2001,16.7,892,1003,88.9,15070,4137,409,444,92.1,385,416,92.5,72,98,73.5,2,2.0,1.5,0.0,17,109,18,2,85
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-353,2001,1.7,28,42,66.7,431,165,17,24,70.8,10,15,66.7,1,2,50.0,0,1.0,0.5,-1.0,2,2,2,1,5
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23-186,2001,14.0,166,227,73.1,2191,516,98,124,79.0,47,61,77.0,6,11,54.5,3,1.8,0.6,1.2,15,14,3,1,18
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22-288,2002,11.5,277,349,79.4,3962,1062,176,199,88.4,73,97,75.3,14,21,66.7,3,2.6,1.5,0.4,16,6,24,4,44
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24-289,2000,9.0,250,316,79.1,3783,760,127,141,90.1,97,114,85.1,14,33,42.4,2,2.4,2.0,-0.4,17,6,12,8,15
ENG-Premier League,2425,Chelsea,Reece James,ENG,DF,25-015,1999,2.7,183,221,82.8,3278,1081,86,91,94.5,79,91,86.8,15,35,42.9,0,0.0,0.2,0.0,0,17,1,0,8
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21-147,2003,2.0,118,139,84.9,2171,435,45,51,88.2,55,61,90.2,13,21,61.9,0,0.0,0.2,0.0,0,6,1,0,7
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-035,1997,16.0,471,640,73.6,10725,7126,124,125,99.2,258,267,96.6,87,241,36.1,0,0.0,0.0,0.0,0,10,1,0,1
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20-352,2004,5.3,244,265,92.1,4041,1075,122,135,90.4,107,110,97.3,12,15,80.0,1,0.7,0.3,0.3,6,30,3,0,17
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-090,1997,4.9,356,388,91.8,6382,2526,149,156,95.5,182,188,96.8,24,38,63.2,0,0.0,0.0,0.0,1,14,0,0,12
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,24-006,2000,11.3,630,703,89.6,10682,2949,264,283,93.3,338,367,92.1,22,35,62.9,0,0.4,0.2,-0.4,5,44,1,0,25
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20-204,2004,6.9,285,362,78.7,5362,1871,108,125,86.4,138,160,86.3,34,59,57.6,0,0.6,0.6,-0.6,8,39,11,2,61
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,19-086,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18-161,2006,0.1,5,7,71.4,72,21,4,4,100.0,0,2,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21-189,2003,1.0,70,82,85.4,1411,568,24,28,85.7,38,41,92.7,8,13,61.5,0,0.0,0.0,0.0,0,8,1,0,7
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-350,2000,3.0,106,118,89.8,1741,467,51,53,96.2,41,43,95.3,10,13,76.9,0,0.0,0.1,0.0,0,7,2,0,11
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24-270,2000,4.9,178,211,84.4,3006,1033,86,93,92.5,75,81,92.6,15,26,57.7,0,0.0,0.0,0.0,0,3,0,0,6
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,28-140,1996,7.9,263,332,79.2,4373,1270,134,152,88.2,106,130,81.5,19,30,63.3,0,1.0,0.7,-1.0,13,28,6,1,45
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28-211,1996,15.0,490,654,74.9,7397,1961,279,327,85.3,187,234,79.9,17,53,32.1,1,1.7,0.8,-0.7,16,24,8,4,38
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27-286,1997,17.0,321,529,60.7,8192,5195,81,81,100.0,166,166,100.0,70,277,25.3,0,0.0,0.0,0.0,0,4,0,0,0
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-177,1998,12.0,371,499,74.3,6409,1686,173,209,82.8,152,182,83.5,37,73,50.7,2,2.1,1.8,-0.1,25,27,19,1,54
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-207,1999,6.4,109,150,72.7,1654,309,54,70,77.1,45,53,84.9,5,9,55.6,1,1.3,0.5,-0.3,10,9,1,0,10
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-302,1998,11.2,184,270,68.1,2681,707,102,125,81.6,74,105,70.5,4,14,28.6,2,3.2,2.5,-1.2,16,4,15,3,28
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-178,1997,13.9,134,205,65.4,1716,436,84,110,76.4,38,58,65.5,2,10,20.0,1,1.9,0.8,-0.9,17,10,4,0,22
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,MF,30-059,1994,9.2,331,425,77.9,5796,1990,157,178,88.2,141,167,84.4,29,60,48.3,0,0.9,0.8,-0.9,5,41,7,0,40
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",32-000,1992,1.1,38,49,77.6,568,137,16,19,84.2,17,22,77.3,2,4,50.0,0,0.1,0.1,-0.1,2,4,1,0,4
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28-206,1996,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-103,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,21-073,2003,2.5,70,98,71.4,1180,320,35,42,83.3,25,34,73.5,6,15,40.0,0,0.3,0.3,-0.3,5,9,2,1,7
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24-163,2000,17.0,758,903,83.9,15345,6567,238,265,89.8,421,464,90.7,94,159,59.1,1,0.5,0.4,0.5,7,65,7,2,70
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24-261,2000,14.0,506,626,80.8,10575,4308,143,170,84.1,297,329,90.3,63,113,55.8,1,0.3,0.4,0.7,3,40,1,0,34
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33-262,1991,4.2,111,151,73.5,2057,803,48,62,77.4,51,56,91.1,11,23,47.8,0,0.1,0.1,-0.1,2,9,1,1,6
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26-342,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25-171,1999,9.8,284,359,79.1,5642,1808,99,108,91.7,146,174,83.9,36,68,52.9,0,0.4,0.3,-0.4,4,24,2,1,26
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,25-113,1999,16.4,509,700,72.7,8083,3145,273,322,84.8,201,270,74.4,25,64,39.1,3,2.8,2.0,0.2,20,30,15,9,35
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29-250,1995,10.6,350,451,77.6,5689,1933,168,184,91.3,148,177,83.6,22,58,37.9,2,1.4,1.3,0.6,19,39,8,3,48
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31-357,1993,11.9,344,419,82.1,5650,995,160,185,86.5,146,169,86.4,26,33,78.8,0,0.7,0.5,-0.7,14,22,6,0,32
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,23-104,2001,0.4,4,6,66.7,43,11,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,1,0,0,0
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39-167,1985,13.3,469,642,73.1,8649,4029,222,251,88.4,190,238,79.8,54,131,41.2,3,1.1,1.3,1.9,16,57,16,7,73
ENG-Premier League,2425,Everton,Beto,GNB,FW,26-327,1998,2.3,11,22,50.0,204,0,6,9,66.7,2,9,22.2,3,3,100.0,0,0.0,0.0,0.0,0,0,0,0,1
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27-282,1997,13.7,128,207,61.8,1531,359,95,136,69.9,24,43,55.8,3,7,42.9,1,0.4,0.6,0.6,5,13,4,1,13
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,"MF,FW",25-031,1999,12.7,377,514,73.3,7168,2464,170,197,86.3,135,166,81.3,64,119,53.8,3,3.5,4.0,-0.5,32,33,32,10,60
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17-339,2007,0.0,2,5,40.0,54,0,0,0,,1,2,50.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,35-088,1989,12.9,475,552,86.1,8067,2097,234,258,90.7,195,215,90.7,40,56,71.4,0,0.6,0.7,-0.6,9,59,5,2,62
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,FW,24-292,2000,14.0,292,359,81.3,4545,980,163,193,84.5,97,112,86.6,24,31,77.4,0,1.2,0.8,-1.2,10,18,11,5,26
ENG-Premier League,2425,Everton,Jack Harrison,ENG,FW,28-033,1996,8.9,147,221,66.5,1992,744,97,115,84.3,35,54,64.8,6,24,25.0,0,1.5,0.9,-1.5,9,14,7,1,17
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23-222,2001,0.4,18,21,85.7,275,148,11,12,91.7,5,5,100.0,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,1
ENG-Premier League,2425,Everton,James Garner,ENG,"DF,MF",23-285,2001,2.8,68,102,66.7,1083,598,31,38,81.6,31,42,73.8,5,11,45.5,0,0.0,0.1,0.0,1,6,1,1,3
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,32-034,1992,15.9,481,588,81.8,9910,3798,156,177,88.1,251,274,91.6,69,111,62.2,0,1.3,1.1,-1.3,9,40,4,0,31
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22-179,2002,7.1,235,274,85.8,4338,1778,103,114,90.4,104,113,92.0,25,39,64.1,0,0.0,0.1,0.0,0,19,0,0,10
ENG-Premier League,2425,Everton,Jesper Lindstrøm,DEN,FW,24-298,2000,6.0,126,194,64.9,1991,602,85,99,85.9,25,44,56.8,13,30,43.3,0,0.9,0.8,-0.9,10,6,3,2,9
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30-291,1994,16.0,395,634,62.3,13294,10299,57,57,100.0,152,154,98.7,185,414,44.7,0,0.0,0.1,0.0,1,32,4,0,0
ENG-Premier League,2425,Everton,Mason Holgate,ENG,"FW,DF",28-062,1996,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Everton,Michael Keane,ENG,DF,31-347,1993,9.0,253,308,82.1,5832,1865,74,83,89.2,119,131,90.8,58,77,75.3,0,0.1,0.0,-0.1,2,17,0,0,12
ENG-Premier League,2425,Everton,Nathan Patterson,SCO,DF,23-068,2001,0.2,12,14,85.7,192,58,6,7,85.7,5,5,100.0,1,2,50.0,0,0.2,0.1,-0.2,1,1,1,1,1
ENG-Premier League,2425,Everton,Orel Mangala,BEL,MF,26-280,1998,8.5,246,279,88.2,3879,968,120,133,90.2,111,119,93.3,10,14,71.4,0,0.5,0.5,-0.5,5,24,4,0,24
ENG-Premier League,2425,Everton,Roman Dixon,ENG,DF,19-363,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0
ENG-Premier League,2425,Everton,Séamus Coleman,IRL,DF,36-073,1988,1.2,36,49,73.5,619,285,18,20,90.0,16,21,76.2,2,7,28.6,0,0.0,0.0,0.0,0,3,0,0,6
ENG-Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21-176,2003,4.3,70,99,70.7,1194,446,33,45,73.3,24,31,77.4,10,13,76.9,0,0.1,0.1,-0.1,2,8,1,0,10
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25-208,1999,13.3,386,511,75.5,6364,2537,192,215,89.3,158,208,76.0,27,62,43.5,0,0.3,0.4,-0.3,8,36,10,4,41
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",28-333,1996,9.4,207,290,71.4,2949,671,122,154,79.2,61,86,70.9,11,20,55.0,3,2.6,2.5,0.4,20,16,15,8,31
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",28-234,1996,16.4,547,721,75.9,9348,2936,289,329,87.8,204,257,79.4,49,90,54.4,3,3.5,3.5,-0.5,28,56,39,4,104
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28-357,1996,11.2,368,537,68.5,6639,2165,173,211,82.0,132,167,79.0,52,127,40.9,0,2.0,2.5,-2.0,33,32,12,3,57
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,DF,27-137,1997,17.0,738,973,75.8,13018,5130,335,389,86.1,329,414,79.5,65,119,54.6,6,2.7,2.2,3.3,20,61,30,16,62
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32-294,1992,17.0,540,664,81.3,13210,7613,87,88,98.9,353,355,99.4,98,218,45.0,1,0.1,0.0,0.9,1,6,1,0,0
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24-358,1999,16.0,859,960,89.5,15852,5449,328,344,95.3,437,465,94.0,81,124,65.3,0,0.1,0.1,-0.1,2,55,0,0,44
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,MF,29-273,1995,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24-148,2000,12.1,505,561,90.0,7295,1494,283,306,92.5,198,206,96.1,12,17,70.6,2,1.0,1.3,1.0,16,50,7,0,74
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29-331,1995,0.7,28,39,71.8,418,111,16,18,88.9,9,11,81.8,2,4,50.0,0,0.1,0.1,-0.1,1,0,1,0,3
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",27-276,1997,4.7,119,166,71.7,2113,555,59,68,86.8,45,60,75.0,14,31,45.2,0,0.0,0.2,0.0,2,10,5,0,20
ENG-Premier League,2425,Fulham,Issa Diop,FRA,DF,27-349,1997,9.4,399,461,86.6,7698,2707,130,143,90.9,237,255,92.9,31,58,53.4,0,0.1,0.0,-0.1,2,24,1,0,17
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,MF,22-029,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28-206,1996,7.7,458,549,83.4,9727,3848,137,149,91.9,246,261,94.3,72,129,55.8,0,0.2,0.1,-0.2,1,56,1,0,35
ENG-Premier League,2425,Fulham,Jorge Cuenca,ESP,DF,25-036,1999,1.0,30,37,81.1,575,178,7,8,87.5,17,21,81.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,3
ENG-Premier League,2425,Fulham,Joshua King,ENG,MF,17-355,2007,0.8,25,29,86.2,365,77,14,16,87.5,10,11,90.9,0,1,0.0,0,0.1,0.1,-0.1,2,2,1,0,3
ENG-Premier League,2425,Fulham,Kenny Tete,NED,DF,29-075,1995,14.0,576,706,81.6,9210,3032,303,331,91.5,208,260,80.0,46,72,63.9,2,0.7,0.5,1.3,5,53,6,4,42
ENG-Premier League,2425,Fulham,Martial Godo,ENG,FW,21-284,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33-232,1991,11.1,170,249,68.3,2467,646,97,124,78.2,49,68,72.1,12,21,57.1,2,2.2,1.4,-0.2,9,17,3,0,23
ENG-Premier League,2425,Fulham,Reiss Nelson,ENG,FW,25-013,1999,5.4,232,268,86.6,3429,761,136,147,92.5,77,91,84.6,12,19,63.2,1,1.0,1.0,0.0,13,7,15,3,35
ENG-Premier League,2425,Fulham,Rodrigo Muniz,BRA,FW,23-233,2001,5.9,47,68,69.1,789,248,26,33,78.8,11,19,57.9,8,9,88.9,1,0.6,0.1,0.4,6,8,1,0,13
ENG-Premier League,2425,Fulham,Ryan Sessegnon,ENG,MF,24-219,2000,0.1,1,4,25.0,7,0,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26-313,1998,10.6,441,490,90.0,7792,1991,180,205,87.8,211,226,93.4,41,45,91.1,0,0.4,0.3,-0.4,11,44,1,0,45
ENG-Premier League,2425,Fulham,Saša Lukić,SRB,MF,28-132,1996,9.9,420,474,88.6,6929,1777,202,217,93.1,177,193,91.7,32,41,78.0,0,0.5,0.5,-0.5,7,40,5,1,40
ENG-Premier League,2425,Fulham,Timothy Castagne,BEL,DF,29-018,1995,3.0,150,178,84.3,2530,847,75,83,90.4,66,76,86.8,9,16,56.3,0,0.1,0.2,-0.1,1,4,0,0,10
ENG-Premier League,2425,Fulham,Tom Cairney,SCO,MF,33-338,1991,2.8,233,252,92.5,3603,868,132,138,95.7,87,89,97.8,13,18,72.2,0,0.5,0.7,-0.5,6,27,6,2,34
ENG-Premier League,2425,Ipswich Town,Ali Al Hamadi,IRQ,FW,22-297,2002,1.3,20,24,83.3,229,19,16,19,84.2,4,5,80.0,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,26-046,1998,16.0,411,570,72.1,10702,7589,114,114,100.0,187,193,96.9,109,259,42.1,0,0.0,0.0,0.0,0,13,0,0,1
ENG-Premier League,2425,Ipswich Town,Axel Tuanzebe,COD,DF,27-039,1997,8.6,291,353,82.4,4443,1682,160,181,88.4,111,136,81.6,14,22,63.6,0,0.2,0.1,-0.2,3,25,0,0,20
ENG-Premier League,2425,Ipswich Town,Ben Johnson,ENG,"DF,FW",24-334,2000,5.7,160,220,72.7,2390,1132,97,112,86.6,56,70,80.0,7,19,36.8,1,0.4,0.2,0.6,3,10,1,1,13
ENG-Premier League,2425,Ipswich Town,Cameron Burgess,AUS,DF,29-063,1995,9.0,364,452,80.5,6224,2827,161,177,91.0,168,197,85.3,29,65,44.6,1,0.3,0.2,0.7,3,22,2,0,25
ENG-Premier League,2425,Ipswich Town,Chiedozie Ogbene,IRL,FW,27-236,1997,2.6,32,43,74.4,415,27,20,24,83.3,8,10,80.0,1,1,100.0,0,0.1,0.0,-0.1,2,0,0,0,0
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,29-044,1995,1.0,33,42,78.6,769,575,16,16,100.0,10,10,100.0,7,16,43.8,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Ipswich Town,Conor Chaplin,ENG,"MF,FW",27-311,1997,6.8,170,229,74.2,2652,699,85,101,84.2,74,94,78.7,6,17,35.3,1,0.6,0.6,0.4,6,17,7,2,25
ENG-Premier League,2425,Ipswich Town,Conor Townsend,ENG,MF,31-294,1993,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25-294,1999,13.7,556,707,78.6,10934,4681,191,219,87.2,296,344,86.0,62,124,50.0,0,0.0,0.1,0.0,0,43,1,0,38
ENG-Premier League,2425,Ipswich Town,George Edmundson,ENG,DF,27-114,1997,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Ipswich Town,George Hirst,ENG,FW,25-312,1999,2.0,22,42,52.4,236,94,16,25,64.0,4,10,40.0,0,0,,1,0.3,0.1,0.7,3,0,3,0,7
ENG-Premier League,2425,Ipswich Town,Harry Clarke,ENG,DF,23-296,2001,4.2,187,233,80.3,3403,1207,85,93,91.4,76,87,87.4,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,13
ENG-Premier League,2425,Ipswich Town,Jack Clarke,ENG,FW,24-030,2000,5.6,121,163,74.2,1939,523,66,75,88.0,46,51,90.2,7,18,38.9,2,1.1,0.7,0.9,9,9,3,0,15
ENG-Premier League,2425,Ipswich Town,Jack Taylor,IRL,MF,26-183,1998,3.7,164,197,83.2,2805,888,81,91,89.0,66,75,88.0,14,24,58.3,0,0.5,0.7,-0.5,5,19,6,0,28
ENG-Premier League,2425,Ipswich Town,Jacob Greaves,ENG,DF,24-102,2000,8.0,342,392,87.2,5629,2119,169,184,91.8,155,167,92.8,15,31,48.4,0,0.0,0.0,0.0,0,20,0,0,17
ENG-Premier League,2425,Ipswich Town,Jens Cajuste,SWE,MF,25-135,1999,6.7,227,275,82.5,3744,671,103,116,88.8,106,123,86.2,12,24,50.0,0,0.2,0.2,-0.2,5,16,2,0,17
ENG-Premier League,2425,Ipswich Town,Kalvin Phillips,ENG,MF,29-021,1995,6.3,226,288,78.5,4343,1210,98,113,86.7,91,112,81.3,35,55,63.6,0,0.1,0.2,-0.1,2,30,4,1,28
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24-346,2000,17.0,523,729,71.7,9067,3763,241,274,88.0,223,290,76.9,49,125,39.2,2,3.2,3.4,-1.2,37,21,16,6,35
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21-319,2003,13.2,90,148,60.8,1307,324,46,68,67.6,32,52,61.5,4,10,40.0,1,1.3,0.9,-0.3,14,8,5,0,15
ENG-Premier League,2425,Ipswich Town,Luke Woolfenden,ENG,DF,26-063,1998,4.2,190,216,88.0,3281,1162,82,86,95.3,95,100,95.0,11,25,44.0,0,0.0,0.0,0.0,0,12,0,0,9
ENG-Premier League,2425,Ipswich Town,Marcus Harness,ENG,MF,28-303,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2
ENG-Premier League,2425,Ipswich Town,Massimo Luongo,AUS,MF,32-089,1992,1.6,32,45,71.1,454,120,19,22,86.4,9,14,64.3,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,4
