,,,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,vs Arsenal,23,45.4,17,8963,1270,3272,3520,2275,313,8962,292,131,44.9,123,42.1,5000,27225,14338,308,217,85,198,153,5688,453,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,23,49.9,17,9800,1028,2980,4514,2398,360,9798,271,104,38.4,128,47.2,5619,30751,15930,319,216,92,209,155,6664,563,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,25,55.0,17,10764,1317,3885,4403,2584,441,10763,322,143,44.4,140,43.5,6050,32619,15833,316,225,95,286,198,6864,597,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,23,52.1,17,10663,1121,3116,4260,3373,582,10662,281,119,42.3,140,49.8,5907,31019,16298,403,263,165,234,154,6966,733,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,28,46.6,17,9706,1316,3884,4036,1874,405,9704,349,164,47.0,146,41.8,5516,28624,14098,258,130,105,210,150,6163,539,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,24,42.4,17,8880,1289,3454,3623,1912,346,8876,324,138,42.6,136,42.0,4854,26372,13038,260,169,80,195,147,5630,533,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,25,56.6,17,11442,1120,3493,5245,2818,407,11441,359,169,47.1,152,42.3,6427,34935,17806,318,224,85,254,215,7702,695,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,24,61.0,16,11231,1020,3711,4975,2632,404,11230,336,130,38.7,164,48.8,7100,35531,18797,295,217,89,233,168,7915,689,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,vs Fulham,25,48.8,17,10167,1156,3353,4464,2446,345,10167,293,129,44.0,126,43.0,5685,30712,15612,280,206,72,236,174,6742,616,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,vs Ipswich Town,28,57.1,17,11213,1108,3800,4699,2825,495,11210,321,159,49.5,133,41.4,6632,34325,17117,358,215,131,210,142,7765,690,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,vs Leicester City,25,53.4,17,11145,961,3203,4753,3300,566,11144,385,178,46.2,160,41.6,6247,32533,16729,331,220,121,243,197,7472,810,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,vs Liverpool,23,43.6,16,8811,1326,3435,3536,1931,316,8810,322,130,40.4,157,48.8,4721,27325,13913,263,167,101,228,130,5625,498,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,vs Manchester City,22,37.7,17,8673,1493,3780,3274,1700,291,8670,222,97,43.7,94,42.3,5034,25915,12692,252,159,69,199,130,5593,373,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,vs Manchester Utd,25,45.8,17,9819,1145,3315,4364,2246,358,9816,345,145,42.0,175,50.7,5556,28952,14911,292,224,88,207,187,6398,523,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,vs Newcastle Utd,22,49.5,17,10138,1160,3230,4274,2738,439,10138,304,127,41.8,142,46.7,5824,30508,16075,318,232,115,227,132,6503,611,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,vs Nott'ham Forest,23,59.4,17,11369,980,3219,5103,3151,468,11368,319,132,41.4,145,45.5,6703,39188,22405,444,297,119,240,170,7775,871,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,vs Southampton,31,47.6,17,10088,908,2731,4241,3220,593,10086,299,143,47.8,117,39.1,5811,30617,16287,367,237,139,161,160,6961,709,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,vs Tottenham,25,42.2,17,9028,1291,3467,3438,2219,422,9026,325,140,43.1,152,46.8,4806,25445,12423,270,179,99,204,160,5418,531,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,vs West Ham,25,53.1,17,10787,1205,3483,4462,2950,526,10785,290,122,42.1,131,45.2,6180,33315,17941,375,231,123,242,166,7031,721,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,vs Wolves,24,53.4,17,10569,976,3055,4526,3084,515,10564,351,147,41.9,159,45.3,5937,32028,16902,380,242,128,229,202,7070,735,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
