,,,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,vs Arsenal,23,17,49,0,0,175,198,20,257,112,205,1,2,1,593,217,225,49.1,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,23,17,50,1,0,224,197,36,282,154,169,1,2,1,692,172,144,54.4,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,25,17,50,2,1,173,212,17,283,116,184,0,6,0,797,292,233,55.6,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,23,17,40,2,2,167,135,26,383,149,164,1,2,0,761,240,294,44.9,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,28,17,46,3,2,196,192,50,268,149,200,2,0,1,703,197,219,47.4,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,24,17,52,2,1,218,200,48,223,134,166,4,3,0,670,164,163,50.2,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,25,17,36,1,1,190,174,23,322,172,153,1,1,1,762,303,234,56.4,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,24,16,15,1,0,162,176,28,303,88,201,1,0,2,680,202,221,47.8,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,vs Fulham,25,17,31,3,1,180,182,44,290,173,153,0,2,1,707,222,203,52.2,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,vs Ipswich Town,28,17,27,1,1,191,201,21,315,126,157,3,0,1,721,228,252,47.5,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,vs Leicester City,25,17,38,2,1,195,191,19,335,128,203,1,2,0,768,247,243,50.4,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,vs Liverpool,23,16,46,0,0,166,180,33,222,113,173,1,4,0,666,132,177,42.7,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,vs Manchester City,22,17,43,1,1,179,125,39,180,144,181,3,1,0,600,137,136,50.2,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,vs Manchester Utd,25,17,33,1,0,164,183,20,253,145,189,3,2,1,753,203,200,50.4,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,vs Newcastle Utd,22,17,53,0,0,229,172,27,306,141,211,0,2,1,761,196,201,49.4,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,vs Nott'ham Forest,23,17,52,1,1,196,187,18,371,138,161,1,2,0,686,243,246,49.7,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,vs Southampton,31,17,35,1,0,233,199,19,346,152,183,1,2,0,702,140,145,49.1,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,vs Tottenham,25,17,41,3,0,231,182,36,287,211,226,2,0,2,730,178,167,51.6,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,vs West Ham,25,17,27,0,0,164,197,24,359,133,209,2,3,1,738,251,265,48.6,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,vs Wolves,24,17,44,0,0,188,216,35,357,137,165,5,0,0,727,209,205,50.5,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
