,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-076,1997,7.7,8,1.04,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-109,2001,14.1,89,6.32,52,17,9,8,3,0,21,1.49,12,5,2,1,1,0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17.0,2,0.12,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25-344,1999,13.3,45,3.39,24,16,2,2,1,0,4,0.3,1,2,0,1,0,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-277,2007,1.3,4,3.05,2,1,1,0,0,0,1,0.76,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27-264,1997,4.0,14,3.51,7,0,1,4,1,1,3,0.75,1,0,0,2,0,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-004,1997,14.1,17,1.21,13,0,0,3,1,0,2,0.14,0,0,0,1,1,0
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-188,2001,10.5,27,2.57,22,1,3,1,0,0,2,0.19,2,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24-312,2000,3.6,1,0.28,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-003,1991,4.4,6,1.37,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-189,2001,13.5,28,2.07,25,0,2,0,1,0,3,0.22,3,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-195,1999,15.4,37,2.4,30,0,1,6,0,0,2,0.13,1,0,0,1,0,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-019,1994,10.2,35,3.43,29,1,2,1,1,1,2,0.2,2,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-006,1998,9.1,46,5.09,41,2,2,1,0,0,8,0.88,8,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,MF,28-184,1996,5.3,11,2.06,9,0,0,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-088,2006,1.6,2,1.28,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-008,1996,2.6,6,2.27,5,0,0,1,0,0,1,0.38,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"MF,FW",30-015,1994,1.6,7,4.26,5,0,2,0,0,0,1,0.61,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-013,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22-218,2002,6.0,6,1.0,5,0,0,1,0,0,1,0.17,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-048,1998,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-193,1993,14.5,22,1.51,17,2,0,1,1,1,7,0.48,4,2,0,0,1,0
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23-274,2001,15.3,11,0.72,10,0,0,0,0,1,0,0.0,0,0,0,0,0,0
