,,,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
league,season,team,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,1,17,17,1530,17,16,0.94,61,45,75.4,9,6,2,6,35.3,1,1,0,0,0.0,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,2,17,17,1530,17,26,1.53,70,43,64.3,8,4,5,2,11.8,2,1,1,0,50.0,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,3,17,17,1530,17,21,1.24,86,65,76.7,8,4,5,3,17.6,1,1,0,0,0.0,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,1,17,17,1530,17,32,1.88,111,80,72.1,7,2,8,1,5.9,1,1,0,0,0.0,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,2,17,17,1530,17,26,1.53,72,47,66.7,6,7,4,3,17.6,2,2,0,0,0.0,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,2,17,17,1530,17,19,1.12,75,55,78.7,10,5,2,4,23.5,4,3,1,0,25.0,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,1,17,17,1530,17,26,1.53,75,50,65.3,3,7,7,3,17.6,1,0,1,0,100.0,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,1,16,16,1440,16,21,1.31,65,43,67.7,3,7,6,7,43.8,1,0,1,0,100.0,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,1,17,17,1530,17,22,1.29,65,44,66.2,6,7,4,3,17.6,0,0,0,0,,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,2,17,17,1530,17,32,1.88,96,64,69.8,2,6,9,1,5.9,3,3,0,0,0.0,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,2,17,17,1530,17,37,2.18,103,68,65.0,3,5,9,1,5.9,1,1,0,0,0.0,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,3,16,16,1440,16,16,1.0,57,40,71.9,12,3,1,7,43.8,1,0,1,0,100.0,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,2,17,17,1530,17,25,1.47,65,41,66.2,8,3,6,3,17.6,3,3,0,0,0.0,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,1,17,17,1530,17,22,1.29,65,42,69.2,6,4,7,6,35.3,3,2,1,0,33.3,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,2,17,17,1530,17,21,1.24,76,56,72.4,7,5,5,5,29.4,0,0,0,0,,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,1,17,17,1530,17,19,1.12,66,47,72.7,9,4,4,6,35.3,1,1,0,0,0.0,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,3,17,17,1530,17,36,2.12,109,73,68.8,1,3,13,2,11.8,2,2,0,0,0.0,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,2,17,17,1530,17,25,1.47,77,52,70.1,7,2,8,4,23.5,2,2,0,0,0.0,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,2,17,17,1530,17,30,1.76,85,56,67.1,5,5,7,3,17.6,2,2,0,0,0.0,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,2,17,17,1530,17,40,2.35,91,54,61.5,3,3,11,2,11.8,5,5,0,0,0.0,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
