,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-209,2001,7.0,0,10,3,30.0,1.42,0.43,0.0,0.0,17.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-319,2002,3.7,0,7,0,0.0,1.9,0.0,0.0,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
ENG-Premier League,2425,Aston Villa,Jhon Durán,COL,FW,21-010,2003,6.3,7,29,15,51.7,4.57,2.36,0.24,0.47,15.7,0,0,0,4.8,4.8,0.16,2.2,2.2
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"FW,MF",30-066,1994,11.9,0,19,2,10.5,1.6,0.17,0.0,0.0,16.6,0,0,0,1.8,1.8,0.1,-1.8,-1.8
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19-007,2005,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,DF,20-353,2004,2.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-136,1997,8.1,0,11,2,18.2,1.35,0.25,0.0,0.0,17.4,1,0,0,0.6,0.6,0.05,-0.6,-0.6
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31-156,1993,13.9,0,7,2,28.6,0.5,0.14,0.0,0.0,19.6,2,0,0,0.5,0.5,0.08,-0.5,-0.5
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,"DF,FW",27-138,1997,9.2,1,4,2,50.0,0.43,0.22,0.25,0.5,15.6,0,0,0,0.1,0.1,0.03,0.9,0.9
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-150,2002,15.6,5,32,9,28.1,2.06,0.58,0.16,0.56,16.8,0,0,0,3.5,3.5,0.11,1.5,1.5
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28-359,1995,12.6,7,43,19,44.2,3.4,1.5,0.14,0.32,11.5,0,1,1,8.8,8.0,0.19,-1.8,-2.0
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27-342,1997,16.0,0,6,2,33.3,0.37,0.12,0.0,0.0,9.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31-018,1993,5.0,2,12,3,25.0,2.41,0.6,0.17,0.67,13.0,0,0,0,1.5,1.5,0.13,0.5,0.5
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31-285,1993,1.0,0,2,0,0.0,2.0,0.0,0.0,,7.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27-230,1997,16.3,0,10,2,20.0,0.61,0.12,0.0,0.0,24.6,0,0,1,1.4,0.6,0.06,-1.4,-0.6
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33-238,1991,11.5,0,1,0,0.0,0.09,0.0,0.0,,10.2,0,0,0,0.6,0.6,0.6,-0.6,-0.6
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21-124,2003,2.9,0,3,1,33.3,1.03,0.34,0.0,0.0,24.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24-351,2000,15.4,5,67,17,25.4,4.35,1.1,0.07,0.29,17.5,0,0,0,5.6,5.6,0.08,-0.6,-0.6
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-316,2002,7.8,2,19,5,26.3,2.44,0.64,0.11,0.4,12.8,0,0,0,3.3,3.3,0.17,-1.3,-1.3
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21-132,2003,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27-168,1997,2.0,1,7,2,28.6,3.58,1.02,0.14,0.5,18.7,0,0,0,0.5,0.5,0.08,0.5,0.5
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19-253,2005,6.8,2,6,2,33.3,0.88,0.29,0.33,1.0,10.6,0,0,0,1.0,1.0,0.17,1.0,1.0
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-227,1997,2.7,2,17,6,35.3,6.24,2.2,0.12,0.33,14.5,2,0,0,2.3,2.3,0.13,-0.3,-0.3
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,25-078,1999,13.1,4,34,16,47.1,2.6,1.22,0.12,0.25,13.7,0,0,1,6.0,5.2,0.15,-2.0,-1.2
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-113,2002,17.0,0,3,0,0.0,0.18,0.0,0.0,,7.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4
ENG-Premier League,2425,Bournemouth,James Hill,ENG,MF,22-348,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23-132,2001,3.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-232,1999,11.7,6,29,13,44.8,2.47,1.11,0.03,0.08,21.0,0,5,5,6.1,2.2,0.07,-0.1,-1.2
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27-324,1997,14.6,1,9,2,22.2,0.62,0.14,0.11,0.5,24.1,1,0,0,0.6,0.6,0.06,0.4,0.4
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-189,1999,2.3,1,12,6,50.0,5.19,2.6,0.08,0.17,15.7,0,0,0,1.1,1.1,0.09,-0.1,-0.1
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27-227,1997,10.2,0,2,0,0.0,0.2,0.0,0.0,,6.0,0,0,0,0.8,0.8,0.4,-0.8,-0.8
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25-276,1999,12.7,1,32,9,28.1,2.53,0.71,0.03,0.11,19.9,2,0,0,4.1,4.1,0.13,-3.1,-3.1
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24-354,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
