,,,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
league,season,team,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,vs Arsenal,1,17,17,1530,17,34,2.0,87,54,63.2,2,6,9,3,17.6,2,2,0,0,0.0,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,2,17,17,1530,17,26,1.53,71,45,64.8,5,4,8,4,23.5,2,1,1,0,50.0,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,3,17,17,1530,17,27,1.59,93,65,76.3,5,4,8,3,17.6,6,5,1,0,16.7,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,1,17,17,1530,17,32,1.88,82,50,63.4,8,2,7,3,17.6,2,2,0,0,0.0,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,2,17,17,1530,17,27,1.59,81,55,66.7,4,7,6,1,5.9,0,0,0,0,,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,2,17,17,1530,17,37,2.18,100,63,66.0,2,5,10,2,11.8,3,3,0,0,0.0,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,1,17,17,1530,17,18,1.06,77,60,77.9,7,7,3,5,29.4,1,1,0,0,0.0,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,1,16,16,1440,16,14,0.87,58,46,75.9,6,7,3,9,56.3,0,0,0,0,,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,vs Fulham,1,17,17,1530,17,24,1.41,81,57,71.6,4,7,6,2,11.8,2,1,1,0,50.0,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,vs Ipswich Town,2,17,17,1530,17,16,0.94,53,38,69.8,9,6,2,6,35.3,0,0,0,0,,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,vs Leicester City,2,17,17,1530,17,21,1.24,54,33,64.8,9,5,3,3,17.6,2,2,0,0,0.0,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,vs Liverpool,3,16,16,1440,16,37,2.31,103,66,68.0,1,3,12,1,6.3,4,4,0,0,0.0,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,vs Manchester City,2,17,17,1530,17,29,1.71,99,70,71.7,6,3,8,2,11.8,1,1,0,0,0.0,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,vs Manchester Utd,1,17,17,1530,17,21,1.24,84,64,77.4,7,4,6,6,35.3,2,2,0,0,0.0,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,vs Newcastle Utd,2,17,17,1530,17,27,1.59,73,46,64.4,5,5,7,3,17.6,2,1,1,0,50.0,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,vs Nott'ham Forest,1,17,17,1530,17,23,1.35,80,57,73.8,4,4,9,3,17.6,2,2,0,0,0.0,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,vs Southampton,3,17,17,1530,17,11,0.65,47,34,76.6,13,3,1,8,47.1,2,0,2,0,100.0,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,vs Tottenham,2,17,17,1530,17,39,2.29,100,63,61.0,8,2,7,3,17.6,0,0,0,0,,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,vs West Ham,2,17,17,1530,17,22,1.29,76,55,75.0,7,5,5,3,17.6,3,3,0,0,0.0,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,vs Wolves,2,17,17,1530,17,27,1.59,71,44,62.0,11,3,3,2,11.8,0,0,0,0,,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
