,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-099,1995,17,17,1530,17.0,16,0.94,61,45,75.4,9,6,2,6,35.3,1,1,0,0,0.0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-112,1992,17,17,1485,16.5,25,1.52,67,41,64.2,8,4,5,2,11.8,2,1,1,0,50.0
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34-350,1990,1,0,45,0.5,1,2.0,3,2,66.7,0,0,0,0,,0,0,0,0,
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-081,1994,12,12,1080,12.0,16,1.33,58,42,74.1,7,1,4,3,25.0,1,1,0,0,0.0
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25-219,1999,3,3,270,3.0,3,1.0,15,12,80.0,1,1,1,0,0.0,0,0,0,0,
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17,17,1530,17.0,32,1.88,111,80,72.1,7,2,8,1,5.9,1,1,0,0,0.0
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15,15,1350,15.0,25,1.67,68,44,66.2,4,7,4,2,13.3,2,2,0,0,0.0
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-035,1997,16,16,1440,16.0,18,1.13,71,52,78.9,9,5,2,4,25.0,4,3,1,0,25.0
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27-286,1997,17,17,1530,17.0,26,1.53,75,50,65.3,3,7,7,3,17.6,1,0,1,0,100.0
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30-291,1994,16,16,1440,16.0,21,1.31,65,43,67.7,3,7,6,7,43.8,1,0,1,0,100.0
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32-294,1992,17,17,1530,17.0,22,1.29,65,44,66.2,6,7,4,3,17.6,0,0,0,0,
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,26-046,1998,16,16,1440,16.0,30,1.87,91,61,70.3,2,6,8,1,6.3,3,3,0,0,0.0
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,29-044,1995,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31-184,1993,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24-165,2000,16,16,1395,15.5,31,2.0,93,64,67.7,3,5,8,1,6.3,1,1,0,0,0.0
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,32-082,1992,8,8,708,7.9,7,0.89,25,18,72.0,6,1,1,3,37.5,0,0,0,0,
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,26-030,1998,8,8,720,8.0,9,1.13,31,21,71.0,6,2,0,3,37.5,1,0,1,0,100.0
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23-153,2001,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,
ENG-Premier League,2425,Manchester City,Ederson,BRA,GK,31-128,1993,13,13,1170,13.0,19,1.46,46,28,63.0,7,2,4,2,15.4,2,2,0,0,0.0
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,32-047,1992,4,4,360,4.0,6,1.5,19,13,73.7,1,1,2,1,25.0,1,1,0,0,0.0
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28-265,1996,17,17,1530,17.0,22,1.29,65,42,69.2,6,4,7,6,35.3,3,2,1,0,33.3
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,35-343,1989,2,2,180,2.0,0,0.0,3,3,100.0,2,0,0,2,100.0,0,0,0,0,
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,32-248,1992,15,15,1350,15.0,21,1.4,73,53,71.2,5,5,5,3,20.0,0,0,0,0,
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,32-301,1992,17,17,1530,17.0,19,1.12,66,47,72.7,9,4,4,6,35.3,1,1,0,0,0.0
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26-223,1998,10,10,900,10.0,19,1.9,60,41,70.0,1,2,7,2,20.0,1,1,0,0,0.0
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,35-020,1989,4,4,360,4.0,10,2.5,29,19,69.0,0,0,4,0,0.0,1,1,0,0,0.0
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29-312,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36-281,1988,5,5,450,5.0,12,2.4,36,24,72.2,1,1,3,1,20.0,2,2,0,0,0.0
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28-077,1996,12,12,1080,12.0,13,1.08,41,28,68.3,6,1,5,3,25.0,0,0,0,0,
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31-300,1993,8,8,675,7.5,14,1.87,32,19,56.3,2,2,4,1,12.5,0,0,0,0,
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39-249,1985,10,9,855,9.5,16,1.68,53,37,73.6,3,3,3,2,22.2,2,2,0,0,0.0
