,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester City,Mateo Kovačić,CRO,MF,30-231,1994,13,11,985,10.9,3,0,3,3,0,0,3,0,1.0,1.0,1.6,2.6,34,68,11,0.27,0.0,0.27,0.27,0.27,0.09,0.15,0.24,0.09,0.24
ENG-Premier League,2425,Manchester City,Matheus Nunes,POR,"MF,FW",26-118,1998,12,6,530,5.9,0,3,3,0,0,0,1,0,0.2,0.2,1.9,2.0,30,26,86,0.0,0.51,0.51,0.0,0.51,0.03,0.31,0.34,0.03,0.34
ENG-Premier League,2425,Manchester City,Nathan Aké,NED,DF,29-309,1995,5,3,299,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9,22,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
ENG-Premier League,2425,Manchester City,Phil Foden,ENG,"MF,FW",24-209,2000,12,8,810,9.0,1,1,2,1,0,0,1,0,2.0,2.0,2.8,4.8,20,43,63,0.11,0.11,0.22,0.11,0.22,0.22,0.31,0.53,0.22,0.53
ENG-Premier League,2425,Manchester City,Rico Lewis,ENG,"DF,MF",20-032,2004,15,13,1113,12.4,1,2,3,1,0,0,5,1,1.1,1.1,0.3,1.4,29,58,51,0.08,0.16,0.24,0.08,0.24,0.09,0.02,0.11,0.09,0.11
ENG-Premier League,2425,Manchester City,Rodri,ESP,MF,28-184,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2425,Manchester City,Rúben Dias,POR,DF,27-223,1997,13,12,1087,12.1,0,0,0,0,0,0,3,0,1.1,1.1,0.3,1.3,18,75,5,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.09,0.11
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,32-047,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Manchester City,Sávio,BRA,"FW,MF",20-257,2004,14,9,731,8.1,0,2,2,0,0,0,2,0,2.1,2.1,3.5,5.6,68,35,105,0.0,0.25,0.25,0.0,0.25,0.26,0.44,0.69,0.26,0.69
ENG-Premier League,2425,Manchester City,İlkay Gündoğan,GER,MF,34-060,1990,16,13,1113,12.4,0,1,1,0,0,0,1,0,1.6,1.6,1.3,2.9,30,69,56,0.0,0.08,0.08,0.0,0.08,0.13,0.11,0.23,0.13,0.23
ENG-Premier League,2425,Manchester Utd,Alejandro Garnacho,ARG,"FW,MF",20-175,2004,16,10,977,10.9,3,1,4,3,0,0,1,0,4.2,4.2,1.6,5.7,59,19,121,0.28,0.09,0.37,0.28,0.37,0.38,0.15,0.53,0.38,0.53
ENG-Premier League,2425,Manchester Utd,Amad Diallo,CIV,"FW,DF",22-165,2002,15,10,976,10.8,2,6,8,2,0,0,2,0,2.2,2.2,2.7,5.0,65,39,101,0.18,0.55,0.74,0.18,0.74,0.2,0.25,0.46,0.2,0.46
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28-265,1996,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
