,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Nott'ham Forest,Ola Aina,NGA,DF,28-076,1996,17,17,1463,16.3,2,0,2,2,0,0,2,0,0.3,0.3,0.5,0.8,37,61,31,0.12,0.0,0.12,0.12,0.12,0.02,0.03,0.05,0.02,0.05
ENG-Premier League,2425,Nott'ham Forest,Ramón Sosa,PAR,"FW,MF",25-114,1999,10,0,150,1.7,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,7,4,12,0.6,0.0,0.6,0.6,0.6,0.41,0.25,0.66,0.41,0.66
ENG-Premier League,2425,Nott'ham Forest,Ryan Yates,ENG,MF,27-032,1997,17,12,1218,13.5,1,0,1,1,0,0,4,0,1.7,1.7,0.7,2.4,12,33,10,0.07,0.0,0.07,0.07,0.07,0.13,0.05,0.18,0.13,0.18
ENG-Premier League,2425,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,27-133,1997,12,2,205,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,3,10,0.0,0.0,0.0,0.0,0.0,0.19,0.03,0.22,0.19,0.22
ENG-Premier League,2425,Nott'ham Forest,Willy Boly,CIV,DF,33-324,1991,3,1,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2425,Nott'ham Forest,Álex Moreno,ESP,DF,31-198,1993,11,10,788,8.8,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.1,20,28,24,0.0,0.11,0.11,0.0,0.11,0.02,0.11,0.13,0.02,0.13
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26-223,1998,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Adam Armstrong,ENG,"FW,MF",27-317,1997,14,11,942,10.5,2,1,3,2,0,1,4,0,3.1,2.1,0.4,2.6,18,16,62,0.19,0.1,0.29,0.19,0.29,0.29,0.04,0.33,0.2,0.25
ENG-Premier League,2425,Southampton,Adam Lallana,ENG,MF,36-227,1988,8,5,315,3.5,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.0,5,22,8,0.0,0.57,0.57,0.0,0.57,0.05,0.25,0.3,0.05,0.3
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,35-020,1989,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Ben Brereton,CHI,FW,25-249,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2
ENG-Premier League,2425,Southampton,Cameron Archer,ENG,FW,23-155,2001,17,9,897,10.0,2,0,2,2,0,1,0,0,4.4,3.6,0.2,3.8,13,9,38,0.2,0.0,0.2,0.2,0.2,0.44,0.02,0.46,0.36,0.38
ENG-Premier League,2425,Southampton,Carlos Alcaraz,ARG,MF,22-023,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48
ENG-Premier League,2425,Southampton,Charlie Taylor,ENG,DF,31-096,1993,6,2,221,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,MF,25-338,1999,15,15,1309,14.5,1,0,1,1,0,0,7,0,0.6,0.6,0.9,1.5,18,48,23,0.07,0.0,0.07,0.07,0.07,0.04,0.06,0.1,0.04,0.1
ENG-Premier League,2425,Southampton,Jack Stephens,ENG,DF,30-331,1994,10,10,793,8.8,0,0,0,0,0,0,2,2,0.3,0.3,0.1,0.4,11,43,1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
ENG-Premier League,2425,Southampton,James Bree,ENG,DF,27-073,1997,4,2,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,28-255,1996,13,13,1160,12.9,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.5,4,34,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.04
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,MF,28-155,1996,16,9,959,10.7,2,0,2,2,0,0,0,0,2.2,2.2,1.2,3.4,22,32,39,0.19,0.0,0.19,0.19,0.19,0.21,0.11,0.32,0.21,0.32
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29-312,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",22-312,2002,6,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,27-254,1997,15,15,1340,14.9,0,2,2,0,0,0,3,0,0.3,0.3,1.6,1.9,57,62,42,0.0,0.13,0.13,0.0,0.13,0.02,0.11,0.13,0.02,0.13
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,20-272,2004,7,2,245,2.7,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,7,5,2,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.15,0.08,0.15
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20-166,2004,16,14,1235,13.7,1,1,2,1,0,0,4,0,1.6,1.6,1.1,2.7,38,64,41,0.07,0.07,0.15,0.07,0.15,0.12,0.08,0.2,0.12,0.2
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,28-087,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22-206,2002,4,3,346,3.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,4,0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30-209,1994,7,1,115,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,3,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,21-270,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,"FW,MF",28-165,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",30-303,1994,7,4,303,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,DF,28-192,1996,9,9,659,7.3,0,0,0,0,0,0,1,0,0.1,0.1,1.2,1.3,9,6,41,0.0,0.0,0.0,0.0,0.0,0.02,0.16,0.18,0.02,0.18
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18-158,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,0.29
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",21-330,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22-328,2002,16,15,1310,14.6,1,0,1,1,0,0,5,0,1.2,1.2,0.4,1.6,9,55,5,0.07,0.0,0.07,0.07,0.07,0.08,0.03,0.11,0.08,0.11
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",18-286,2006,16,11,975,10.8,1,0,1,1,0,0,5,0,1.1,1.1,1.2,2.3,44,35,58,0.09,0.0,0.09,0.09,0.09,0.1,0.11,0.21,0.1,0.21
ENG-Premier League,2425,Southampton,William Smallbone,IRL,MF,24-306,2000,4,3,241,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,2,8,12,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.23,0.11,0.23
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,DF,24-178,2000,15,10,873,9.7,1,1,2,1,0,0,3,0,0.3,0.3,2.1,2.4,16,46,38,0.1,0.1,0.21,0.1,0.21,0.03,0.21,0.25,0.03,0.25
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,19-247,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",18-286,2006,10,3,333,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,31-243,1993,4,3,271,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,23-214,2001,17,13,1204,13.4,6,2,8,6,0,0,3,0,7.2,7.2,1.2,8.4,38,35,124,0.45,0.15,0.6,0.45,0.6,0.54,0.09,0.63,0.54,0.63
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,26-240,1998,12,12,974,10.8,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.6,10,48,2,0.09,0.0,0.09,0.09,0.09,0.1,0.05,0.15,0.1,0.15
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24-242,2000,17,15,1320,14.7,5,3,8,5,0,0,3,0,2.5,2.5,3.8,6.2,79,71,125,0.34,0.2,0.55,0.34,0.55,0.17,0.26,0.43,0.17,0.43
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,22-025,2002,16,16,1301,14.5,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.5,36,86,75,0.0,0.07,0.07,0.0,0.07,0.02,0.08,0.1,0.02,0.1
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,24-136,2000,6,2,231,2.6,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,14,17,13,0.0,0.39,0.39,0.0,0.39,0.02,0.21,0.24,0.02,0.24
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,27-100,1997,14,14,1238,13.8,6,3,9,6,0,0,0,0,7.5,7.5,2.1,9.5,20,28,58,0.44,0.22,0.65,0.44,0.65,0.54,0.15,0.69,0.54,0.69
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36-281,1988,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28-077,1996,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,28-030,1996,17,14,1082,12.0,8,4,12,8,0,0,3,0,4.6,4.6,2.7,7.3,26,92,61,0.67,0.33,1.0,0.67,1.0,0.39,0.22,0.61,0.39,0.61
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,18-325,2006,11,1,204,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7,14,8,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.13,0.04,0.13
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,23-248,2001,9,9,788,8.8,0,2,2,0,0,0,4,0,0.4,0.4,1.2,1.5,8,43,1,0.0,0.23,0.23,0.0,0.23,0.04,0.13,0.17,0.04,0.17
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,17-134,2007,4,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3,12,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,22-100,2002,17,10,911,10.1,1,2,3,1,0,0,3,0,1.6,1.6,1.2,2.8,13,52,30,0.1,0.2,0.3,0.1,0.3,0.16,0.12,0.28,0.16,0.28
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,25-101,1999,17,15,1438,16.0,2,2,4,2,0,0,2,0,1.2,1.2,1.6,2.8,41,88,53,0.13,0.13,0.25,0.13,0.25,0.08,0.1,0.18,0.08,0.18
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,22-324,2002,10,8,806,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,28,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,27-227,1997,5,0,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.0,4,5,12,0.0,1.0,1.0,0.0,1.0,0.19,0.76,0.95,0.19,0.95
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27-181,1997,10,7,535,5.9,1,0,1,1,0,0,4,0,0.7,0.7,0.1,0.8,5,40,3,0.17,0.0,0.17,0.17,0.17,0.11,0.01,0.13,0.11,0.13
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32-168,1992,14,13,1066,11.8,5,6,11,5,0,0,0,0,3.5,3.5,5.7,9.1,50,67,148,0.42,0.51,0.93,0.42,0.93,0.29,0.48,0.77,0.29,0.77
ENG-Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",28-292,1996,14,3,409,4.5,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.4,36,23,73,0.0,0.66,0.66,0.0,0.66,0.21,0.54,0.75,0.21,0.75
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,FW,19-247,2005,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,FW,20-025,2004,3,2,162,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,13,10,18,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.27,0.23,0.27
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,28-115,1996,13,9,828,9.2,2,0,2,2,0,0,5,0,0.3,0.3,0.2,0.5,12,54,1,0.22,0.0,0.22,0.22,0.22,0.03,0.02,0.06,0.03,0.06
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,35-008,1989,5,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,3,1,0.0,0.0,0.0,0.0,0.0,0.1,0.28,0.38,0.1,0.38
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,27-027,1997,16,15,1354,15.0,2,0,2,2,0,0,0,0,0.6,0.6,0.5,1.1,48,67,61,0.13,0.0,0.13,0.13,0.13,0.04,0.03,0.07,0.04,0.07
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31-300,1993,8,8,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,24-224,2000,5,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,MF,27-356,1997,13,6,607,6.7,0,1,1,0,0,0,5,0,0.7,0.7,0.9,1.6,9,27,16,0.0,0.15,0.15,0.0,0.15,0.11,0.13,0.24,0.11,0.24
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",23-054,2001,16,6,641,7.1,1,1,2,1,0,0,2,0,1.5,1.5,1.5,3.0,26,14,55,0.14,0.14,0.28,0.14,0.28,0.21,0.21,0.42,0.21,0.42
ENG-Premier League,2425,West Ham,Danny Ings,ENG,FW,32-153,1992,9,1,180,2.0,1,1,2,1,0,0,0,0,2.1,2.1,0.7,2.8,5,3,19,0.5,0.5,1.0,0.5,1.0,1.03,0.37,1.41,1.03,1.41
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,27-060,1997,13,9,793,8.8,0,0,0,0,0,0,6,1,0.2,0.2,0.4,0.6,10,40,8,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,30-142,1994,16,15,1175,13.1,1,1,2,1,0,0,5,0,1.1,1.1,1.2,2.2,19,34,50,0.08,0.08,0.15,0.08,0.15,0.08,0.09,0.17,0.08,0.17
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,30-255,1994,15,11,824,9.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,2,28,4,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,30-052,1994,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",28-003,1996,17,17,1506,16.7,4,4,8,3,1,1,1,0,3.8,3.0,4.0,7.1,59,59,103,0.24,0.24,0.48,0.18,0.42,0.22,0.24,0.47,0.18,0.42
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,24-359,1999,12,7,697,7.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,10,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,20-056,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,27-012,1997,14,11,999,11.1,0,0,0,0,0,0,2,0,0.9,0.9,0.4,1.3,10,37,2,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,MF,27-118,1997,17,14,1194,13.3,3,0,3,1,2,2,5,0,3.5,1.9,1.7,3.6,9,65,44,0.23,0.0,0.23,0.08,0.08,0.26,0.13,0.39,0.14,0.27
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,MF,18-318,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27-214,1997,17,17,1530,17.0,0,1,1,0,0,0,3,0,1.4,1.4,0.8,2.2,14,72,2,0.0,0.06,0.06,0.0,0.06,0.08,0.05,0.13,0.08,0.13
ENG-Premier League,2425,West Ham,Michail Antonio,JAM,FW,34-270,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"MF,FW",24-143,2000,12,12,991,11.0,3,1,4,3,0,0,0,1,3.4,3.4,1.4,4.7,45,36,99,0.27,0.09,0.36,0.27,0.36,0.31,0.13,0.43,0.31,0.43
ENG-Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,31-318,1993,6,1,169,1.9,1,0,1,1,0,0,0,0,0.8,0.8,0.2,1.0,3,1,4,0.53,0.0,0.53,0.53,0.53,0.44,0.1,0.54,0.44,0.54
ENG-Premier League,2425,West Ham,Oliver Scarles,ENG,DF,19-011,2005,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29-300,1995,16,13,1165,12.9,4,0,4,4,0,0,4,0,2.8,2.8,0.5,3.4,2,40,30,0.31,0.0,0.31,0.31,0.31,0.22,0.04,0.26,0.22,0.26
ENG-Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,32-123,1992,10,4,437,4.9,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,7,19,17,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39-249,1985,10,9,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,20-297,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Wolves,André,BRA,MF,23-160,2001,13,11,820,9.1,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,5,31,4,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",20-279,2004,7,1,208,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,8,7,24,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,24-322,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34-231,1990,13,9,894,9.9,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,19,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",29-063,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"FW,MF",28-024,1996,14,2,342,3.8,2,4,6,2,0,0,1,0,0.6,0.6,0.8,1.4,12,17,28,0.53,1.05,1.58,0.53,1.58,0.15,0.21,0.36,0.15,0.36
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28-332,1996,11,2,336,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26-179,1998,15,9,727,8.1,1,2,3,1,0,0,2,0,0.6,0.6,0.6,1.1,19,13,37,0.12,0.25,0.37,0.12,0.37,0.07,0.07,0.14,0.07,0.14
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31-341,1993,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23-315,2001,16,16,1355,15.1,2,1,3,2,0,0,5,0,1.5,1.5,0.3,1.9,28,68,32,0.13,0.07,0.2,0.13,0.2,0.1,0.02,0.13,0.1,0.13
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24-321,2000,17,17,1398,15.5,6,2,8,6,0,0,2,0,4.1,4.1,1.3,5.4,6,12,46,0.39,0.13,0.52,0.39,0.52,0.27,0.08,0.35,0.27,0.35
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",31-113,1993,16,15,1332,14.8,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,45,20,0.07,0.2,0.27,0.07,0.27,0.09,0.08,0.17,0.09,0.17
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25-210,1999,17,16,1425,15.8,9,3,12,9,0,0,2,0,3.9,3.9,4.9,8.9,59,63,94,0.57,0.19,0.76,0.57,0.76,0.25,0.31,0.56,0.25,0.56
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,32-342,1992,10,6,534,5.9,1,1,2,1,0,0,1,0,0.5,0.5,1.3,1.7,6,18,27,0.17,0.17,0.34,0.17,0.34,0.08,0.21,0.29,0.08,0.29
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,31-037,1993,14,14,1227,13.6,0,3,3,0,0,0,5,0,0.4,0.4,1.3,1.7,24,34,35,0.0,0.22,0.22,0.0,0.22,0.03,0.09,0.12,0.03,0.12
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32-226,1992,5,2,181,2.0,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.9,4,12,13,0.5,0.0,0.5,0.5,0.5,0.71,0.22,0.93,0.71,0.93
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23-200,2001,16,16,1366,15.2,3,3,6,3,0,0,6,1,1.3,1.3,1.5,2.9,28,53,64,0.2,0.2,0.4,0.2,0.4,0.09,0.1,0.19,0.09,0.19
