,,,players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,vs Arsenal,1,17,34,2,0,7,1,32.6,0.37,-0.4,-0.02,83,263,31.6,473,51,43.6,37.0,138,41.3,33.4,267,19,7.1,13,0.76,10.5,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,2,17,26,1,0,4,1,27.1,0.37,2.1,0.12,68,159,42.8,386,70,29.8,32.0,118,37.3,32.1,199,15,7.5,27,1.59,14.4,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,3,17,27,5,1,3,0,31.1,0.29,4.1,0.24,111,285,38.9,590,65,36.6,34.7,159,43.4,34.9,283,24,8.5,26,1.53,14.5,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,1,17,32,2,0,2,0,32.7,0.39,0.7,0.04,78,259,30.1,525,83,39.2,35.5,114,46.5,36.9,249,20,8.0,35,2.06,16.1,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,2,17,27,0,1,2,1,26.9,0.34,0.9,0.05,97,275,35.3,628,97,35.0,32.7,138,39.9,34.0,253,16,6.3,34,2.0,17.0,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,2,17,37,3,1,3,0,35.3,0.33,-1.7,-0.1,83,252,32.9,523,79,39.0,34.7,134,35.8,31.8,209,14,6.7,24,1.41,14.1,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,1,17,18,1,0,4,1,21.9,0.28,4.9,0.29,86,220,39.1,579,100,29.4,30.3,121,41.3,35.4,230,18,7.8,21,1.24,13.4,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,1,16,14,0,1,1,2,12.9,0.22,0.9,0.06,36,113,31.9,482,87,17.2,26.7,95,31.6,29.3,211,15,7.1,10,0.63,12.5,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,vs Fulham,1,17,24,1,0,0,1,24.3,0.29,1.3,0.08,48,186,25.8,427,67,33.5,33.6,127,33.9,32.2,284,14,4.9,23,1.35,14.8,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,vs Ipswich Town,2,17,16,0,0,3,1,17.3,0.34,2.3,0.13,41,196,20.9,559,55,26.8,30.9,96,47.9,38.9,183,17,9.3,17,1.0,13.3,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,vs Leicester City,2,17,21,2,0,3,0,19.9,0.34,-1.1,-0.07,64,177,36.2,462,63,29.2,32.1,110,38.2,33.1,208,18,8.7,25,1.47,14.7,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,vs Liverpool,3,16,37,4,0,2,0,36.0,0.32,-1.0,-0.06,68,203,33.5,486,84,32.9,33.0,131,32.8,30.1,229,13,5.7,25,1.56,14.4,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,vs Manchester City,2,17,29,1,0,5,0,30.9,0.31,1.9,0.11,75,239,31.4,519,63,35.8,34.0,138,38.4,34.1,247,19,7.7,13,0.76,12.2,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,vs Manchester Utd,1,17,21,2,0,4,1,23.3,0.27,3.3,0.19,66,208,31.7,542,73,29.7,30.9,112,42.0,35.6,205,16,7.8,38,2.24,16.8,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,vs Newcastle Utd,2,17,27,1,0,2,1,26.3,0.34,0.3,0.02,104,306,34.0,514,85,46.1,37.2,136,50.7,39.1,242,16,6.6,22,1.29,13.7,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,vs Nott'ham Forest,1,17,23,2,0,4,0,23.3,0.27,0.3,0.02,35,115,30.4,445,76,22.7,27.9,107,13.1,19.7,224,14,6.3,24,1.41,14.5,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,vs Southampton,3,17,11,0,0,0,0,13.1,0.25,2.1,0.12,45,141,31.9,404,66,28.2,31.4,74,36.5,33.2,194,16,8.2,15,0.88,14.1,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,vs Tottenham,2,17,39,0,1,4,2,30.8,0.31,-6.2,-0.37,108,300,36.0,452,77,48.2,39.4,141,58.2,43.7,270,21,7.8,16,0.94,11.3,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,vs West Ham,2,17,22,3,1,3,1,22.7,0.27,1.7,0.1,88,234,37.6,516,76,39.0,35.6,108,30.6,28.5,221,21,9.5,17,1.0,13.8,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,vs Wolves,2,17,27,0,0,1,0,19.0,0.27,-8.0,-0.47,66,185,35.7,504,73,29.6,32.4,106,34.0,32.3,168,12,7.1,26,1.53,15.9,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
