,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,20-056,2004,1,1,1,0.1,0.0,0,,0,1,1,3,1.0,0,0,0,0.0,0.47,0.1,0.1,0.0,1.74,2.03
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,27-012,1997,14,999,71,65.3,11.1,11,82,9,3,33,2,1.14,10,17,-7,-0.63,-0.46,13.5,19.6,-6.0,-0.54,-0.73
ENG-Premier League,2425,West Ham,Lewis Orford,ENG,MF,18-309,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,MF,27-118,1997,17,1194,70,78.0,13.3,14,78,6,3,34,0,1.18,19,25,-6,-0.45,0.08,16.0,24.3,-8.2,-0.62,-1.5
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,MF,18-318,2006,2,13,7,0.8,0.1,0,,0,2,7,11,2.0,0,0,0,0.0,0.47,0.4,0.1,0.2,1.72,2.03
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27-214,1997,17,1530,90,100.0,17.0,17,90,17,0,,0,1.18,22,30,-8,-0.47,,24.7,29.6,-4.9,-0.29,
ENG-Premier League,2425,West Ham,Michail Antonio,JAM,FW,34-270,1990,14,836,60,54.6,9.3,11,66,0,3,37,0,1.07,13,18,-5,-0.54,-0.15,11.4,17.8,-6.4,-0.69,-0.89
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"MF,FW",24-143,2000,12,991,83,64.8,11.0,12,83,5,0,,0,1.08,13,19,-6,-0.54,-0.21,16.2,17.7,-1.4,-0.13,0.45
ENG-Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,31-318,1993,6,169,28,11.0,1.9,1,56,0,5,23,1,0.83,4,5,-1,-0.53,-0.07,4.1,3.0,1.1,0.58,0.98
ENG-Premier League,2425,West Ham,Oliver Scarles,ENG,DF,19-011,2005,2,36,18,2.4,0.4,0,,0,2,18,3,1.0,1,1,0,0.0,0.48,1.5,1.1,0.4,1.09,1.41
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29-300,1995,16,1165,73,76.1,12.9,13,81,9,3,37,0,1.25,19,22,-3,-0.23,1.0,21.1,20.8,0.3,0.02,1.31
ENG-Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,32-123,1992,10,437,44,28.6,4.9,4,74,1,6,23,7,1.0,3,6,-3,-0.62,-0.21,9.3,8.0,1.3,0.26,0.77
ENG-Premier League,2425,West Ham,Wes Foderingham,ENG,GK,33-344,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39-249,1985,10,855,86,55.9,9.5,9,90,9,1,45,7,1.2,11,16,-5,-0.53,-0.13,14.0,18.0,-3.9,-0.41,-0.28
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,20-297,2004,1,1,1,0.1,0.0,0,,0,1,1,3,3.0,0,0,0,0.0,0.77,0.0,0.0,0.0,0.0,0.6
ENG-Premier League,2425,Wolves,André,BRA,MF,23-160,2001,13,820,63,53.6,9.1,11,74,5,2,3,2,0.62,15,22,-7,-0.77,-0.01,8.3,15.5,-7.2,-0.79,-0.41
ENG-Premier League,2425,Wolves,Bastien Meupiyou,FRA,DF,18-279,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Boubacar Traoré,MLI,MF,23-125,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",20-279,2004,7,208,30,13.6,2.3,1,67,0,6,24,7,0.57,6,8,-2,-0.87,-0.12,2.5,6.5,-4.0,-1.74,-1.31
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,24-322,2000,1,7,7,0.5,0.1,0,,0,1,7,0,0.0,0,0,0,0.0,0.77,0.1,0.0,0.1,1.89,2.5
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34-231,1990,13,894,69,58.4,9.9,9,90,9,4,21,2,0.69,14,23,-9,-0.91,-0.34,9.7,17.2,-7.5,-0.75,-0.37
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31-163,1993,0,,,,,0,,0,0,,10,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",29-063,1995,2,48,24,3.1,0.5,0,,0,2,24,0,0.0,0,2,-2,-3.75,-3.08,0.3,0.8,-0.5,-0.93,-0.34
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"FW,MF",28-024,1996,14,342,24,22.4,3.8,2,65,0,12,18,3,0.86,11,12,-1,-0.26,0.65,4.9,8.4,-3.5,-0.92,-0.41
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28-332,1996,11,336,31,22.0,3.7,2,74,1,9,21,2,0.64,4,11,-7,-1.87,-1.42,4.6,6.8,-2.2,-0.59,0.01
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26-179,1998,15,727,48,47.5,8.1,9,68,0,6,20,2,0.73,14,17,-3,-0.37,0.75,8.7,13.2,-4.4,-0.55,0.09
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31-341,1993,10,900,90,58.8,10.0,10,90,10,0,,4,1.1,18,23,-5,-0.5,0.64,10.9,14.9,-4.0,-0.4,0.49
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23-315,2001,16,1355,85,88.6,15.1,16,85,6,0,,0,0.75,23,34,-11,-0.73,0.3,15.2,22.8,-7.6,-0.5,0.83
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24-321,2000,17,1398,82,91.4,15.5,17,82,7,0,,0,0.71,26,35,-9,-0.58,2.15,16.5,24.2,-7.8,-0.5,1.16
ENG-Premier League,2425,Wolves,Luke Cundle,ENG,MF,22-241,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",31-113,1993,16,1332,83,87.1,14.8,15,87,13,1,28,0,0.56,22,38,-16,-1.08,-2.44,15.1,25.8,-10.6,-0.72,-0.92
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25-210,1999,17,1425,84,93.1,15.8,16,87,12,1,34,0,0.71,26,37,-11,-0.69,1.02,17.2,25.8,-8.5,-0.54,0.88
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,32-342,1992,10,534,53,34.9,5.9,6,83,4,4,9,7,1.0,8,16,-8,-1.35,-0.9,6.6,7.3,-0.7,-0.13,0.73
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,31-037,1993,14,1227,88,80.2,13.6,14,88,10,0,,0,0.86,25,27,-2,-0.15,3.12,14.4,22.6,-8.2,-0.6,-0.01
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32-226,1992,5,181,36,11.8,2.0,2,53,0,3,25,6,0.83,4,5,-1,-0.5,0.3,2.9,2.3,0.6,0.31,1.03
ENG-Premier League,2425,Wolves,Pedro Lima,BRA,DF,18-175,2006,0,,,,,0,,0,0,,6,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23-200,2001,16,1366,85,89.3,15.2,16,85,9,0,,0,0.56,24,39,-15,-0.99,-2.09,16.0,25.3,-9.3,-0.61,-0.1
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21-169,2003,10,354,35,23.1,3.9,4,73,0,6,11,7,1.0,7,10,-3,-0.76,0.0,3.0,7.2,-4.2,-1.06,-0.6
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31-273,1993,7,630,90,41.2,7.0,7,90,7,0,,4,0.14,9,17,-8,-1.14,-0.64,6.9,13.1,-6.2,-0.89,-0.49
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,26-044,1998,10,791,79,51.7,8.8,9,87,7,1,9,6,0.8,13,18,-5,-0.57,0.41,10.1,13.0,-2.9,-0.33,0.56
ENG-Premier League,2425,Wolves,Tom Edozie,ENG,MF,18-219,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,23-067,2001,13,338,26,22.1,3.8,2,76,1,11,17,4,0.69,4,8,-4,-1.07,-0.39,3.8,7.7,-3.9,-1.04,-0.57
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25-342,1999,15,1174,78,76.7,13.0,14,83,11,1,14,0,0.8,20,28,-8,-0.61,0.65,13.2,21.8,-8.6,-0.66,-0.27
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23-235,2001,5,441,88,28.8,4.9,5,88,4,0,,0,0.2,5,12,-7,-1.43,-0.93,4.9,6.0,-1.1,-0.22,0.53
