,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29-312,1995,3,270,90,17.6,3.0,3,90,3,0,,4,0.33,2,7,-5,-1.67,-0.24,2.8,9.1,-6.3,-2.09,-1.04
ENG-Premier League,2425,Southampton,Joe O'Brien-Whitmarsh,IRL,FW,,,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",22-312,2002,6,64,11,4.2,0.7,1,14,0,5,10,2,0.17,0,6,-6,-8.44,-7.27,0.1,4.0,-3.9,-5.49,-4.45
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,27-254,1997,15,1340,89,87.6,14.9,15,89,14,0,,2,0.33,9,32,-23,-1.54,-0.6,13.7,35.0,-21.3,-1.43,-1.62
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,20-272,2004,7,245,35,16.0,2.7,2,54,0,5,27,5,0.71,1,8,-7,-2.57,-1.31,2.2,6.4,-4.2,-1.53,-0.35
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20-166,2004,16,1235,77,80.7,13.7,14,84,7,2,30,0,0.38,11,27,-16,-1.17,1.58,13.9,31.2,-17.3,-1.26,-0.18
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,28-087,1996,2,72,36,4.7,0.8,1,45,0,1,27,3,0.0,0,4,-4,-5.0,-3.7,0.2,1.7,-1.5,-1.86,-0.66
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22-206,2002,4,346,87,22.6,3.8,3,90,3,1,76,4,0.25,1,8,-7,-1.82,-0.45,3.0,9.7,-6.7,-1.74,-0.66
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30-209,1994,7,115,16,7.5,1.3,1,51,0,6,11,2,0.57,1,4,-3,-2.35,-0.95,1.6,3.0,-1.4,-1.1,0.14
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,21-270,2003,1,12,12,0.8,0.1,0,,0,1,12,2,0.0,0,1,-1,-7.5,-6.08,0.0,0.3,-0.3,-2.19,-0.97
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,"FW,MF",28-165,1996,4,132,33,8.6,1.5,1,26,0,3,35,0,0.25,1,2,-1,-0.68,0.86,0.8,2.5,-1.8,-1.2,0.03
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",30-303,1994,7,303,43,19.8,3.4,4,60,0,3,21,3,0.29,4,10,-6,-1.78,-0.39,5.5,9.9,-4.4,-1.3,-0.09
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,DF,28-192,1996,9,659,73,43.1,7.3,9,73,2,0,,2,0.44,5,18,-13,-1.78,-0.54,6.8,19.3,-12.5,-1.71,-0.84
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18-158,2006,2,28,14,1.8,0.3,0,,0,2,14,7,0.0,0,0,0,0.0,1.5,0.3,1.1,-0.8,-2.5,-1.3
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",21-330,2003,2,65,33,4.2,0.7,0,,0,2,33,0,0.0,0,0,0,0.0,1.54,1.4,0.3,1.1,1.46,2.8
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22-328,2002,16,1310,82,85.6,14.6,15,87,13,1,10,0,0.38,9,27,-18,-1.24,1.63,13.9,29.2,-15.4,-1.06,1.2
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",18-286,2006,16,975,61,63.7,10.8,11,76,5,5,28,0,0.38,10,24,-14,-1.29,0.49,12.0,23.2,-11.3,-1.04,0.52
ENG-Premier League,2425,Southampton,William Smallbone,IRL,MF,24-306,2000,4,241,60,15.8,2.7,3,73,1,1,23,0,0.0,0,5,-5,-1.87,-0.47,2.8,4.6,-1.8,-0.66,0.67
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,DF,24-178,2000,15,873,58,57.1,9.7,10,77,4,5,21,2,0.4,8,19,-11,-1.13,0.78,10.2,19.7,-9.5,-0.98,0.59
ENG-Premier League,2425,Tottenham,Alfie Devine,ENG,MF,20-144,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,19-247,2005,1,14,14,0.9,0.2,0,,0,1,14,1,3.0,0,0,0,0.0,-0.83,0.4,0.0,0.4,2.56,2.38
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",18-286,2006,10,333,33,21.8,3.7,3,90,3,7,9,7,1.7,11,8,3,0.81,-0.02,6.0,9.9,-3.9,-1.05,-1.6
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,31-243,1993,4,271,68,17.7,3.0,3,80,2,1,30,6,1.75,8,2,6,1.99,1.42,5.5,5.2,0.4,0.13,-0.1
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,GK,25-350,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,23-214,2001,17,1204,71,78.7,13.4,13,81,7,4,38,0,1.35,27,17,10,0.75,-0.36,24.3,20.2,4.1,0.31,0.48
ENG-Premier League,2425,Tottenham,Callum Olusesi,ENG,MF,17-341,2007,0,,,,,0,,0,0,,5,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,26-240,1998,12,974,81,63.7,10.8,12,81,10,0,,0,1.33,22,13,9,0.83,0.02,20.0,12.7,7.2,0.67,1.27
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24-242,2000,17,1320,78,86.3,14.7,15,86,12,2,18,0,1.35,34,22,12,0.82,-0.04,28.8,25.0,3.7,0.25,0.36
